Eso-0-6c-1	Eso-0-6c-2	Eso-0-6c-3	Eso-0-6c-4	Eso-0-6c-5	Eso-0-6d-1	Eso-0-6d-2	Eso-0-6d-3	Eso-0-6d-4	Eso-0-6d-5	Eso-0-1k-1	Eso-0-1k-2	Eso-0-1k-3	Eso-0-1k-4	Eso-0-1k-5	Eso-7-1c-1	Eso-7-1c-2	Eso-7-1c-3	Eso-7-1c-4	Eso-7-1c-5	Eso-7-1i-1	Eso-7-1i-2	Eso-7-1i-3	Eso-7-1i-4	Eso-7-1i-5	Eso-7-1j-1	Eso-7-1j-2	Eso-7-1j-3	Eso-7-1j-4	Eso-7-1j-5	Eso-12-6e-1	Eso-12-6e-2	Eso-12-6e-3	Eso-12-6e-4	Eso-12-6e-5	Eso-12-6g-1	Eso-12-6g-2	Eso-12-6g-3	Eso-12-6g-4	Eso-12-6g-5	Eso-12-1a-1	Eso-12-1a-2	Eso-12-1a-3	Eso-12-1a-4	Eso-12-1a-5	Eso-18-1d-1	Eso-18-1d-2	Eso-18-1d-3	Eso-18-1d-4	Eso-18-1d-5	Eso-18-1e-1	Eso-18-1e-2	Eso-18-1e-3	Eso-18-1e-4	Eso-18-1e-5
185.5107	178.9488	179.0555	175.5891	179.7701	186.7212	163.8608	171.0657	168.2977	168.3944	168.9199	160.5186	141.1092	154.6124	166.1366	33.5851	59.6279	35.6528	41.8174	23.4646	36.0134	36.4673	29.111	28.054	55.982	37.8191	26.8794	27.6145	23.5211	30.7642	4.9841	4.9975	4.4392	6.5596	8.8147	3.0803	2.5864	2.7529	4.3877	7.7109	14.8011	6.5703	4.8327	8.5505	8.8291	0.07828	3.1286	2.5309	2.6551	4.4849	1.0497	0.2577	1.4127	1.9044	1.722
188.9168	178.4501	187.953	200.9375	185.066	190.1687	164.1037	174.638	170.3642	189.0929	163.7454	128.117	132.9497	157.0444	161.9529	30.9125	36.5833	37.1041	52.0559	29.4827	33.6886	23.0131	24.8076	44.5545	44.8593	43.927	18.0591	31.6147	40.734	28.1982	3.4418	3.567	7.6746	4.2123	7.827	2.3604	6.3394	1.5925	6.8201	5.3107	5.9776	4.6416	8.884	4.4167	7.0155	2.0268	0.05411	8.1296	1.4471	2.2008	1.0043	0.3312	3.2231	0.1522	7.2873
185.8804	184.6817	186.1723	191.4309	188.9916	182.7395	169.2197	169.5878	168.3023	170.1587	170.3695	134.2654	146.2712	129.5496	145.3216	30.8038	42.789	63.0866	49.0631	22.5411	34.465	40.9531	40.9026	27.505	21.3924	29.7473	23.8013	51.2204	20.5662	30.6271	9.7703	4.6101	7.8986	7.7066	4.2491	2.0485	2.8008	4.805	3.8645	3.4276	15.71	6.6976	4.9681	3.5745	5.1897	0.1968	0.04643	1.3072	0.7338	3.486	0.2685	0.6748	0.5772	1.2362	1.3534
184.5483	183.9897	162.7453	176.2179	180.3539	185.1016	170.1602	178.881	185.7077	178.004	158.6964	121.1118	125.3223	151.8629	156.0198	36.9251	39.0385	35.0376	42.8533	26.9318	47.8152	30.257	39.2862	16.9024	28.5909	20.3041	32.207	40.9057	38.5523	21.8424	5.2398	5.0287	4.9383	3.0134	7.5959	6.5521	2.5314	3.3962	4.3899	4.7815	10.2607	9.0113	8.4993	8.2056	7.9251	0.5987	0.7643	0.5405	0.679	1.4558	0.2564	0.6984	1.5838	2.2075	1.9603
176.2979	181.3735	185.5106	147.7422	167.3004	185.2699	176.5359	175.1126	167.9255	175.32	145.2854	138.6719	144.7076	149.8565	137.9258	28.245	55.0621	27.0743	78.8704	38.0024	39.6781	42.8157	23.538	39.4917	40.8879	29.9391	26.8617	32.1157	23.6037	25.3301	8.5968	9.2833	4.6154	3.5635	9.6992	1.7245	7.6194	5.7794	5.975	4.0318	6.7804	9.6782	5.3841	8.3712	4.2356	0.06195	0.3291	0.1554	1.3982	1.3266	0.5007	0.4788	0.8607	1.3522	0.2924
181.9086	179.4867	180.5249	186.3983	176.5293	171.8736	174.1736	171.8218	179.2682	187.1293	152.0053	164.9882	163.6968	147.3619	157.3961	29.2036	32.6906	26.128	39.5003	38.8434	29.4259	85.8366	24.0046	43.3758	47.2589	32.9983	25.1499	24.6493	12.6411	29.0376	4.9568	11.0192	5.9434	6.4569	7.1709	4.2758	3.3218	2.7756	2.9732	6.0465	6.341	5.8144	11.2167	19.0338	4.1319	1.0984	0.2185	1.7073	1.5859	1.7259	0.9532	0.7546	0.8493	1.4443	0.7427
175.636	161.0745	191.9709	184.2831	174.8135	164.1961	171.802	180.924	162.9844	178.4948	158.7963	147.1133	170.8316	143.5581	151.5335	31.9252	33.4078	45.315	47.7745	39.8934	43.0121	41.5684	25.6412	24.1659	59.6405	32.0592	28.7001	17.6425	45.304	31.7598	2.6161	6.0558	3.9799	5.408	4.8311	5.7758	3.0831	8.2358	5.91	4.5854	5.0734	7.4379	8.1622	10.1693	7.7873	0.2116	1.5121	1.4734	0.4528	2.8602	0.1495	0.4899	1.6269	1.6502	3.3359
178.0465	186.4985	189.567	188.3599	161.7506	169.3956	173.0103	178.7773	174.4196	171.7761	163.8603	159.2094	124.8198	157.842	160.5772	22.9912	51.9666	41.4907	24.535	27.4688	30.1307	38.7526	14.1101	18.8348	35.4822	35.0497	20.0667	34.5845	22.328	45.4459	4.6378	5.8541	5.7222	7.3034	8.616	2.8821	2.8064	1.7377	6.6014	5.5949	2.8545	8.8715	7.2222	10.5778	13.918	0.362	0.3692	1.0443	1.0524	1.158	1.0786	0.2902	1.5432	2.802	0.6591
183.8497	193.086	156.8473	182.5806	166.1444	190.7087	175.5302	179.1531	168.2913	175.4009	154.8207	144.2635	173.7101	135.5332	174.0237	39.2226	43.758	34.4397	29.7891	43.5542	29.6464	40.3082	22.9893	30.1654	47.3005	13.2699	21.2342	21.186	27.4889	24.0599	8.8942	2.5851	3.5955	8.9389	4.405	14.3949	5.4334	3.4678	4.1802	3.0615	11.2556	7.7385	5.8839	4.337	4.4784	0.08991	0.8595	1.7803	1.4666	0.8157	0.4042	1.1575	1.5803	0.5604	2.1538
187.051	175.49	181.153	172.9621	176.2695	182.5587	153.9269	165.9987	177.7027	169.4921	137.1657	116.2132	164.7221	152.3477	162.5409	48.5153	34.4356	30.8824	47.0994	21.879	40.2136	33.896	38.1088	40.7226	47.5053	25.8756	23.315	36.6536	19.3974	28.09	3.6511	7.0241	7.0256	7.3636	6.751	2.8229	4.0008	6.2541	6.6391	3.3619	10.12	10.7641	9.3084	12.5417	8.082	0.3278	0.7325	1.2202	1.0925	5.989	0.05815	0.8609	1.4933	3.1785	0.4986
