sca12mouse6e	sca12mouse6g	sca12mouse1a	sca07mouse1c	sca07mouse1i	sca07mouse1j	sca00mouse6c	sca00mouse6d	sca00mouse1k	sca18mouse1e	sca18mouse1f	eso00mouse6c	eso00mouse6d	eso00mouse1k	eso07mouse1c	eso07mouse1i	eso07mouse1j	eso12mouse6e	eso12mouse6g	eso12mouse1a	eso18mouse1d	eso18mouse1e	backkm4100mouse9	backkm4100mouse0	backkm4100mouse1	backkm4100mouse2	backkm4105mouse3	backkm4105mouse4	backkm4105mouse6	backkm4105mouse5	backkm4114mouse7	backkm4114mouse8	backkm4114mouse9	backkm4114mouse0	ear00mouse6c	ear00mouse6d	ear00mouse1k	ear07mouse1c	ear07mouse1i	ear07mouse1j	ear12mouse6e	ear12mouse6g	ear12mouse1a	ear18mouse1d	ear18mouse1e	ear18mouse1f	paw00mouse6c	paw00mouse6d	paw00mouse1k	paw07mouse1c	paw07mouse1i	paw07mouse1j	paw12mouse6e	paw12mouse6g	paw12mouse1a	paw18mouse1d	paw18mouse1e	paw18mouse1f	backkm2900mouse1	backkm2900mouse9	backkm2911mouse0	backkm2911mouse1	backkm2911mouse90	backkm2911mouse2	backkm2400mouse4	backkm2400mouse5	backkm2400mouse8	backkm2400mouse9	backkm2421mouse1	backkm2421mouse0	backkm2421mouse7	backkm2421mouse6	is00mouse6c	is00mouse6d	is00mouse1k	is07mouse1c	is07mouse1j	is07mouse1i	is12mouse6e	is12mouse6g	is12mouse1a	is18mouse1e	is18mouse1f
42.3089	20.0182	43.071	20.9562	10.2466	12.3991	169.4738	58.7506	159.1357	36.0912	3.1339	185.5107	186.7212	168.9199	33.5851	36.0134	37.8191	4.9841	3.0803	14.8011	2.5309	1.0497	18980.14046	13192.9768	8014.247312	12653.8503	7568.286946	4449.048544	9397.746316	3338.313103	1814.50665	1377.655409	1300.616219	3820.053209	124.3994	142.0502	110.6724	35.9564	20.5077	28.5458	65.8071	4.4468	13.7333	3.7754	14.0658	14.6107	156.5363	184.4512	132.5322	35.1099	61.66	63.339	32.0474	4.4434	14.8709	1.2549	4.1608	3.6097	3791.380552	2792.530995	1397.001666	830.045425	2164.507166	2127.795945	25715.62278	26469.82334	40088.38761	19438.39572	5651.74954	2930.246305	3750.492468	5056.110799	153.8251	105.6585	145.7553	9.2012	11.5204	4.782	44.4491	7.866	21.3006	21.0087	1.7063
43.9631	17.5745	44.8128	21.9989	9.816	12.4478	163.2035	51.7652	153.3296	33.3772	1.3982	188.9168	190.1687	163.7454	30.9125	33.6886	43.927	3.4418	2.3604	5.9776	8.1296	1.0043	18694.29595	11727.91878	10277.20167	14623.01524	10843.68271	4559.572248	7136.067708	6482.389581	1773.833839	1197.246828	1278.699679	3867.180805	89.1556	142.7014	87.5443	31.8143	33.9768	27.1834	57.2394	21.3863	20.0427	1.9468	14.1241	6.6506	173.0007	183.4502	102.973	38.9424	50.8478	46.4576	35.1867	45.3807	15.9243	5.0438	0.7612	5.2253	4167.190271	3649.389222	1251.89579	509.1816367	1896.402981	1260.913405	38175.07877	24335.70099	28557.18824	26883.66903	2446.532999	2630.039526	1918.744723	4728.03081	104.639	91.0641	147.1108	10.2701	6.2488	5.9173	57.8386	8.219	11.8681	21.758	0.6194
47.7839	17.2111	40.7636	20.7211	8.6892	13.8448	167.6108	48.6111	147.1616	36.1987	2.0024	185.8804	182.7395	170.3695	30.8038	34.465	29.7473	9.7703	2.0485	15.71	0.07828	0.2685	21101.3895	11258.54176	8524.941477	8403.810296	8785.016898	4387.639061	10423.39559	6130.339213	2227.396254	2460.44686	3032.226119	1942.321924	102.4453	65.8434	82.5835	15.2633	37.4032	32.6274	41.208	8.4297	9.5701	1.4542	17.0994	7.5157	146.5971	178.7924	133.9003	41.9572	51.8521	51.436	59.4225	26.8884	8.4069	1.0147	3.9088	1.7607	5315.400481	3685.575642	1641.269493	871.5433259	3312.275807	1080.608147	27473.28198	19905.63611	32292.27738	18774.72308	1731.569525	1350.591466	1569.928966	1435.632505	108.1123	131.6225	168.0084	14.4979	11.0898	5.9626	20.2756	6.6682	12.8246	15.8585	5.0585
44.6292	17.3105	38.8894	20.5069	8.9582	10.4864	149.8179	47.9378	161.0037	31.8692	2.5	184.5483	185.1016	158.6964	36.9251	47.8152	20.3041	5.2398	6.5521	10.2607	1.3072	0.2564	19192.2296	12233.03178	9634.853029	10273.51544	6641.838352	4221.983716	8956.580882	5846.077638	2145.355045	1093.214352	3094.282238	3488.020977	164.3224	109.5235	55.8215	30.3644	32.9107	47.4345	48.9053	7.9518	16.1352	1.4355	10.8126	4.878	191.862	165.4393	120.6012	46.0352	45.6501	39.0659	54.8881	13.0398	14.8181	3.909	1.6745	3.2874	4455.805637	3451.587916	1110.145985	914.5690673	4346.377749	2218.377425	22552.20388	18224.70551	30175.37258	14262.52324	1529.691294	2913.120269	1284.702818	2162.964837	114.6341	88.8479	140.6754	6.3343	11.1439	5.7112	45.0269	6.8303	12.924	10.781	0.2862
42.8907	19.4865	43.488	22.3226	10.0649	11.5342	165.9148	56.3549	145.1871	33.613	1.0838	176.2979	185.2699	145.2854	28.245	39.6781	29.9391	8.5968	1.7245	6.7804	2.0268	0.5007	18635.75532	11097.02212	11170.58646	7288.516522	8544.24626	2600.435775	7450.033746	6376.307278	1786.535304	1353.779924	5449.432918	1643.158313	93.4934	107.3623	92.1379	19.7006	58.0826	22.0305	47.9129	14.2764	9.1505	1.6639	9.9274	8.4327	180.126	138.0504	102.1873	36.5852	57.6647	44.0788	65.623	26.66	20.3682	0.8809	3.4916	6.6875	3940.682694	3171.758168	996.07747	1046.047651	2605.926594	1137.086288	32586.3917	21516.61172	30667.4987	10502.57831	1126.945412	2788.620134	3319.5645	2908.64012	100.3983	109.8112	147.5895	11.812	15.2312	4.9022	45.2204	5.8495	13.5154	11.8081	4.7125
42.3801	18.7761	39.8212	20.4025	9.4764	11.4761	168.3647	54.482	156.6473	33.8952	1.579	181.9086	171.8736	152.0053	29.2036	29.4259	32.9983	4.9568	4.2758	6.341	0.1968	0.9532	18590.05983	7167.331409	8804.465015	9249.174356	11605.11557	3313.116883	6905.438359	3051.018034	1114.842481	2154.633401	5001.452839	1093.326134	139.5463	125.2806	103.071	10.5835	27.8215	51.8956	42.6348	12.8504	6.9428	6.3821	11.1387	26.2808	180.4255	160.3554	119.4527	32.5867	89.2145	74.076	29.6702	40.2673	20.7239	2.4801	2.1625	4.8672	3914.832536	2306.18902	951.2356252	515.1387054	1448.650709	1915.758564	37099.48071	23825.17877	38602.32558	10672.21593	2785.455505	1492.320396	1453.459866	3234.804192	137.433	95.0427	131.906	15.2967	6.8527	4.9063	32.2481	7.903	11.9817	20.0117	1.0536
35.1797	17.7841	39.2847	24.5891	9.4562	11.6813	166.1139	56.0935	158.416	34.1152	4.5831	175.636	164.1961	158.7963	31.9252	43.0121	32.0592	2.6161	5.7758	5.0734	0.5987	0.1495	23288.30809	9748.720251	8627.649988	8601.269367	7195.506514	4613.943291	5400.043969	3888.485477	2384.012066	2529.351628	3931.229365	1486.544075	156.461	106.6838	107.4874	9.6882	85.1512	60.4931	23.8338	58.1309	13.668	3.6874	4.7693	6.5452	173.3725	164.5065	113.7024	34.2408	56.0479	26.3684	29.4767	25.6829	16.3038	0.8784	2.4205	6.5582	4610.675039	2765.302459	485.3632479	476.9177289	1596.604759	774.2609582	38882.19541	17111.91103	40098.38206	15156.97535	1790.337785	1139.90849	1089.3592	2131.411411	119.5	133.0724	157.6869	11.2283	12.158	4.9745	69.2185	6.8031	15.4099	19.2068	2.5616
44.7671	18.676	40.0349	20.7797	9.1728	12.802	148.6904	61.5265	155.5031	35.6865	2.6942	178.0465	169.3956	163.8603	22.9912	30.1307	35.0497	4.6378	2.8821	2.8545	0.5405	1.0786	18812.00617	6934.770544	9305.713547	12651.05888	6435.640044	2566.815003	7503.674121	3321.420422	747.989418	2483.138523	1326.834585	2194.648539	86.0333	123.3159	103.3881	11.0797	87.4644	39.435	40.91	3.4722	17.8104	0.8787	9.41	15.5829	176.3539	168.6699	108.2631	38.5831	41.5086	72.42	54.7232	22.9732	19.9639	1.1223	7.2771	5.335	3830.865522	4467.839196	817.3888255	540.3174603	2297.901415	342.3533184	22195.99428	21769.47681	37281.34731	13529.97253	2768.580512	1075.331355	1620.992862	4378.977104	150.291	105.5493	141.3202	13.2584	7.2692	5.1641	60.2501	8.1518	11.3129	9.7519	2.5174
55.1596	17.6883	44.1681	19.3083	8.2917	14.5141	162.597	55.7333	161.6371	33.4993	1.624	183.8497	190.7087	154.8207	39.2226	29.6464	13.2699	8.8942	14.3949	11.2556	0.1554	0.4042	26258.09731	6550.838242	10523.4623	9512.418158	12068.36325	2418.732919	7959.145966	5590.826446	740.0157233	1525.35312	2178.817915	2807.234158	140.7051	126.0198	76.8166	27.692	66.1992	27.8133	68.3669	9.8379	17.3741	1.4921	11.0895	17.8778	170.8859	168.0607	110.5005	55.6142	45.6283	79.6932	46.0383	37.101	20.5556	3.0786	0.8834	2.3718	6824.837949	2074.80612	1675.881523	671.840796	1187.502328	585.9367626	32121.22246	20489.09738	33674.33862	12212.25148	5109.296875	1572.60177	744.625624	5097.296155	135.3043	146.9226	171.256	19.0864	6.243	4.9897	40.2906	8.1067	14.0325	7.9502	3.0714
46.2579	15.1554	48.2645	20.9542	8.9275	12.0554	164.6746	57.3927	157.3224	34.3907	1.021	187.051	182.5587	137.1657	48.5153	40.2136	25.8756	3.6511	2.8229	10.12	0.06195	0.05815	22587.70432	9210.021322	10649.71203	11042.25981	5620.585487	4233.037504	9945.788705	3017.894737	2641.604604	2746.517518	1016.191031	3413.424763	152.777	58.9907	101.717	13.3136	46.4125	26.5451	47.7108	24.5586	15.0288	1.3924	19.4358	4.7871	174.8404	181.2544	75.6129	44.2942	46.6178	67.3107	66.1264	39.4229	11.566	1.6164	0.247	5.3017	4445.944518	3408.007117	1187.025596	765.570904	1034.178801	619.6113526	33378.15534	19528.93553	27117.18651	10948.81281	1154.982386	2055.836078	727.8669725	1716.545517	103.5986	107.9379	134.2889	13.6729	6.7166	5.4675	33.4394	8.2349	18.9734	6.593	2.9629
46.499	17.5645	35.7241	22.5706	10.2116	11.9398	165.6414	53.1432	155.5288	42.8881	4.2872	172.6393	178.16	164.3468	49.9613	35.964	25.7974	4.2469	15.4825	10.3779	1.7073	0.5902	29488.1614	8442.414551	12494.96982	10095.45926	6846.082561	3662.744746	8271.039861	3960.268129	1826.741023	3665.499351	1209.465262	5699.147502	107.7665	105.8223	57.4526	18.5265	35.0248	33.928	56.4687	3.3978	14.4283	1.7167	12.9346	7.3226	158.2442	168.4578	101.9736	38.937	32.5075	51.2585	24.5924	18.4548	26.1704	1.6946	3.7885	2.5286	5129.304685	4008.189987	523.1006794	621.4505423	2344.374343	787.011537	38966.05066	23616.18902	28744.2829	11861.48649	1162.084456	1502.77335	3967.430124	1159.935962	125.3253	139.9749	144.5729	10.6519	9.7211	4.7917	55.5259	6.3995	11.6901	15.8747	1.3787
41.7477	16.8319	48.0312	21.6867	7.9283	11.8675	164.641	42.2818	156.0197	34.9717	1.0214	190.3694	181.5661	152.48	35.7138	42.9351	18.1521	3.2767	5.0998	4.6595	1.0984	0.2178	29049.74937	7268.820272	9814.296012	8278.304779	8627.320644	4838.555673	6878.530694	6733.095832	2159.640584	3240.606061	1115.645342	2942.073058	94.5659	147.0251	22.8152	25.0781	26.9983	26.2077	76.1739	12.9972	19.4491	2.8834	7.7744	23.0763	175.5431	163.9122	113.4003	34.1004	35.9906	40.6941	58.2312	55.7637	23.6845	1.794	8.3807	4.0895	3941.681438	3669.252078	918.8537185	1759.172623	1384.768326	634.3455497	24626.95853	16629.02194	27971.79909	21700.44783	1626.860969	2291.339328	885.9908884	1792.889647	132.6378	153.6829	131.5411	20.3177	6.9424	5.2737	44.3396	7.1889	11.3612	17.7784	2.4398
39.181	17.571	42.1284	26.7419	8.9937	12.532	155.4908	50.6309	165.8972	38.0183	1.7786	192.8608	176.6204	145.3364	24.4943	42.0081	35.1663	2.9566	2.8692	4.5357	1.4734	0.6897	32397.10145	6183.39581	17319.19537	9408.36475	9784.853776	2776.279902	7787.928889	5602.931854	741.7754569	3413.067863	897.0898981	1620.733104	107.3282	92.7811	100.9389	45.6589	27.7061	35.0809	31.4162	28.3673	13.6363	1.248	8.2747	9.0643	167.4166	153.0426	98.5708	32.1535	73.0937	96.5236	31.7628	22.3336	16.3857	5.0373	0.9926	6.0321	4890.380623	3273.333333	483.2156684	1376.436411	1220.160981	559.9174501	30585.23268	15653.58946	32399.50867	12930.18511	3797.40519	2471.352389	1226.510121	2987.022901	127.7794	94.3956	155.6083	14.6656	12.7551	5.1597	30.7031	10.6366	14.977	8.9023	2.2854
41.1177	20.067	41.8767	22.3788	8.9105	10.3722	162.3479	54.7136	155.6058	32.3551	7.0585	169.762	176.9742	145.6563	34.1855	28.3583	35.2805	9.5353	5.2141	11.5501	0.2116	0.05315	15944.95513	10614.33022	10665.06927	7789.049121	14611.01801	2683.367253	9096.564312	6234.097793	1861.181864	3386.610132	774.7474747	1634.265869	139.1258	69.9649	107.9407	11.4903	76.8429	45.2583	41.0915	13.4551	22.589	3.3998	6.8924	9.9563	168.6396	161.6731	64.5935	37.368	54.5427	51.17	49.633	20.9977	6.4064	2.5682	0.7846	2.6511	4927.87915	3093.006408	883.0899308	1076.12069	1373.427835	1593.620974	21636.94702	14497.08069	36532.98595	12088.03213	1828.599434	1334.221219	1066.387654	1646.276923	125.3628	131.8086	129.7032	16.0032	7.6578	5.0917	16.8652	5.9885	12.6051	16.1411	3.2549
42.0615	18.2034	33.1548	21.9963	9.8738	11.9543	159.8768	57.9504	171.1067	32.8648	3.6057	187.1316	186.4243	169.605	18.0672	45.0733	24.8992	6.0262	2.4858	10.0215	1.0443	0.3437	24055.99618	8008.927193	8556.235493	8379.506677	11528.22984	5471.734781	9170.22607	5864.933135	739.8548847	1600.396077	1167.966784	1719.221168	136.4088	81.7786	101.6562	14.6809	31.7746	45.6257	80.768	10.2474	25.4315	1.1677	8.383	9.4012	176.7297	173.9198	124.7423	36.6015	90.3126	70.8471	25.9545	19.9806	14.2785	3.7707	0.3805	5.1305	5496.790939	3565.846599	908.7242798	677.4110672	1196.383076	1652.517527	27129.93647	18014.55213	27459.22871	14226.85693	2589.876325	1625.388308	1313.435856	3155.719977	162.6555	113.2898	144.3728	12.2194	6.5	4.5828	46.2842	7.4557	8.9861	14.9394	1.7017
