mouse3	mouse4	mouse6	mouse5
7568.286946	4449.048544	9397.746316	3338.313103
10843.68271	4559.572248	7136.067708	6482.389581
8785.016898	4387.639061	10423.39559	6130.339213
6641.838352	4221.983716	8956.580882	5846.077638
8544.24626	2600.435775	7450.033746	6376.307278
11605.11557	3313.116883	6905.438359	3051.018034
7195.506514	4613.943291	5400.043969	3888.485477
6435.640044	2566.815003	7503.674121	3321.420422
12068.36325	2418.732919	7959.145966	5590.826446
5620.585487	4233.037504	9945.788705	3017.894737
6846.082561	3662.744746	8271.039861	3960.268129
8627.320644	4838.555673	6878.530694	6733.095832
9784.853776	2776.279902	7787.928889	5602.931854
14611.01801	2683.367253	9096.564312	6234.097793
11528.22984	5471.734781	9170.22607	5864.933135
8553.832796	4386.40218	11604.01314	5717.562479
8335.671301	7444.466082	12600.58844	5464.789688
12370.3555	6425.239085	11594.37044	3685.099037
9299.595404	3658.947568	11864.77073	3104.424447
9385.887914	3477.311371	6246.136012	2435.348669
6105.546493	3275.670386	10636.60471	6602.430196
10421.68263	3592.319855	6502.846209	3945.159249
8169.381041	3505.108145	11174.11609	4203.4375
8125.852357	5715.307953	10354.38079	4085.57774
6914.51046	4342.301269	5587.670103	2764.902625
7754.644429	5116.711397	3740.207599	3570.039389
8647.391063	7498.029961	10711.95682	2411.348495
5793.127341	3806.697783	9658.85199	7376.493207
11188.10488	4369.191375	11960.26219	7793.381924
5992.181734	3224.597986	9961.396761	5769.74753
6028.996499	4127.293631	9919.228588	5271.691341
5798.772112	2959.171917	9162.520352	4408.789583
4027.726328	3435.581204	14811.63943	4739.934235
13295.49628	4124.326672	10245.87013	5244.918088
15052.2755	7758.104956	12176.2345	6000.340329
13105.65076	5451.718176	10685.30511	2890.292008
8873.047747	3702.199504	15231.68489	5296.517047
12873.04813	3442.520776	11182.75645	3978.61984
5386.972053	3424.84472	8772.642792	2553.157559
10622.79548	5054.722873	8394.920038	3405.595161
7896.729934	3618.513655	8432.949727	4194.545916
7958.39603	3247.190746	9656.476439	4667.560256
8392.916578	3153.806452	8346.541878	3115.882574
6668.412233	4688.412615	8778.508772	6809.376189
10757.36026	2289.619829	5843.935806	3241.523119
12385.06187	8767.150422	4734.950955	4804.958184
11712.92719	8626.186944	4831.849159	4660.949099
11207.33611	5986.758305	4717.887365	5246.515019
13815.88883	4957.590547	4112.185074	4913.7577
8113.336676	6422.556803	5642.065171	5394.506002
6220.5285	5296.07787	5041.681295	5034.434125
5868.126521	5327.849562	4957.206904	5348.70956
6985.19337	4117.883985	6580.97522	4003.848253
8734.750733	7064.756278	7030.319889	3420.347036
9966.742637	2598.492561	5113.414634	7590.471063
10191.1374	1618.48828	6743.055836	4460.423951
13415.9973	2599.3973	5022.484034	4735.13712
9577.486679	3865.663717	5934.411577	3140.958773
