e1	mouse0	mouse7	mouse6
5651.74954	2930.246305	3750.492468	5056.110799
2446.532999	2630.039526	1918.744723	4728.03081
1731.569525	1350.591466	1569.928966	1435.632505
1529.691294	2913.120269	1284.702818	2162.964837
1126.945412	2788.620134	3319.5645	2908.64012
2785.455505	1492.320396	1453.459866	3234.804192
1790.337785	1139.90849	1089.3592	2131.411411
2768.580512	1075.331355	1620.992862	4378.977104
5109.296875	1572.60177	744.625624	5097.296155
1154.982386	2055.836078	727.8669725	1716.545517
1162.084456	1502.77335	3967.430124	1159.935962
1626.860969	2291.339328	885.9908884	1792.889647
3797.40519	2471.352389	1226.510121	2987.022901
1828.599434	1334.221219	1066.387654	1646.276923
2589.876325	1625.388308	1313.435856	3155.719977
885.409342	4226.362122	851.2572027	1299.8262
940.4053612	1430.078125	787.8334799	826.5789961
1299.463627	1512.624113	1518.860904	1305.91994
3393.20354	3376.402251	1590.04914	730.1432292
2965.944775	1164.215105	758.2337511	911.8818381
1372.069465	1614.004721	2875.387104	3157.871674
2264.140969	1594.045802	1727.592372	2870.972477
1521.84167	1920.523085	1322.351666	902.7437056
1105.168986	2431.433457	695.8746736	1232.645599
3885.129683	1515.980498	740.8315234	2800.437802
1631.492793	1782.111727	805.046729	3205.496946
1911.707989	1625.3653	2181.497937	4436.730625
1948.212303	1248.16286	1063.353617	4057.050847
2790.954923	1221.385377	937.2823985	2783.064303
2854.148082	2635.544174	1332.788272	3061.285141
1015.789474	2532.448503	3453.250548	3607.502966
2737.105404	2607.925532	2539.134615	3588.75969
2158.499671	2237.293453	1382.556054	2496.921779
3008.713178	947.2240155	2395.836606	2322.3229
1516.376639	1116.984127	1437.24538	2180.053691
687.3516789	1676.627342	973.1400966	1700
514.2597639	2264.91018	2323.437255	1782.26087
755.6314659	1762.884044	1715.434084	2211.180124
1087.560451	1435.493741	2200.958466	1962.377995
1247.797867	1304.080297	1935.76524	3086.586771
824.9351323	1650.661925	1486.240864	2972.766675
1241.876819	2143.453786	2068.218899	1457.452155
496.5361211	1815.522107	1525.021325	1500.995608
984.360301	2997.149739	1980.503145	2472.778828
674.3623863	2587.967369	2013.767671	1829.340761
482.6962692	1790.963711	3365.662497	3998.108643
797.4802805	1077.378929	3196.760609	1848.678356
1711.046512	1475.793731	4273.499333	4123.805635
2039.040452	1240.0818	936.5970655	2850.763547
1078.15008	1045.439469	1722.908427	1707.628149
946.50903	466.5145985	1507.242424	1185.687771
742.2886691	437.2063834	1474.209246	1339.404035
619.2164179	1318.592058	869.0169492	1223.489933
559.4403832	1318.59985	1436.919505	1654.324097
456.7503792	3009.537037	1492.151118	1515.296496
582.9362716	3358.896066	885.154827	3152.098601
1009.175789	1905.196078	1405.091895	977.917505
485.6775521	799.8879175	1472.116542	2177.105978
261.5366146	1436.151216	1738.651838	1082.255702
247.1389066	2102.123823	2375.691093	1011.421988
536.4708714	2230.998563	1554.077735	712.4441798
683.9962121	2397.888415	661.5319688	1514.229637
341.0037879	1542.171776	3767.867166	3073.426937
492.4920518	1530.956017	1495.002426	1480.861874
476.040404	961.5609349	1292.490454	1795.562436
446.0578323	925.1262808	1581.968743	1464.826809
1944.595839	4570.752566	1442.593994	813.0699088
1471.930654	1052.750623	1450.076369	1043.511008
1449.837955	693.7552743	1504.477612	778.7664871
4297.956522	607.5456223	1358.546206	1543.364868
3156.009144	897.128687	1137.703326	567.5151129
5013.134691	582.9477292	942.9495913	2409.270032
3874.469474	545.5098684	1586.895161	2185.319975
1511.204733	555.1854975	713.8327904	2974.054706
3237.792384	515.9964053	2652.272069	3075.173611
2166.306563	960.1785714	1892.798957	2027.18114
2066.690058	1146.702672	1917.4872	2915.978212
1031.772504	1667.919075	1054.065545	1701.695253
1249.479554	789.0587289	1298.067776	662.8384518
6848.603675	1400.753138	709.1726251	1514.616293
4490.38674	1973.970561	2429.496899	2728.027123
2741.388569	1880.15578	3717.28526	2603.825011
