mouse1	mouse9
3791.380552	2792.530995
4167.190271	3649.389222
5315.400481	3685.575642
4455.805637	3451.587916
3940.682694	3171.758168
3914.832536	2306.18902
4610.675039	2765.302459
3830.865522	4467.839196
6824.837949	2074.80612
4445.944518	3408.007117
5129.304685	4008.189987
3941.681438	3669.252078
4890.380623	3273.333333
4927.87915	3093.006408
5496.790939	3565.846599
6367.310167	3765.636634
4882.953737	3515.143906
4921.72466	3494.957983
4250.572155	4011.857602
4903.197254	3725.130147
4292.713004	2719.971838
4313.014311	3006.958157
3991.40557	3563.086374
5040.767102	4223.131591
4542.071413	4580.743385
3944.539646	3584.90566
3677.616708	4292.942478
3536.586307	4966.518847
3582.491522	4547.145266
3381.25	4149.564376
3655.887336	3630.441478
4565.894852	7454.527636
3093.16277	3929.892857
3772.83443	4780.627728
3394.598338	4363.301163
5322.05	5003.612131
5862.169442	4831.973169
5372.621293	8186.595556
3571.922511	4490.971787
5158.514774	5289.692737
5349.193154	4860.979559
3778.395254	3535.570284
5612.249322	2945.052905
4917.671451	3077.741122
4439.109233	4593.947577
5645.783522	4018.545279
5914.215686	2892.718855
4973.960414	2872.216821
3829.899727	6898.586161
6682.882353	4057.870673
4415.733591	3259.132643
3254.925723	4260.871295
3624.425476	4028.906397
2749.773975	5324.369748
4059.240108	4236.29986
4376.00256	4252.298264
3744.084992	3656.85295
2848.526606	3559.575923
3207.994139	4162.223539
3304.28839	4129.804139
3244.249112	5789.459784
3497.155114	3841.479925
2723.323714	4507.608941
3422.146739	2523.812548
3194.017991	4073.156398
2690.336192	4193.399939
2564.527079	3492.988204
3427.110935	2291.782522
3122.512107	2096.78744
2967.453256	2280.246523
3149.365387	2223.512093
3535.254902	2421.598808
3000.504451	2169.431025
3101.735402	2445.651592
3716.020525	3184.254852
4448.401323	2167.318643
4541.9502	2348.434926
4792.878788	1736.402468
4292.392894	2373.897181
3908.360456	2023.542685
3942.249417	2027.373344
3650.821828	2751.781921
3241.044776	2033.276704
4271.643553	1950.836902
3674.216203	2516.676617
3027.643089	2709.752547
3995.177665	1359.589314
4018.872778	3048.746082
4077.344318	2195.698166
5716.042781	3437.838731
4467.419712	3370.552576
5616.085669	3072.329566
4215.849957	3211.940656
3120.97483	4601.022756
3049.586592	4237.772586
4693.297975	3145.115894
4695.101646	3181.067014
3823.471346	2225.551876
3098.206107	2053.895028
3117.596154	2389.133457
3405.782946	2553.164805
4158.120595	3023.902044
2993.227953	2188.845592
2398.420413	2711.04346
3265.636613	2968.634209
3730.589964	2905.234942
3048.513572	3795.989877
2860.513381	2170.048532
3766.535759	2482.223498
3032.302772	1996.145693
3088.372093	2313.966851
3064.788065	2839.651416
3221.372889	2702.961433
3117.476399	2665.530714
3107.891414	3550.084602
3300.767544	4552.242846
2999.978614	3636.401549
3319.399196	3354.936897
3416.987851	2511.958605
3481.505914	2223.310023
4019.915254	2077.414966
3116.367713	2816.634008
3333.040785	2945.665218
4359.001706	2323.453396
3647.126437	3615.770115
3532.71351	4187.624927
3018.963217	3297.617801
3280.924974	3214.976916
3311.900033	3605.619875
3037.766045	4455.559369
4580.131579	2723.691655
2552.309783	2584.764151
2008.152944	2962.458785
3238.073394	2840.736632
3120.813545	3107.577531
2873.523686	2351.322252
2802.819807	2135.022148
3223.608551	1801.897876
3562.574365	2433.61481
3969.424869	2193.205066
5561.518987	2334.681215
3173.345295	2392.310864
2753.004202	3353.285968
4353.383108	3766.647499
3311.057481	2616.006424
4118.733252	2802.546072
3794.177256	1717.381711
3374.304941	3610.324641
2694.833247	3549.217129
4707.983871	3178.568456
4834.275875	3008.936891
2706.552474	2895.557925
3762.289935	3937.007691
3518.848168	3672.455315
3292.837466	2065.889015
4601.270983	2507.898057
4521.197686	2391.854265
3779.382958	3167.878788
4996.904812	4919.251754
4093.304288	3004.940476

