mouse0	mouse1	mouse90	mouse2
1397.001666	830.045425	2164.507166	2127.795945
1251.89579	509.1816367	1896.402981	1260.913405
1641.269493	871.5433259	3312.275807	1080.608147
1110.145985	914.5690673	4346.377749	2218.377425
996.07747	1046.047651	2605.926594	1137.086288
951.2356252	515.1387054	1448.650709	1915.758564
485.3632479	476.9177289	1596.604759	774.2609582
817.3888255	540.3174603	2297.901415	342.3533184
1675.881523	671.840796	1187.502328	585.9367626
1187.025596	765.570904	1034.178801	619.6113526
523.1006794	621.4505423	2344.374343	787.011537
918.8537185	1759.172623	1384.768326	634.3455497
483.2156684	1376.436411	1220.160981	559.9174501
883.0899308	1076.12069	1373.427835	1593.620974
908.7242798	677.4110672	1196.383076	1652.517527
707.7515528	1177.258388	1072.398844	2081.556003
666.5516391	1224.332629	577.2278912	2274.007511
823.4428735	545.3458582	1696.809779	1422.847791
624.8935037	481.2753859	376.1817441	1841.911004
930.1769708	479.7516079	1435.436474	2024.136905
480.0362565	707.5342466	1455.320222	1174.660284
921.9215776	714.3539853	2918.284193	1256.420709
603.677973	511.2963798	1363.674912	1318.890357
614.4641811	495.9830226	1010.716907	2331.31897
717.8571429	1117.557932	1163.36056	2762.246935
727.159309	1145.266146	3233.423108	1485.663265
929.9943246	702.1563929	2941.30854	1659.421671
401.4087302	1040.042328	2458.316532	1435.402738
947.3807662	913.2533645	1585.177365	1675.977071
1122.114887	1267.442981	1551.723156	1776.543516
623.5866983	933.7349398	1292.744063	1506.616862
729.9186992	1316.058394	2316.106719	2358.388075
1003.134721	905.1777916	3266.56304	2311.267606
747.1157645	1385.069776	1544.077715	1859.832811
466.8184641	617.5036127	944.996141	1202.527444
1290.505934	729.122575	2678.120137	1116.077616
963.8123012	1316.453794	1009.766277	693.9851426
806.5413534	1216.471616	1183.353438	1028.789986
924.949779	552.4364027	1777.545992	1868.663037
675.6918688	513.8123085	1015.424007	1500.433034
581.2678937	809.7390855	1524.168514	1286.65759
685.958486	663.0842513	1220.366599	1197.680339
1156.921824	614.3956044	1448.400154	2173.505365
1088.177227	760.0864998	1096.550862	1004.751491
1205.699159	906.7428793	661.6928306	1277.343981
1364.495264	621.7627246	470.8910434	829.5856611
791.3402803	1145.493916	1413.521127	735.0280974
887.8658101	385.3053089	922.1701514	776.7714688
1380.006388	429.8360656	873.6557429	2277.111943
839.5585739	552.8627941	805.8370636	1520.698413
1914.569814	727.9444199	613.3736559	1358.829341
1074.177282	597.5164724	1498.672566	1588.012991
1177.726782	744.2037471	1587.851488	1362.989324
1991.237113	1125.471515	1348.559322	780.3334968
1147.924957	681.6631628	638.6822271	1842.814864
1657.188498	581.5055603	623.2856542	1829.551167
1716.997562	1219.184872	590.8876537	1915.217391
754.2514171	646.7546556	1157.484749	2838.176383
783.4117032	607.4443861	996.8286977	1668.75188
485.9664607	567.0938283	913.5479689	1459.365245
563.9190166	438.1503807	667.1457906	1916.035752
962.347753	517.4899037	1616.609516	2102.610042
692.3844062	588.7160386	1394.149208	2254.253807
704.6436285	930.6680694	786.9252602	1883.410006
546.4779162	821.6042155	960.4264546	1588.041775
659.896186	901.4798641	1006.258009	1452.147937
1547.310259	394.3327974	652.3647001	1545.745063
487.5	354.7223995	645	1623.685127
644.086728	376.20055	1430.642349	2526.283209
881.0005956	459.7983991	482.8159645	1291.934298
919.875	405.0394885	554.7868923	1656.891289
603.1038722	483.810489	654.905914	2148.935152
774.6008442	464.2431466	1085.027404	2318.417761
582.4410163	437.0658516	925.3995574	1618.818949
555.2882206	651.335036	1340.78534	1606.058589
1100.298762	622.9284904	335.7858243	1563.185012
1353.111679	691.9323671	1830.892773	1217.109213
1513.4932	698.4178688	1267.099567	2011.996337
1314.503546	519.0906982	1765.068702	2238.541667
1250.562284	395.8076741	2206.703352	3037.009063
1152.88912	355.7535142	1140.068493	1619.616838
804.8117576	530.987734	813.3542623	580.3272522
2599.956503	414.4203264	566.1538462	753.653169
1130.181676	512.0526471	969.5258132	1671.542251
999.094531	649.0191083	568.5826578	1171.071429
952.4176594	408.0303728	768.9277899	1863.457581
1931.341564	1161.170592	1189.173504	1360.161737
1113.424568	503.5453597	701.4447884	1727.397946
919.8119326	982.8856485	815.0583245	2030.709973
864.0595903	709.6115427	1708.714789	1572.661157
1438.801616	904.0867652	1453.800075	1389.33231
1420.994941	722.3035166	2258.488869	868.0357143
1199.210337	598.9849188	2032.581252	722.1141375
1105.701425	768.3974359	1803.767228	1132.141852
794.5989305	1285.182679	1525.813149	729.1925466
695.6734694	431.9657787	1521.07005	506.0153994
1289.303212	731.54	1528.986349	1125.962228
987.4507988	622.0006137	850.9588531	2487.326669
848.4615385	677.7199074	1124.95424	2623.330888
1593.121417	802.7852998	648.187073	2676.864191
1628.04699	684.4492912	570.1725213	2513.372665
2480.468492	1261.085271	1139.128196	2153.489172
1584.360834	555.8560477	507.4708542	1848.102859
1351.232877	585.4617676	888.0276475	2067.182915
1874.684912	599.0822972	635.9561055	1119.556746
1480.282087	582.2018678	1083.791051	773.7323177
1772.958801	429.2050055	1656.730769	1166.620228
1203.567384	376.5122795	1311.363094	2663.465553
1300.893106	668.2219662	1336.924104	890.7465008
1604.084158	575.0053271	1485.628043	919.760479
1766.963996	567.9854663	1610.77463	1883.218204
