mouse6c	mouse6d	mouse1k
124.3994	142.0502	110.6724
89.1556	142.7014	87.5443
102.4453	65.8434	82.5835
164.3224	109.5235	55.8215
93.4934	107.3623	92.1379
139.5463	125.2806	103.071
156.461	106.6838	107.4874
86.0333	123.3159	103.3881
140.7051	126.0198	76.8166
152.777	58.9907	101.717
107.7665	105.8223	57.4526
94.5659	147.0251	22.8152
107.3282	92.7811	100.9389
139.1258	69.9649	107.9407
136.4088	81.7786	101.6562
157.1742	91.5141	95.4996
144.8853	87.6775	26.1355
139.6342	110.7364	102.7934
149.3076	88.3182	122.115
162.8832	133.8313	108.168
147.5975	45.9402	84.8971
99.3482	114.1055	66.8024
95.1726	31.4821	112.599
91.3999	64.5264	92.5527
53.8616	79.0845	103.1827
113.9042	89.8779	78.8973
129.2892	77.3762	23.6162
138.6156	24.9973	110.7182
126.5241	127.5635	91.9166
95.4704	134.5048	106.4556
106.1526	105.7404	110.6569
163.2187	86.1621	94.9515
116.6991	67.9064	90.6377
113.1851	106.8701	113.9013
150.5424	106.1102	35.2265
47.3287	113.1129	126.3266
168.7174	99.1673	43.991
145.2624	94.7479	118.7959
132.6788	132.3186	91.3768
91.3961	70.7896	75.5275
115.5334	116.4436	125.8157
79.0098	110.6256	115.1652
124.4472	85.8738	109.4103
106.2029	104.7126	67.2567
141.5296	112.8497	100.688
152.6533	112.9573	100.8963
83.6622	106.3601	83.9736
107.1258	81.1992	116.8872
144.6762	107.6536	102.7285
108.2142	82.9368	105.5362
142.2306	97.3553	107.0333
146.3509	77.8812	125.5381
108.3407	109.5135	129.4013
139.8045	126.2657	114.0767
58.1353	103.2056	127.8642
147.9763	104.6834	130.1088
103.4812	116.9788	112.2121
112.6929	70.4263	78.0647
114.3528	76.9389	125.3466
154.0625	91.8726	108.3332
101.354	98.6522	153.4862
123.0425	113.5772	120.9619
91.8632	87.4459	102.9892
101.5687	99.1387	137.6413
120.6683	78.4115	111.0667
115.1746	99.6802	122.2216
81.7045	116.2866	110.6818
73.2724	53.4401	114.7905
113.373	72.7703	128.0594
87.9431	84.9656	128.8779
145.0548	87.1702	130.6641
113.4326	94.5277	117.9497
137.2835	49.8974	99.7361
146.9692	111.0381	136.9748
121.0227	91.84	120.5189
126.7874	115.1853	79.9946
101.3965	82.7144	124.3008
137.1825	106.7001	82.0459
135.0023	121.2336	112.7349
165.7137	93.6931	134.7379
163.4491	111.0311	133.7425
89.9094	78.9744	148.8435
148.5129	75.9726	122.1623
164.6377	103.8161	122.8319
92.1343	84.6696	119.5495
128.6246	91.9756	99.0566
110.8699	104.4512	130.8219
158.7308	50.734	126.7983
97.4546	94.9955	134.0701
132.5003	84.9486	142.2952
152.9919	117.8287	146.1673
166.0112	78.985	77.3701
168.8371	85.3127	145.5586
123.6771	77.6618	126.583
48.683	121.2762	60.81
115.3241	109.4853	105.8333
132.2799	83.6805	122.3085
105.8679	85.336	123.5548
61.2969	53.3438	80.4248
109.8831	61.5461	103.0315
132.9042	101.9537	60.4819
131.0749	81.4264	135.9824
21.1828	122.2791	106.2025
142.2787	101.722	62.456
147.3635	46.5555	113.7958
169.5197	115.1616	118.6165
115.6805	107.0899	139.3222
63.6948	99.0809	121.3097
152.4882	109.9914	113.5545
131.202	81.8562	103.5063
130.9959	43.8674	61.8019
152.3738	101.0212	99.7371
145.5565	114.5402	70.5973
131.4706	92.5215	95.8449
164.633	112.7689	109.194
98.4901	101.8285	93.737
132.7475	64.3303	119.9846
100.6194	75.5087	72.9367
154.5714	73.7176	75.1822
134.4873	77.1171	110.1578
92.5429	70.7196	65.1568
165.2349	65.3787	126.4334
107.418	60.7865	73.3038
138.6678	74.1948	96.1407
101.2033	61.0222	67.4253
167.5118	93.2366	78.2395
129.448	65.4832	135.6151
149.779	86.3668	122.5804
151.2907	55.8415	108.9756
148.536	74.6721	131.6448
164.4939	54.1603	120.8575
181.4652	63.4242	124.3924
123.1942	65.0586	90.9761
170.1072	54.3021	57.0688
122.4926	97.1427	135.262
155.0903	71.7914	121.9592
117.6578	70.6005	109.6223
87.318	130.0781	113.6319
126.1983	81.5732	94.3144
90.5425	66.2549	100.8824
117.7634	115.4287	38.3349
151.6494	100.8045	93.5362
167.8195	89.0691	129.0636
176.0345	79.689	111.3
86.0435	64.4052	142.5984
112.2471	72.2641	95.8806
98.0741	79.7404	113.1023
93.2176	75.1689	123.302
179.5021	86.8764	135.333
176.9966	87.4547	109.8102
182.2861	70.1456	113.1198
125.5084	97.3806	139.0678
138.8865	113.2195	74.9703
87.1746	43.8829	125.4304
160.0776	47.3945	109.6252
136.3701	64.9291	129.8949
94.5754	61.3937	112.4935
148.1004	121.6033	116.0354
127.0925	51.4096	111.9445
143.1846	49.5532	108.0085
161.2995	125.692	99.0704
143.0423	99.1911	112.801
131.6636	83.4418	129.1814
130.6922	74.1613	82.8937
101.3153	45.8913	101.2653
113.0278	52.0093	124.1779
185.0502	54.2366	28.5279
87.3603	66.8732	127.5764
140.4998	115.9657	98.1783
107.7105	65.8736	93.7741
129.5936	88.103	124.5396
101.294	66.8203	134.8034
184.2909	105.6343	137.1878
134.5008	55.0429	135.2759
108.0787	88.8215	123.9281
114.7139	63.7755	83.881
56.2212	81.4191	126.7516
98.4412	69.4307	106.4151
159.4946	76.1679	126.6877
98.6245	37.6291	107.6047
111.6795	54.9229	112.0955
121.5984	43.6866	59.3227
144.6489	115.173	109.2023
109.279	69.506	112.6054
176.9068	64.336	110.6147
157.8816	72.3653	88.4493
134.5178	78.135	104.6646
120.1191	75.8051	78.9767
130.0661	59.1474	98.0963
136.2321	69.8955	99.3141
81.3906	56.4663	87.238
131.8768	46.3913	102.3896
68.9959	69.0113	122.9437
95.7583	103.8265	120.128
87.1981	37.0769	111.1223
115.1728	84.9373	54.5514
102.8991	80.552	118.776
97.6088	79.3378	122.5618
123.3421	62.7597	117.6896
123.7911	66.7534	111.4339
128.5439	78.1117	111.2613
105.1169	58.3267	92.4962
135.6973	84.1575	127.0129
131.6111	70.0671	111.3166
121.1727	126.6521	116.478
102.7368	57.0846	94.3025
128.3839	53.2758	127.798
114.9883	27.093	114.0962
151.0281	75.2674	90.16
143.8174	93.1441	102.4066
127.3057	92.245	87.4001
94.6057	71.4392	92.715
144.3646	66.3937	96.5201
148.3964	26.8662	116.5968
119.0189	70.6042	130.9945
105.806	51.8394	112.8569
110.7633	74.1429	118.8865
108.3851	85.783	123.0744
131.0819	77.0904	109.1352
115.7407	52.3737	116.0309
118.4863	128.1445	126.9424
111.9714	72.7338	112.7882
75.0699	87.7473	105.555
