mouse6e	mouse6g	mouse1a
65.8071	4.4468	13.7333
57.2394	21.3863	20.0427
41.208	8.4297	9.5701
48.9053	7.9518	16.1352
47.9129	14.2764	9.1505
42.6348	12.8504	6.9428
23.8338	58.1309	13.668
40.91	3.4722	17.8104
68.3669	9.8379	17.3741
47.7108	24.5586	15.0288
56.4687	3.3978	14.4283
76.1739	12.9972	19.4491
31.4162	28.3673	13.6363
41.0915	13.4551	22.589
80.768	10.2474	25.4315
29.5979	60.9689	11.332
90.4803	21.3965	17.7965
69.3437	21.508	34.7056
45.6159	29.8349	11.6297
59.7914	29.6443	31.9342
18.4865	13.9308	11.741
80.3813	35.571	22.701
42.349	13.3775	18.7573
40.2637	13.9848	20.4803
37.6975	18.57	16.6913
75.1398	14.3331	13.1935
52.742	15.2513	34.7639
64.6082	9.8823	30.3908
47.4754	26.5787	21.7324
44.957	10.8555	23.5189
34.1843	20.1906	30.8494
44.7537	11.4101	20.6499
27.2221	12.351	25.663
84.0924	27.356	19.115
23.8284	10.0273	39.802
42.106	17.8906	20.7484
68.0841	24.1524	28.9524
53.7593	15.0224	14.8145
42.8755	20.8073	12.3129
64.3534	29.85	18.4684
30.5015	14.892	21.8239
50.9493	35.5656	21.8146
71.0692	23.0646	25.342
43.6448	9.949	13.6935
37.4277	35.5847	37.1825
37.2422	15.5141	19.2495
67.3051	35.7293	24.1747
36.9571	9.5937	12.9623
59.0897	20.8241	12.4741
68.2583	12.6654	37.3486
38.0619	25.5652	11.0701
68.2798	19.3448	16.591
56.3276	18.0389	22.3448
51.8324	16.0013	15.872
28.0364	16.6362	19.7538
59.4889	15.3919	12.7491
27.6631	12.7321	24.6586
30.9807	4.087	24.6555
30.1532	11.6171	14.6001
36.0021	26.2357	18.2982
29.9824	7.9659	5.758
38.3907	17.954	23.9605
56.3008	5.9261	15.1907
50.988	11.0997	33.6956
25.1764	19.5929	10.5688
40.7704	22.1489	20.7572
42.9202	13.5958	37.6406
85.1433	5.5502	10.4461
27.9663	21.2753	18.2374
61.4241	27.8607	12.9548
24.8376	23.8469	18.5756
25.8118	13.8514	29.8803
40.5237	22.193	12.5982
40.8321	17.8823	11.9187
32.6127	17.2367	13.8043
46.0085	21.5658	12.745
68.7878	20.2357	19.2281
22.2123	30.8502	24.2247
45.7604	16.6077	16.7885
74.2083	15.9059	14.8052
35.4044	21.3628	20.5521
26.4363	17.8709	11.1143
78.4721	14.2383	15.1847
37.4372	9.2767	13.7635
25.7394	16.1759	10.5615
103.4559	13.8095	12.6888
