mouse1d	mouse1e	mouse1f
3.7754	14.0658	14.6107
1.9468	14.1241	6.6506
1.4542	17.0994	7.5157
1.4355	10.8126	4.878
1.6639	9.9274	8.4327
6.3821	11.1387	26.2808
3.6874	4.7693	6.5452
0.8787	9.41	15.5829
1.4921	11.0895	17.8778
1.3924	19.4358	4.7871
1.7167	12.9346	7.3226
2.8834	7.7744	23.0763
1.248	8.2747	9.0643
3.3998	6.8924	9.9563
1.1677	8.383	9.4012
0.8466	5.0811	11.5254
2.1058	18.9315	33.8726
3.9249	7.8151	9.1178
3.2672	10.0506	8.3597
4.008	6.7694	13.1903
3.1767	5.2546	8.5078
1.355	5.3779	18.893
1.5282	6.4128	4.8819
2.6541	6.306	8.6025
1.8706	8.692	7.9533
1.1264	6.133	12.213
3.1654	9.5171	9.9018
1.4533	5.2332	26.1876
1.9314	7.1145	20.6602
2.0949	5.6261	37.2787
2.289	9.4378	33.2969
3.016	5.424	14.2309
3.9711	3.0372	8.2631
3.0588	8.5	14.3148
1.9058	7.7242	10.1628
2.0481	6.9073	24.7948
1.0635	3.7095	11.5827
1.4282	6.5068	9.9889
1.9875	4.6026	37.0893
2.3279	7.4483	9.3938
2.262	13.3227	10.0135
1.1062	8.8737	11.6891
1.9833	12.0166	27.3797
2.9528	9.1634	5.9587
3.2846	9.0372	23.4853
1.6682	7.7238	10.4033
3.086	9.4284	5.5906
1.7415	11.2156	9.1563
1.5751	6.7017	6.4494
1.1288	9.7035	6.5288
2.4168	7.068	15.8752
3.2465	7.5894	19.8173
2.2574	10.9984	8.3181
3.7894	4.7233	9.6221
1.1449	11.248	6.1976
3.536	3.8451	12.057
2.4097	6.7239	10.3846
1.5019	4.8555	7.3559
2.7853	24.0523	8.9584
1.9927	8.7592	7.7147
2.6884	12.7986	6.495
2.5267	9.1857	9.2176
2.35	8.384	14.1771
1.6681	7.341	7.9175
2.5131	13.9463	10.9624
3.2122	10.5228	14.1635
2.1559	11.1887	11.2893
2.0412	12.9561	26.0685
1.5946	12.2032	62.5739
2.6638	13.4405	12.4874
2.6959	13.2993	10.9173
5.4869	10.3164	9.2046
2.7615	8.6369	64.068
3.7042	10.0026	21.3107
1.311	25.1737	4.5426
1.5845	12.3236	9.1678
2.8016	16.2013	14.7292
3.4694	9.663	8.8644
3.9722	9.2527	12.4901
1.4429	5.852	7.804
1.5371	26.4409	8.8296
2.3141	7.6911	7.9429
1.6452	10.6843	7.5577
1.5034	13.5822	7.0947
1.7899	9.2378	9.1718
1.1738	10.2733	8.3623
1.2066	8.2824	7.1263
1.4895	14.0066	4.2435
4.1556	15.077	33.2411
1.4224	16.7638	15.203
1.4257	16.9713	6.3781
2.3049	9.7316	7.0905
2.5192	13.4163	11.0078
1.5213	14.6999	10.4157
1.2507	5.1323	10.1545
3.2272	16.2937	17.3651
3.487	21.3065	12.5973
3.7366	9.9788	21.5786
2.2314	10.1683	14.6713
1.4444	15.5475	16.4022
11.7256	9.1729	19.0078
8.8495	8.9571	14.2551
6.855	8.8854	15.0769
7.8378	15.7694	8.9593
18.1877	20.9454	5.2318
4.9239	9.7254	6.2049
5.0595	17.0352	14.5915
6.5257	13.7134	23.103
7.2038	11.026	12.8138
9.8941	9.9226	16.224
5.5712	14.2776	11.9525
12.5151	9.4105	17.1999
5.8017	17.147	14.204
12.6476	9.6734	6.6805
13.9816	10.9654	20.0375
5.1672	18.688	13.7503
3.9931	8.0458	35.0671
5.0709	13.2647	23.0775
9.3	11.3693	11.4283
7.9472	8.3919	11.5368
5.8836	9.9355	11.0211
9.6599	8.5495	14.3709
6.4011	13.3358	18.7653
4.9611	17.6474	9.1388
8.5893	5.7919	9.385
5.2124	8.6671	9.8742
4.32	5.4344	41.0796
2.274	8.4274	7.9627
8.9077	9.0016	11.9179
13.5125	4.9634	8.9007
5.2424	10.631	10.959
6.1715	10.1063	7.9942
4.7375	19.4687	3.7578
6.491	10.2117	2.5938
6.3976	6.966	2.3458
4.9154	5.0733	1.7531
9.4464	14.5522	0.5987
8.7256	4.5575	13.9972
6.4676	8.9649	10.8312
7.0068	9.6717	6.9808
6.1318	5.8069	18.8852
12.1025	30.2424	11.6837
6.601	5.5238	17.0538
10.306	9.0719	1.7634
9.5503	10.9212	6.5808
6.3326	8.9724	0.7539
8.8319	9.1818	4.9809
6.982	5.0092	2.3067
12.2336	4.8112	9.4585
8.4251	10.8982	1.5957
10.258	10.8179	37.2357
9.6593	5.4319	0.6494
10.0277	6.8207	9.2535
9.0235	6.6416	14.8546
8.8931	5.3087	17.9952
12.2582	7.504	0.8404
11.1578	8.8597	13.9021
3.5085	6.1048	15.2106
10.5981	8.664	17.0311
14.76	6.5915	5.9985
2.1647	8.0272	1.1602
12.9409	6.7336	12.7113
18.9504	6.8907	8.2255
7.1292	6.0712	1.0659
11.4718	5.3231	0.6564
19.3662	5.5751	4.7575
8.1018	4.6043	0.9522
3.4688	6.2138	20.6283
7.1648	5.5654	6.896
14.8085	7.4766	4.5329
14.1898	12.2883	20.1082
2.9946	3.0665	20.2254
9.8988	6.8657	2.249
9.0505	13.3099	10.4246
8.9668	6.6942	3.8724
6.1169	11.2555	14.3444
33.8629	7.0599	1.2112
10.7127	5.1424	17.255
12.4939	5.506	8.9631
5.407	9.7881	4.1157
8.2214	11.417	14.4025
5.0078	3.1429	5.4863
3.6958	9.7676	14.2711
25.1742	9.2863	19.5503
4.4896	6.3606	10.8522
5.2924	10.8856	1.2496
5.6271	6.9	33.656
7.7646	3.385	13.5271
9.7357	6.7662	10.6453
9.4849	5.6491	13.4573
5.808	9.3429	7.7328
23.4344	14.9057	4.9256
9.1948	7.378	18.9361
4.059	13.298	6.0435
16.5809	7.7948	25.42
7.6832	6.4899	12.8871
4.7743	16.477	10.2882
8.0226	12.2404	9.5272
8.1915	14.9906	5.1341
16.4664	11.5665	3.7271
6.3905	8.7696	8.2252
12.3847	12.3004	11.112
4.3755	13.1434	4.8351
10.1967	12.3745	7.6128
19.9984	4.5355	9.3407
2.7783	8.5551	7.4692
22.3043	11.9421	8.7114
25.387	9.274	17.0765
7.9004	5.5353	5.4354
7.7756	6.5944	12.4336
4.6125	26.3533	4.5689
13.9143	9.0022	5.3745
3.4468	10.5984	14.4723
11.156	7.4445	10.1314
12.0293	6.0828	20.4964
6.7849	13.027	12.578
5.0991	14.1341	12.6881
18.4465	14.0839	3.962
2.9944	13.6355	4.1849
9.2225	10.4377	10.7276
17.5933	12.5936	9.2824
4.0465	5.4037	19.3766
4.2166	10.5806	6.8892
12.3089	11.735	9.4587
5.2211	9.3904	6.5547
2.4154	10.3003	5.3515
4.2149	8.6046	7.5423
11.3306	17.8078	12.4109
4.8996	14.9571	22.1647
3.3628	12.1239	7.8705
4.8542	8.5866	23.4877
3.2685	19.6323	3.3278
5.4181	9.5164	8.9273
4.396	11.9791	8.0825
3.0013	15.737	3.5886
3.6309	11.8576	18.4122
4.213	14.831	2.173
4.8008	5.1865	5.6833
6.9074	2.8743	4.3011
5.7786	15.9025	12.7719
4.218	3.3968	6.7202
3.3601	28.686	5.6265
7.124	3.0369	7.7469
3.3849	15.8739	5.1666
7.7636	12.0769	21.8167
3.0366	8.1636	6.7502
16.2798	4.3344	2.3763
5.3284	16.2955	12.5706
5.1801	24.8668	6.5249
5.4114	8.94	17.395
5.031	7.5123	4.7873
3.2656	14.718	10.0815
2.6596	10.4529	7.8118
10.1501	5.39	2.226
3.7589	12.0092	4.0385
4.1561	6.9553	23.8202
6.6242	4.0977	8.8342
2.9999	5.3284	10.9831
3.5585	6.3644	7.9113
16.7427	15.3111	4.5444
12.6076	5.7045	12.8272
4.1841	14.8221	11.8198
6.8825	5.0204	2.4448
3.1011	6.0271	11.9094
4.1613	10.1364	7.9095
3.1205	10.3715	1.9016
7.4131	3.637	10.6885
6.317	12.4073	21.6037
4.8649	5.7077	4.9542
6.9211	15.9801	5.9064
6.4054	13.7522	1.6433
3.816	12.3774	10.556
6.3304	10.8036	3.96
6.284	6.9971	13.9204
5.1805	3.8665	24.0776
0.7636	12.2313	17.2224
9.4101	7.8118	0.7364
6.5672	12.293	22.2039
3.0577	26.3783	12.4461
14.9786	5.4072	15.613
6.2547	12.5158	3.7551
6.5145	6.0072	4.4831
2.237	11.2363	7.0772
4.1806	40.0678	8.3422
7.6314	15.3251	9.568
6.3506	12.6963	6.5031
5.378	12.3295	13.5529
2.3465	5.1916	7.5921
3.8915	6.7057	7.4713
8.2836	10.5197	7.9089
6.7788	7.7977	13.1552
4.4456	17.7312	10.1335
9.3627	4.6141	7.3977
4.2119	10.9204	8.3248
3.4928	4.9505	8.12
2.2552	6.8831	5.2706
4.3531	9.4852	3.3338
4.1542	9.4843	4.98
4.3467	5.4844	5.8491
2.9269	10.1616	4.3605
6.3279	5.0509	5.9608
7.0501	1.9622	2.489
3.1976	8.605	3.5609
2.5889	9.6255	4.6423
6.0885	14.2317	3.492
5.5256	5.6252	3.711
3.7691	14.6947	6.6493
5.7483	8.7192	7.7045
3.7057	6.0107	46.3359
4.6162	6.3039	3.0941
6.1396	8.9689	3.6797
11.2074	4.5652	4.5378
9.4141	15.0024	2.0314
4.8537	8.8503	3.6166
3.71	10.795	4.4631
6.1612	8.7467	3.9294
5.8728	12.3793	3.6315
4.7239	7.7362	10.9263
5.6121	8.489	8.4148
1.009	9.0604	12.4416
1.1822	7.67	4.4038
6.7775	4.4316	3.7883
9.3797	9.7904	9.7058
5.263	4.4211	7.9561
4.5518	4.1626	4.1607
4.405	16.6089	16.3198
4.511	20.0491	6.375
6.9432	6.5193	14.0904
4.1396	6.0672	12.3653
1.4758	4.8839	6.0556
36.3084	9.9494	9.7706
5.8385	5.0848	4.731
3.9179	4.4942	15.3072
22.9219	8.9287	17.2201
3.6434	12.8434	4.6855
1.8423	6.8434	9.8759
0.8535	5.5694	6.394
15.2295	7.0049	11.6932
5.3362	7.5317	6.4314
2.4983	5.7462	8.0245
1.538	4.6553	7.4538
4.0712	6.239	16.5543
2.1931	9.2253	9.0358
11.8851	10.1442	11.4036
2.5713	6.6114	5.3616
10.06	9.4267	13.1689
2.7268	5.8092	7.093
6.7106	6.5188	51.6016
9.1819	19.6662	8.7717
5.3226	9.1287	6.5318
12.8321	6.2313	11.4038
2.1471	5.9673	5.5311
9.7359	5.2407	25.8599
18.8849	5.6389	6.9772
4.9577	4.115	14.308
1.8024	5.4267	12.1329
2.5758	6.8799	6.3825
5.5566	6.0724	5.4038
3.427	3.1615	4.8425
6.9063	7.4009	16.7143
5.3206	11.0651	13.1451
2.1476	8.0125	5.757
4.6473	8.5684	5.8401
1.7812	3.4666	6.111
17.4459	6.2706	5.2999
7.0809	4.8195	7.5184
5.2745	3.2466	7.7675
5.2769	6.9507	11.5783
6.4342	8.0646	7.1291
4.3754	10.7833	5.621
3.1337	4.8865	6.9698
8.1522	12.7553	26.4871
6.2304	13.483	12.106
1.7874	5.4837	5.9917
6.4913	5.4145	6.4526
10.2558	4.7626	1.9189
10.1984	8.754	27.6129
6.2926	7.8826	22.3147
5.6803	13.2702	14.0938
5.5228	14.0714	13.6681
1.9515	11.2714	14.4267
6.243	5.1043	3.1285
5.0503	10.7664	21.9519
2.0893	8.9218	17.2679
5.9954	8.4096	20.6464
4.5177	12.3444	18.6561
6.8099	7.9388	4.4272
5.8225	22.736	30.3333
3.754	11.4908	22.6771
3.1672	4.7436	30.8351
1.8762	17.3291	7.8037
3.9624	4.4588	27.553
9.1753	6.6078	8.2693
11.8336	5.683	15.1323
10.4669	16.6778	19.8466
5.2128	24.7184	11.2249
10.6584	9.9961	8.4166
13.8137	14.8269	10.3904
11.2015	11.9845	7.7025
2.7965	10.3589	6.5862
14.6887	40.7682	5.2131
9.6988	19.5451	13.6765
5.5314	8.8116	15.3333
7.4783	12.344	5.4778
3.2776	5.8191	15.0158
8.1356	18.4024	22.9487
6.7949	9.0163	6.6064
4.928	9.3422	13.9977
5.7997	16.5058	7.5744
4.6293	20.5055	5.2995
5.9812	6.9541	38.6033
5.2169	7.3016	20.6962
2.8032	2.973	12.2474
1.4527	6.8409	12.267
1.3409	7.9511	23.0677
1.2172	11.525	47.176
1.5814	19.6592	21.154
2.287	6.7206	19.3662
2.9931	12.0229	14.0861
1.293	7.0279	16.7819
2.7564	8.9656	17.984
1.345	6.242	25.8593
1.7841	9.1331	20.1973
2.334	9.688	35.5802
2.778	3.0059	17.0741
1.4067	19.8185	11.5468
2.4507	17.1805	15.7702
1.9456	6.563	7.5869
5.1409	15.4251	16.5137
2.6015	9.8692	44.8368
1.8613	12.0066	26.5111
2.1119	3.1636	26.4178
1.5555	6.7801	6.6394
2.5382	13.0734	23.748
2.8802	8.5545	12.0163
1.3412	9.5366	12.8447
2.5174	9.7528	11.9824
2.4811	22.6084	11.0866
2.383	9.6625	19.0184
1.9429	10.0347	19.8194
2.3732	6.0115	24.7062
2.447	5.6151	14.0156
3.2956	5.558	9.3995
1.4789	8.402	16.0525
2.2596	8.1098	8.0098
3.537	4.036	6.3933
3.6029	11.0368	22.8891
6.5513	5.8903	13.7033
1.0101	4.6207	7.9948
1.4361	9.3246	25.0039
5.2213	9.11	8.1963
2.7495	13.0965	6.9746
3.8582	5.215	7.8165
1.6202	4.7006	15.8137
2.5471	7.8783	26.3745
4.8664	2.4569	15.2073
4.9403	5.6002	22.2064
2.9695	4.1272	19.2001
4.8328	10.4464	15.5859
2.0007	10.607	12.0979
4.4613	9.6276	14.4131
2.5186	7.6975	34.0049
0.9723	7.9981	35.8057
2.4308	6.11	18.2726
2.5977	9.0325	12.1027
2.8352	7.1185	6.4361
2.5795	8.7987	6.6794
3.1084	5.9132	10.4119
5.4688	3.795	18.9646
1.7113	8.1574	37.0313
1.9856	5.537	22.559
1.1739	6.6761	35.001
5.7743	3.7046	7.874
2.0007	5.7334	6.9562
2.5788	2.3384	26.2671
2.2929	9.7109	9.8627
2.4389	10.319	9.5694
2.5015	8.96	15.0664
2.8211	9.7793	11.0554
2.3077	9.3942	17.7982
7.1374	17.3888	43.0489
2.9125	9.7554	64.5841
1.7835	7.381	9.6472
