mouse1c	mouse1i	mouse1j
35.9564	20.5077	28.5458
31.8143	33.9768	27.1834
15.2633	37.4032	32.6274
30.3644	32.9107	47.4345
19.7006	58.0826	22.0305
10.5835	27.8215	51.8956
9.6882	85.1512	60.4931
11.0797	87.4644	39.435
27.692	66.1992	27.8133
13.3136	46.4125	26.5451
18.5265	35.0248	33.928
25.0781	26.9983	26.2077
45.6589	27.7061	35.0809
11.4903	76.8429	45.2583
14.6809	31.7746	45.6257
24.9739	31.7655	39.8916
19.927	72.738	58.9322
19.0323	71.5549	24.3252
21.5988	56.0476	22.9831
20.3834	30.6667	27.7317
26.1055	57.1125	44.6222
19.5646	40.2031	27.594
15.1884	106.583	37.5458
27.7098	52.1877	52.2648
12.3151	20.974	37.6424
8.7944	45.308	34.384
14.6456	122.4515	41.5285
19.6343	64.7091	27.0267
13.1166	13.8814	34.1569
8.4025	71.8109	48.5134
25.4003	21.024	51.9344
21.8893	27.3037	27.1475
45.2369	27.0143	45.2022
19.6081	90.7004	36.9581
15.6486	72.9795	64.3526
25.5858	34.4277	58.4166
14.1643	42.2687	35.4311
14.2443	84.1792	22.5617
9.8155	26.462	23.4097
22.7146	44.2052	29.3544
25.4253	42.1557	20.2582
22.288	89.1494	17.5807
15.6227	61.9351	30.7721
15.2492	82.6844	34.7854
21.4705	24.173	32.7346
22.4158	80.083	19.5063
21.6817	30.8684	45.4034
15.4982	42.2303	60.2982
18.0652	73.685	28.5155
6.6018	26.844	27.7527
13.792	53.1043	25.5815
16.7997	37.7313	40.3517
15.0302	61.2133	31.1528
18.3302	37.2686	31.6528
13.2852	60.1943	41.2173
13.9511	36.95	24.633
10.3522	70.8967	52.1289
15.445	52.3147	32.8097
45.2352	107.137	47.8225
22.1231	25.0057	30.0345
14.3837	65.1371	93.5172
19.0873	32.3358	40.9391
16.7694	76.6466	26.671
10.6391	39.5613	24.5237
12.0612	79.7058	26.9996
23.1707	97.6325	48.2032
24.1225	74.196	48.9885
9.5535	51.7112	42.4898
17.8826	69.5376	26.3425
13.3727	72.9188	40.5886
45.4877	74.2193	61.8756
25.324	17.8976	36.4065
13.6413	18.6761	47.3934
31.6599	118.5568	36.7976
10.7962	43.9237	82.0412
28.7011	19.2482	62.5654
18.696	86.9425	57.726
18.7774	99.3489	58.4851
34.5122	77.7949	27.3809
13.2865	29.1215	32.2936
28.0607	68.6946	29.8749
35.9766	79.5357	19.1063
35.2804	40.5035	40.172
23.1013	72.8926	54.2668
24.2824	110.8003	54.8906
17.9552	61.969	35.5796
18.2018	55.1448	36.7095
20.2703	30.4887	28.929
21.5982	44.2675	59.3814
22.6404	91.7825	33.5252
16.4983	76.5215	47.6957
28.835	34.6455	22.2625
32.5903	90.0708	55.2918
