mouse6c	mouse6d	mouse1k
185.5107	186.7212	168.9199
188.9168	190.1687	163.7454
185.8804	182.7395	170.3695
184.5483	185.1016	158.6964
176.2979	185.2699	145.2854
181.9086	171.8736	152.0053
175.636	164.1961	158.7963
178.0465	169.3956	163.8603
183.8497	190.7087	154.8207
187.051	182.5587	137.1657
172.6393	178.16	164.3468
190.3694	181.5661	152.48
192.8608	176.6204	145.3364
169.762	176.9742	145.6563
187.1316	186.4243	169.605
165.196	189.6318	157.7428
183.7676	193.6495	173.784
192.9204	191.899	163.721
183.9038	185.1513	154.6059
188.5587	160.5122	150.8813
157.8448	179.0805	170.7197
180.8262	188.6801	156.2177
171.205	186.2413	172.4873
182.3092	189.0143	156.3691
174.0283	186.0013	159.2707
180.9767	189.4412	171.3238
176.7178	200.4447	178.5757
184.3085	184.8086	151.0585
158.7993	167.8536	151.1921
194.0921	158.8375	149.7856
171.2085	161.2736	145.3233
167.6236	159.7958	154.3028
177.0023	182.1013	174.1355
183.6818	200.124	163.9391
172.9721	186.3656	151.3251
193.6759	190.5505	176.8232
178.4339	182.991	168.3516
190.4713	163.9412	142.7401
175.1069	183.3497	140.5214
190.7962	186.7175	170.073
196.8579	189.863	165.2325
191.2796	188.6408	149.9184
189.1341	174.0267	138.5233
178.2181	180.6599	156.5388
181.3934	182.9378	160.9937
186.4273	175.8386	156.2559
152.5845	192.4392	169.5708
173.0011	163.4987	159.5872
190.2308	161.9896	164.4946
178.5786	162.7011	158.5859
165.526	176.2535	177.2382
193.0466	173.4054	145.2361
181.2489	175.5404	159.5445
164.5528	164.703	168.2831
189.2162	170.4659	150.5182
182.4885	162.9324	156.5549
180.9279	189.2708	134.1484
181.7266	172.4151	131.518
189.3951	168.876	152.3521
177.1369	125.463	139.7424
158.1279	146.3753	171.604
192.5152	192.4739	156.3036
183.8698	184.6357	145.734
150.8342	176.5114	150.2996
187.1472	155.2844	162.4802
183.8265	151.7783	163.0571
176.4348	147.6838	139.2214
180.6456	184.432	179.4858
183.8452	163.8468	171.4897
163.7976	179.2606	152.4279
173.226	167.871	166.6241
155.4354	189.2257	159.212
136.7851	184.7277	135.5285
175.928	183.6024	153.8707
179.2441	174.5489	163.7705
168.9237	168.5528	172.6554
181.8446	178.8794	125.943
178.7416	179.8889	144.8998
173.0257	184.0975	158.0089
184.8383	190.341	164.4628
182.5035	131.4521	155.2069
181.5358	186.1079	162.2683
185.1348	188.6869	133.3344
160.3292	178.0056	148.9797
156.1225	164.7321	166.4739
171.0947	176.739	175.0137
174.5593	182.9354	134.6504
178.0938	182.1859	148.423
164.6118	168.2522	162.077
176.4482	178.8412	159.4242
184.7684	163.1936	140.9368
183.8699	187.788	138.5207
152.7092	184.7399	142.1453
180.557	164.5945	167.8264
173.52	155.2415	148.895
190.6933	166.2938	136.583
188.2336	167.2177	172.9566
181.287	157.8794	166.9077
172.7834	180.6213	166.0691
174.2468	177.6517	177.536
167.4276	184.1224	159.2321
176.4262	182.7628	125.9963
179.2015	174.0869	137.9819
178.9488	164.6206	165.0281
178.4501	161.1681	148.9051
184.6817	158.1828	158.4924
183.9897	171.672	169.7923
181.3735	180.1788	164.675
179.4867	193.7067	159.9252
161.0745	171.9552	160.5186
186.4985	166.504	128.117
193.086	136.3785	134.2654
175.49	165.9234	121.1118
155.6719	159.8479	138.6719
171.4141	175.9351	164.9882
187.0574	180.6603	147.1133
179.3979	163.8608	159.2094
185.9783	164.1037	144.2635
187.8075	169.2197	116.2132
174.3156	170.1602	163.5293
151.8822	176.5359	146.8794
169.3865	174.1736	134.7608
165.202	171.802	166.7244
182.7711	173.0103	155.2584
183.213	175.5302	177.1133
193.8689	153.9269	159.1583
179.4063	179.437	140.6149
184.0807	186.8012	164.1514
198.7751	175.2759	146.7657
180.3312	169.4193	145.3762
178.8596	176.7619	143.976
178.5404	169.8362	171.3861
168.2414	184.7192	165.4094
164.9842	180.281	141.6124
186.824	174.7983	158.23
168.3411	173.327	157.8552
176.2835	160.5918	123.237
189.1423	182.28	164.0254
188.0676	177.7558	159.9422
148.9838	183.1336	136.2065
179.311	178.7167	163.5461
156.7923	180.2251	165.3757
171.2891	164.8895	163.5257
163.5377	156.9882	153.7015
165.188	144.4569	171.0711
190.5863	170.8943	156.9756
186.1726	176.23	137.7444
182.5201	183.391	138.4568
182.5337	175.3288	167.8344
159.236	161.2628	146.2411
193.0581	164.0008	142.1717
183.6033	195.337	157.7589
167.7904	167.8494	160.5765
185.0822	141.2136	169.8994
173.2366	165.6048	165.1
163.3635	176.9896	122.9298
185.9559	171.0632	154.3044
179.6293	169.6374	163.6399
189.1863	174.1531	140.726
189.0862	178.3213	166.0097
191.7172	185.3366	176.628
168.8006	190.7952	173.8403
182.1429	179.0716	149.8138
182.1456	184.5905	135.4947
184.2822	168.2664	162.4294
189.832	176.7291	155.4887
165.4195	174.8698	164.217
178.2231	172.8243	164.7394
132.3065	187.5192	152.3694
173.5026	178.8785	174.2482
183.4909	165.7169	155.163
189.3862	189.4606	161.1929
191.9829	175.6371	161.6677
172.1088	172.3733	165.2673
174.6986	182.2411	141.6504
171.4212	173.6205	146.3007
186.1406	158.2206	171.6169
179.0555	184.3607	142.9748
187.953	160.4356	175.5701
186.1723	180.4127	149.4707
162.7453	189.7373	167.469
185.5106	177.9447	138.63
180.5249	166.7084	163.4132
191.9709	154.1489	162.6942
189.567	146.2531	131.4557
156.8473	173.5754	129.7552
181.153	173.6457	142.4716
180.9843	178.059	161.2739
185.4019	185.2969	173.3763
169.0099	184.3033	145.3219
179.5076	180.6893	136.7288
175.4757	170.3977	157.7884
165.3208	180.7269	159.2663
180.923	164.5846	150.6063
177.5396	162.8605	162.6998
147.9993	176.8514	118.7381
163.8594	178.176	161.495
146.4146	171.1729	127.1728
193.4867	180.6303	150.2363
165.095	162.7037	133.966
171.9094	179.6254	175.4998
185.9644	183.7422	164.6239
175.1987	173.8892	150.0641
176.4884	175.0293	134.566
158.8851	180.4031	136.3512
178.7654	171.1304	126.688
162.074	165.8167	170.5612
164.6025	181.9372	146.5078
190.2601	185.9107	135.1662
188.0814	142.5576	114.643
168.2675	187.9708	161.4577
152.7842	184.2147	164.236
176.3409	179.4893	158.9454
167.3357	173.1472	155.4259
178.9113	170.5641	135.793
184.9823	163.3933	155.5711
184.4512	161.2005	154.3364
182.9457	161.145	142.8571
181.5788	179.8472	132.7173
182.1652	147.7254	144.0695
176.6735	169.025	163.5856
173.2613	188.2923	150.1073
170.3015	189.9803	151.8774
181.3619	137.2569	172.4882
175.5236	142.1421	160.4572
166.9289	184.7477	155.4094
177.4991	166.8666	163.747
178.7938	171.2245	168.1388
178.7343	150.9988	133.7572
175.6803	169.8439	164.3112
177.8235	176.4679	142.7022
183.6845	196.5256	169.0544
165.2823	168.1027	147.9812
183.2965	186.6727	162.8094
151.4777	156.6156	136.2235
182.5433	184.0767	139.9924
165.2735	154.73	149.9359
184.6077	176.9138	154.4398
178.6413	169.8573	160.0144
168.3952	129.1615	136.8076
171.668	143.8203	106.7754
164.7733	169.4673	143.152
173.0425	189.621	136.297
165.6403	161.9913	128.7343
172.4943	175.9455	158.5379
171.434	174.9171	133.7825
161.1793	176.6323	167.5311
165.2321	192.218	145.9617
128.5575	154.3509	134.7351
183.6985	180.2543	123.4068
173.9766	147.246	169.4074
181.0035	177.4985	144.1745
178.5269	151.7518	149.0637
177.2818	134.5909	136.6532
156.5469	131.9131	162.6398
170.7011	189.9541	162.0372
174.7969	175.1331	151.1207
186.0151	161.7264	156.758
173.7557	163.2055	150.4284
152.2867	100.4709	159.5033
177.4362	151.4549	153.8489
177.0852	124.1591	111.2676
171.1759	182.1737	169.8217
182.5059	175.1298	164.7652
162.2828	155.7915	139.2582
174.3892	145.151	144.8681
167.1571	166.9442	131.0807
174.2663	157.0564	118.8803
163.112	159.5099	144.8551
179.7006	163.7462	129.0206
127.7141	151.2342	155.5957
173.3952	168.247	153.6802
178.1649	149.1528	138.5931
171.878	152.6873	161.4781
176.5342	144.8141	169.0348
142.8437	149.9037	164.655
171.1527	150.4257	161.1203
182.6317	153.6479	166.3948
182.6607	143.8967	160.8945
184.501	148.3182	146.5566
156.2958	172.4974	157.7855
173.7172	179.8311	97.8478
181.5064	163.4634	166.9834
180.4472	164.9645	134.3562
184.3058	150.4069	151.7297
148.8324	162.3521	156.2521
164.5696	153.8022	129.7002
179.9962	168.731	154.3969
158.7884	165.1561	137.8925
118.6158	159.1359	136.7401
175.3552	165.332	145.7641
159.3424	148.4472	154.5435
