mouse6e	mouse6g	mouse1a
4.9841	3.0803	14.8011
3.4418	2.3604	5.9776
9.7703	2.0485	15.71
5.2398	6.5521	10.2607
8.5968	1.7245	6.7804
4.9568	4.2758	6.341
2.6161	5.7758	5.0734
4.6378	2.8821	2.8545
8.8942	14.3949	11.2556
3.6511	2.8229	10.12
4.2469	15.4825	10.3779
3.2767	5.0998	4.6595
2.9566	2.8692	4.5357
9.5353	5.2141	11.5501
6.0262	2.4858	10.0215
6.4668	3.9221	4.7721
2.9285	2.7969	12.2308
5.5075	8.4728	12.1599
4.1044	3.5276	5.5921
8.1046	10.5214	8.2105
9.5033	7.575	9.4292
2.4535	7.9356	5.676
3.5794	5.3584	8.663
4.1625	2.7444	7.4172
3.2599	2.7441	7.846
4.5405	3.5842	8.9363
4.8887	8.7729	8.2997
3.7833	2.2292	4.5219
2.3598	2.9452	8.7219
3.3923	2.6394	5.3886
5.0075	4.7454	7.4604
1.8194	4.3013	3.5121
6.2562	7.8196	5.0809
4.5279	6.1435	7.8359
4.746	2.0272	12.5134
8.5522	3.378	15.5453
2.4944	4.6487	4.9805
6.8573	4.8843	7.6162
9.094	8.4633	4.1404
3.8937	5.6495	8.1455
6.4502	4.6562	9.5312
7.4159	3.9168	12.2727
3.7926	3.3713	9.7113
8.3162	8.4613	4.0607
6.6928	9.238	4.6609
9.6898	10.0379	7.5217
2.3516	9.9547	8.6249
5.7764	6.4131	4.3658
5.5339	3.7459	12.6323
2.675	3.321	6.8509
2.5085	6.1308	6.3754
6.2429	5.4912	4.7196
8.0095	4.8738	8.8049
3.532	4.9885	6.1983
6.798	7.7871	4.449
3.5532	3.0459	7.7927
3.1427	2.5168	3.75
3.7831	3.4522	6.0766
4.3714	3.7273	4.2063
3.3975	3.2073	5.3035
4.0515	4.2665	5.327
4.3143	10.2101	4.0671
5.403	5.7701	3.7061
2.7236	2.5864	2.8707
4.9975	6.3394	3.3101
3.567	2.8008	2.7776
4.6101	2.5314	4.6738
5.0287	7.6194	3.6468
9.2833	3.3218	6.5703
11.0192	3.0831	4.6416
6.0558	2.8064	6.6976
5.8541	5.4334	9.0113
2.5851	4.0008	9.6782
7.0241	5.6295	5.8144
6.8965	1.9778	7.4379
2.9359	6.1282	8.8715
6.6832	6.2901	7.7385
11.0877	2.5164	10.7641
7.005	4.6482	6.2667
10.1591	8.6551	10.4265
4.8615	4.1555	4.2916
4.1423	4.1857	5.4304
3.6719	3.1554	7.5826
3.6557	7.9016	7.3517
3.7483	3.8949	3.8508
4.3017	6.1889	6.9512
6.0484	4.2005	5.632
8.4586	3.6245	4.4211
8.1234	2.4496	5.2116
4.3908	0.8299	6.2596
7.4637	5.3018	5.1857
4.9271	7.8471	9.724
11.8261	3.2092	7.6351
4.8022	5.4198	15.311
3.9124	5.0806	5.9374
5.6197	3.8077	4.5297
4.5253	1.9058	9.944
2.3632	3.0688	6.1306
8.9287	2.0868	8.8318
3.9359	7.2999	4.9159
2.0114	4.4155	4.3073
8.4684	7.3367	8.3254
4.692	7.8664	3.9802
2.0301	3.4866	5.6278
2.8773	7.0337	4.2443
8.343	3.5488	7
5.7061	2.6639	10.572
5.4616	3.7369	6.5498
4.2297	4.5044	4.601
2.2282	6.6162	5.3906
6.0203	6.0008	3.9483
13.1712	7.8729	4.0769
2.9991	7.6585	4.3039
5.1082	3.2968	7.3131
5.2258	4.067	7.3205
4.0411	3.1903	4.7813
2.9831	3.4792	8.6865
1.9378	6.051	5.2734
8.4373	1.2294	4.5965
13.0142	3.15	7.9837
8.5576	1.5164	5.8061
5.5517	6.3886	6.1817
2.7275	3.2813	6.1353
2.991	5.621	3.4701
2.2043	1.5559	9.9548
3.8222	4.6676	5.6043
8.0604	6.0799	7.554
4.3562	3.7042	16.4133
6.1118	12.4927	7.3143
6.0873	6.9838	11.4777
5.1028	2.4784	16.3935
3.3395	1.8329	4.9316
6.1663	1.7114	4.4733
6.7348	3.4171	8.2722
6.4338	5.8721	4.1393
4.7485	4.5614	5.6427
5.0087	1.8778	6.2718
6.5906	2.1621	8.4709
1.8314	4.8085	7.8354
2.1688	4.988	7.9857
7.2923	2.9091	7.2813
2.3416	2.1496	8.1068
3.2276	2.7599	9.4977
2.8996	3.3383	6.147
4.2382	5.9359	9.3176
4.9011	2.788	8.3879
3.5095	4.4622	16.4077
3.0957	3.2775	15.2145
2.6511	6.0504	10.1863
3.7663	4.0286	12.4292
3.0436	1.7535	11.1413
4.958	2.8715	5.9043
4.2666	3.9646	5.9388
3.7492	8.7524	9.2499
5.1426	9.0382	10.2352
5.86	6.0394	8.8838
7.3689	6.7569	5.2973
5.0454	2.7102	7.4496
6.0541	4.1261	10.4725
3.1287	2.1289	7.7833
4.4544	4.4097	7.7512
4.2678	3.5846	9.5231
6.3809	4.3419	6.4747
4.2461	4.2537	7.8942
2.9087	2.8427	5.6384
3.0408	5.1306	8.8569
5.0297	4.0681	10.3617
2.373	2.8498	12.3575
3.7567	2.9602	8.6644
4.2996	4.506	9.004
4.7398	5.7236	9.4983
4.303	6.148	12.1399
9.9404	6.5257	4.5741
4.2078	15.8881	5.1181
4.286	5.3965	2.3452
4.3124	4.2763	2.7762
5.8657	2.9794	3.4122
3.6855	3.0424	4.1616
4.576	1.5395	10.2258
2.1062	7.4465	9.9309
9.716	3.65	8.2585
3.1804	4.1403	5.245
4.2049	3.8521	8.4069
8.9603	4.1371	2.2019
8.6625	3.3446	12.5418
2.6145	3.1573	4.2837
4.917	3.2461	8.5863
3.3197	4.7138	7.5135
5.2787	9.1074	9.1599
4.3541	9.2105	9.8428
6.9745	5.0826	5.189
8.164	4.0236	6.5166
6.7098	8.4106	5.9664
2.4111	4.5412	5.4296
5.8311	4.3315	5.9787
2.5852	3.2418	5.614
4.9579	5.0002	3.7135
4.0727	3.4242	6.4099
3.6441	5.7898	8.426
3.1215	4.2087	11.7845
7.7332	6.8341	3.3396
8.376	1.9969	12.7237
8.4202	1.8569	4.4695
9.6807	7.5461	6.1785
4.2203	2.0637	3.7226
2.2598	2.8704	5.2942
2.6284	1.7016	4.9712
6.5962	2.4742	5.1092
4.9746	2.9835	3.3592
3.2458	3.4143	3.7523
2.5595	2.9425	1.1984
6.6348	1.1051	2.8404
4.9039	1.3701	2.5804
2.7234	2.616	2.0484
6.3204	1.9864	3.9156
6.5637	3.0894	4.2503
4.5441	3.1691	6.388
4.0313	2.5318	11.5332
2.6593	4.1639	12.9272
3.1908	3.2103	10.0557
4.5957	2.4344	5.1
5.5188	2.9484	4.9353
3.6149	2.9568	1.653
6.172	3.4977	6.7213
4.6002	2.6127	3.8015
2.3544	5.4359	8.8288
4.8054	3.3253	9.9366
3.0944	1.5022	4.9551
5.253	2.7782	3.615
3.3836	7.6342	4.3144
1.9993	2.9582	6.6978
1.7948	3.5251	5.0949
2.959	2.7709	3.9688
3.502	6.0341	10.5476
6.9016	4.1783	6.7038
5.0751	4.8201	8.6461
2.7871	2.3775	10.1048
9.1647	3.1632	7.591
7.0791	2.3474	4.5206
3.2775	3.2556	3.5766
7.326	4.8174	4.7555
7.8912	8.2922	8.3693
5.6948	2.068	5.8122
3.0579	1.4469	10.1161
4.2078	4.4713	6.3871
4.0738	5.0998	4.2759
5.295	4.222	5.5863
6.0884	2.6198	6.5669
8.051	2.4533	10.5198
5.6813	4.6409	11.885
4.6056	3.529	14.1845
5.1215	6.8847	4.4457
6.2125	2.1139	10.9838
8.8149	5.6038	8.4499
4.6178	2.2277	13.4057
11.567	3.0788	8.4576
