mouse1d	mouse1e
2.5309	1.0497
8.1296	1.0043
0.07828	0.2685
1.3072	0.2564
2.0268	0.5007
0.1968	0.9532
0.5987	0.1495
0.5405	1.0786
0.1554	0.4042
0.06195	0.05815
1.7073	0.5902
1.0984	0.2178
1.4734	0.6897
0.2116	0.05315
1.0443	0.3437
0.362	0.03491
1.7803	0.3613
0.08991	0.5272
0.3278	0.573
0.3137	0.972
0.8062	0.9712
2.2377	0.1252
1.2202	1.1595
3.9395	0.2281
0.05772	1.4584
1.1181	0.2978
0.6306	0.1041
0.1549	0.9212
2.0263	0.4967
0.0817	0.3771
0.4213	0.4833
2.6337	0.3247
0.2417	2.2553
0.5856	0.2407
1.7258	0.06119
1.045	0.908
1.5813	0.1915
0.9751	0.7526
0.1855	0.3072
0.949	1.2625
1.3802	0.789
0.1049	0.05764
3.2894	1.08
1.2406	0.2363
0.09286	0.1245
0.8708	0.8101
0.2483	2.2694
0.04181	0.3282
0.2578	0.1828
3.259	1.1531
0.7499	1.1151
0.06052	0.8888
0.1189	0.9545
1.8599	0.1028
0.1561	0.1366
0.6764	0.1171
1.644	0.1908
0.6068	0.0234
1.8087	0.2583
0.3122	0.1169
3.2763	0.1151
0.5787	1.1981
0.7144	0.4477
0.1846	0.5587
2.8653	0.05778
0.6579	0.182
0.9285	0.524
0.141	0.3516
1.634	0.6755
1.2397	1.0357
1.0588	0.07684
0.8613	0.1384
1.2894	0.6771
1.4615	0.3341
0.07116	0.2615
0.9573	0.2559
0.04519	0.1639
1.6722	0.1561
1.9068	1.238
3.9581	0.3421
0.2467	0.3903
1.726	0.2835
0.06415	0.3589
3.1217	1.4178
0.2655	0.2664
0.1584	0.2577
0.06911	0.3312
0.09515	0.6748
1.609	0.6984
0.1167	0.4788
0.7101	0.7546
2.6134	0.4899
1.047	0.2902
0.2234	1.1575
5.5453	0.8609
0.1423	0.3116
0.7567	0.7455
0.3831	0.7496
0.7754	0.2293
1.1377	0.932
0.7557	1.5336
0.8114	0.8636
4.0941	0.3363
0.5087	0.256
1.6748	0.5459
0.2379	0.08599
2.7345	0.4043
0.9659	0.2798
1.4869	0.6056
1.6487	0.3034
0.6272	0.7146
0.2505	0.9131
0.3354	0.9598
2.9103	1.2204
0.8607	2.8291
0.878	0.6113
2.7604	0.6197
0.07015	0.4949
0.2702	1.8681
0.7471	0.4015
0.4455	0.931
0.2409	1.0497
1.2933	0.7947
1.3237	0.3169
2.0617	2.1389
0.6482	0.3463
0.8652	0.8825
0.8985	0.8956
2.9838	0.4952
0.6347	0.9631
0.5956	2.1574
1.025	0.5724
1.8339	0.5588
2.6908	0.1832
0.4839	0.2547
1.4402	0.7089
0.7348	0.8109
2.1354	0.3325
0.9762	0.3292
0.9824	0.4496
0.6595	0.8148
0.1445	0.1179
0.6494	1.7064
2.1786	0.4158
0.2661	3.4671
1.052	0.8667
3.0698	0.5093
0.2544	0.9827
0.6348	0.1308
0.3889	0.6613
0.985	0.8234
0.6825	1.4646
0.1928	0.9027
0.7797	0.8604
0.5588	1.6187
0.2941	0.5986
3.8033	1.2369
2.7522	0.2648
0.7529	0.1782
0.6673	0.3741
0.8869	0.4469
0.4662	0.9847
1.3454	0.3422
0.3753	1.8778
1.1144	1.1969
0.1857	1.1043
0.783	0.7086
3.2914	1.7674
0.33	0.5713
1.3808	0.4954
2.5069	2.3118
3.2359	0.5151
0.2703	2.1599
0.4535	1.3244
1.1727	3.1784
0.4494	0.6253
0.2326	1.1233
0.3678	0.6452
0.9472	1.7417
0.2427	1.4889
0.108	2.6752
0.154	0.7437
2.5302	0.2248
1.0189	1.6306
4.2697	0.3043
0.06754	1.2242
0.9809	2.2044
2.1923	0.1125
0.3902	0.3456
0.3698	1.5274
1.0661	1.9579
0.6744	2.0085
0.3033	0.6879
0.1998	1.6502
0.687	1.1969
1.0116	0.5774
0.4905	0.7468
0.6108	1.561
1.7537	0.2524
0.7997	0.9391
0.589	0.9961
1.1238	0.0419
0.9352	0.6639
0.1967	0.2462
0.01603	1.0257
0.6624	0.5467
2.2491	0.8138
0.1807	1.9925
0.1541	3.8834
1.425	1.8761
0.9896	1.5532
1.7208	0.4539
0.03784	1.0873
1.3966	0.2703
0.4067	1.1644
0.4564	0.1181
1.3521	2.3479
0.881	1.1904
0.4027	0.1382
0.675	0.5727
0.7109	0.06633
1.3798	0.3108
0.6968	0.2624
0.05592	0.6628
0.2245	0.5355
1.8146	0.09581
0.1642	0.351
0.2354	0.1966
1.1455	0.6079
0.8419	0.9292
1.3871	0.7905
1.8457	0.9693
0.1126	0.6397
1.1378	0.5095
1.5113	0.6988
0.5077	1.8889
0.3336	0.8104
1.0205	0.4724
1.0741	0.6058
0.1673	0.5684
2.0605	0.6246
0.6189	0.2701
0.6351	0.862
0.07612	1.0231
0.07612	0.9261
0.06541	1.3015
0.668	0.3424
0.2983	0.06351
3.7316	0.0232
0.07359	0.01069
0.8089	0.3612
3.6786	0.08563
0.5817	0.2682
0.2594	0.1451
0.3473	0.7374
0.2559	0.4913
1.6411	0.7176
0.6252	0.5993
0.4896	0.2569
1.5123	0.2191
2.2071	0.5052
3.7545	0.6544
0.7069	0.4131
0.2181	0.2545
0.3189	0.5062
2.0949	0.5656
1.1619	0.2195
0.3874	0.4005
3.2892	0.1238
0.3395	0.2894
1.3539	0.3617
0.8147	0.06832
1.5633	0.3163
1.2878	0.1023
2.1794	0.1609
3.9951	0.8251
0.2561	0.06756
2.2234	0.02681
1.722	0.08144
0.1104	0.03085
0.3577	0.03162
0.6258	0.09556
0.7046	0.2559
0.3227	0.04052
1.6812	0.02082
1.0906	0.02309
0.3236	0.02222
1.4164	0.1042
0.8149	0.05798
1.6948	0.0921
0.9766	0.2538
0.3009	0.3681
1.0226	0.3109
0.6825	0.3365
0.4761	0.2242
0.3374	0.1516
0.4601	0.05689
0.6369	0.3054
0.9115	0.2779
0.7839	0.2994
1.3118	0.3704
2.2366	0.7996
6.305	0.4292
0.243	0.1234
0.9756	0.2318
0.2771	0.2956
1.3455	0.1584
3.6145	0.497
0.7304	0.6333
3.5396	0.5236
1.6018	0.244
0.312	0.1088
1.6474	0.1495
1.5827	0.2124
0.4417	0.2406
6.4797	0.2436
1.8645	0.3088
0.6044	0.2468
2.7133	0.1818
3.2254	0.4314
1.723	1.4535
0.5414	0.763
0.9993	1.4676
0.4232	2.0832
0.7716	1.9846
1.0112	0.5951
0.4962	2.2501
2.543	0.798
1.3382	0.5285
0.4513	1.3286
0.4882	0.6401
2.5758	0.7223
0.3949	0.9529
0.7083	0.7976
1.0571	1.313
0.3177	0.4675
0.4376	0.06812
0.3965	0.2559
0.1785	0.2314
1.0955	0.1273
1.0955	0.3491
2.7717	0.0898
1.5849	2.3659
0.1134	0.184
0.5589	0.184
0.4222	0.725
0.5954	0.418
0.7372	1.0645
0.716	1.4404
0.4742	0.4741
0.4913	1.271
4.4761	1.4127
1.3312	3.2231
0.5904	0.5772
