mouse1c	mouse1i	mouse1j
33.5851	36.0134	37.8191
30.9125	33.6886	43.927
30.8038	34.465	29.7473
36.9251	47.8152	20.3041
28.245	39.6781	29.9391
29.2036	29.4259	32.9983
31.9252	43.0121	32.0592
22.9912	30.1307	35.0497
39.2226	29.6464	13.2699
48.5153	40.2136	25.8756
49.9613	35.964	25.7974
35.7138	42.9351	18.1521
24.4943	42.0081	35.1663
34.1855	28.3583	35.2805
18.0672	45.0733	24.8992
31.6214	31.8707	26.4817
46.4332	37.9671	25.5961
49.6883	30.9623	26.7781
29.0935	86.8133	29.5436
26.4188	59.7778	21.9699
23.0198	25.589	25.0291
34.7793	44.3225	28.8922
34.7901	43.9868	26.6065
40.3303	39.1275	25.1859
22.8767	41.3627	27.1378
22.1534	53.5239	30.7578
35.9158	38.4184	30.2333
44.2252	41.6038	56.6887
32.894	37.5454	22.9139
34.5616	28.7738	33.4107
37.4604	46.7167	21.0713
32.9476	64.5244	24.6712
38.781	53.8988	29.656
44.5582	45.8092	21.3544
22.2706	21.0696	27.9553
23.7717	40.4567	34.6558
54.9651	37.3842	31.7556
31.7456	48.8428	22.4489
34.7424	25.4251	21.9202
41.8318	50.7851	31.123
35.0843	67.0282	26.8794
35.4323	25.2554	18.0591
37.832	27.773	23.8013
30.262	42.0605	32.207
30.9991	29.1542	26.8617
22.9678	49.7106	25.1499
21.2154	22.2595	28.7001
28.5398	22.6716	20.0667
60.3082	59.634	21.2342
27.9533	33.0218	23.315
31.9813	89.8627	44.4791
34.5009	23.5137	16.1594
25.8208	46.8224	18.8278
30.717	35.1719	12.045
22.2416	61.8649	18.1701
23.2561	45.7945	23.666
26.1533	39.086	23.2965
20.3676	35.167	37.6218
34.1445	24.0509	24.1666
28.6936	34.1035	26.8956
50.9862	64.2799	14.8345
33.2296	32.1485	22.9621
28.0422	52.2699	33.7851
27.0819	41.8711	14.1075
27.398	30.676	19.3596
31.783	62.9281	34.2895
29.874	28.4527	17.6056
26.835	32.4698	28.0947
40.1416	34.2702	21.4707
45.9187	54.8769	19.5972
34.0138	47.0611	23.8351
35.7732	36.8477	24.3644
42.2541	37.3432	20.2283
35.8635	24.1727	28.9819
19.0545	44.4712	41.115
40.9061	32.8409	14.7111
44.6069	27.5209	22.6145
30.3038	63.9865	27.1963
35.228	32.9656	19.2218
32.9861	35.6968	22.8413
31.1251	39.1038	25.3629
43.2088	46.7123	26.6633
18.2015	39.6348	21.9138
36.0248	31.8228	24.7471
37.0577	41.8865	25.0716
29.4513	37.1105	17.5116
32.4185	25.9513	24.4816
19.4098	33.316	31.2112
40.4766	14.8616	18.2633
40.2432	57.4273	26.9559
59.6279	44.042	27.8032
36.5833	48.38	23.8973
42.789	45.5704	44.2941
39.0385	48.1208	24.9017
55.0621	45.1839	20.3963
32.6906	36.8326	41.5497
33.4078	47.3061	22.6064
51.9666	43.2827	27.2366
43.758	63.3787	27.6311
34.4356	19.9441	19.604
21.6304	45.4254	24.4311
17.4278	22.86	24.9052
32.2693	25.7264	17.525
45.3672	51.8031	26.9622
