mouse6c	mouse6d	mouse1k
153.8251	105.6585	145.7553
104.639	91.0641	147.1108
108.1123	131.6225	168.0084
114.6341	88.8479	140.6754
100.3983	109.8112	147.5895
137.433	95.0427	131.906
119.5	133.0724	157.6869
150.291	105.5493	141.3202
135.3043	146.9226	171.256
103.5986	107.9379	134.2889
125.3253	139.9749	144.5729
132.6378	153.6829	131.5411
127.7794	94.3956	155.6083
125.3628	131.8086	129.7032
162.6555	113.2898	144.3728
163.6315	120.5003	168.9064
98.9101	118.5248	174.9539
95.0715	134.0487	149.466
149.5503	119.9795	152.2638
109.7635	114.8618	133.2075
144.5328	147.639	128.5216
156.9626	127.7671	164.9485
95.5841	112.6892	173.607
114.5232	112.6107	166.6021
144.3338	108.4069	153.7795
142.5997	106.0114	155.758
134.1849	121.776	154.4401
98.6923	159.5605	162.6941
120.4768	80.2568	151.8335
141.6383	108.248	129.2324
119.0878	111.926	131.1642
102.7608	99.2331	183.9811
115.419	106.6722	164.8714
127.2218	94.5972	148.8826
139.9474	128.898	157.4135
125.1207	109.1822	127.9767
139.7763	125.2277	169.4142
157.6669	132.8721	143.8598
155.8156	115.0701	154.5327
146.2315	110.3449	176.7715
149.7944	135.7486	147.6816
120.1648	103.8405	177.8146
132.4242	141.9088	137.5434
116.3291	151.4526	162.9144
147.5834	141.8533	155.1986
128.7826	84.69	159.7159
93.3371	151.5028	171.9342
156.0136	141.5196	154.7181
91.6838	149.968	170.2299
160.837	103.4299	149.6494
141.8868	140.3018	150.3156
153.2712	113.1568	140.0782
127.5529	127.3925	159.8416
124.4169	97.9681	145.0127
154.0019	117.4843	152.8082
134.7439	89.4212	171.4364
132.6745	117.2097	155.2971
156.2613	111.2391	152.2567
113.1845	137.1623	151.8833
134.4713	111.3353	163.8434
141.7585	105.9505	137.0143
152.0518	120.8887	161.4824
135.3151	107.8284	147.8308
122.0037	105.9269	142.3276
126.8284	115.1992	149.7698
123.6879	90.9178	169.5401
148.0612	125.8501	131.3753
126.5521	102.0702	139.8525
146.367	89.9469	160.1587
160.6436	126.3933	151.5719
113.5721	123.3724	121.0993
147.0133	116.7468	151.2099
127.0629	94.8085	158.8448
144.3528	112.9374	129.7304
146.341	91.4028	142.9007
133.6779	109.4737	155.8732
119.3616	124.9214	160.6488
91.5912	130.3248	157.6265
120.1007	102.7403	139.5458
122.9318	113.0134	153.165
158.1016	126.5416	174.9299
111.9735	96.5524	145.0409
150.8042	114.0669	167.5102
164.1388	86.9329	153.7756
122.161	111.8777	156.0199
140.571	104.9185	155.0231
116.907	118.8966	146.8393
159.9602	109.6118	180.019
138.1828	101.6024	148.4166
127.2568	103.4336	160.9663
139.78	107.5987	171.0007
129.8614	61.1765	154.349
82.81	70.9347	165.5974
121.5269	126.7014	164.7402
162.5555	78.1134	141.9802
90.1345	78.4467	140.3087
118.7761	49.507	127.9195
167.9814	102.8534	132.6614
84.2525	57.1694	166.6683
159.0206	142.577	147.1878
115.42	107.0921	116.8373
138.4839	102.7296	151.6201
95.7635	123.906	141.8775
94.7998	91.8193	167.1779
121.4251	125.4616	114.5826
73.3595	89.2446	145.38
112.2616	109.3461	135.9059
109.8704	140.9208	172.0528
82.5925	124.9061	144.7695
111.0939	62.7249	142.2877
93.7213	115.5328	118.0687
128.0012	108.8545	157.235
117.0607	48.1523	147.8542
141.1523	97.1776	121.1592
111.0576	73.8718	165.7648
109.4984	65.1837	168.5141
153.9312	149.0827	168.6567
139.4971	99.3203	139.6302
79.9153	89.1077	110.5615
125.4524	75.2332	79.8312
107.1719	93.3763	157.1636
112.405	108.2273	90.6594
134.4873	107.5651	117.8008
119.6805	71.8704	161.9026
121.0224	129.3623	162.3407
130.4109	120.8894	143.073
101.9353	83.0237	138.936
126.4223	91.2273	155.8734
126.2424	111.275	138.5037
79.1845	63.0298	157.5029
152.3483	62.9221	142.7949
79.6483	115.9524	145.1424
155.3351	140.5032	138.9011
114.5343	76.3522	79.8918
86.1229	132.355	123.322
151.0062	82.5293	171.7753
148.5645	112.9867	168.8882
144.7152	92.6011	145.6165
108.2291	87.6162	83.2498
135.9024	74.6757	135.8056
163.915	68.4206	128.881
145.1607	97.8315	134.2795
131.0711	65.7177	89.1552
127.8457	89.3731	111.346
93.1879	129.8035	114.5631
154.0019	137.2823	156.065
134.9666	120.6654	131.1208
171.0509	98.2425	123.2298
135.4265	45.8459	87.5997
158.5115	136.1124	148.1352
113.2186	124.0788	66.4483
119.4434	72.965	84.0207
80.8001	153.8118	148.6866
152.8314	48.2217	115.4094
144.6811	102.2831	88.5944
143.3833	109.0075	136.5131
161.2286	102.4728	155.4293
168.4511	54.0554	100.3556
163.0786	104.239	94.4118
170.1946	94.4445	153.7447
99.0083	117.0194	167.8143
159.3436	117.615	143.9407
163.4392	113.6063	162.9374
153.813	139.6404	146.3102
152.415	132.8308	92.499
126.023	118.902	179.0765
95.4942	87.2502	108.0778
145.5148	109.1675	122.1768
80.8777	19.8308	159.3404
165.7045	137.2475	169.5692
167.152	136.8561	147.4721
176.0865	74.5117	138.994
114.0906	118.6413	154.7291
145.5126	16.7669	165.4121
160.6945	21.8745	99.0406
94.6182	118.426	107.8062
173.8338	134.8108	149.5178
93.1232	103.2455	185.7583
171.364	83.2161	153.868
140.6919	17.2408	91.7206
74.3517	81.5044	112.8585
159.7846	103.36	120.2942
150.0509	94.5412	128.9334
160.7962	82.1418	127.7663
137.7612	146.4093	165.7336
170.4549	20.2379	111.2189
147.4182	53.9095	147.6661
175.2536	112.8787	99.2507
167.3545	137.451	114.9051
137.907	67.7582	128.6428
150.5246	124.5514	160.1493
111.9018	113.8086	168.546
97.1356	19.5361	162.795
73.8867	130.4736	176.428
117.444	136.6895	136.0032
122.4638	20.8158	165.3963
126.8671	81.0016	117.1284
114.9596	57.3275	150.9717
145.9666	79.1513	156.0354
107.0655	86.8421	85.0338
97.2596	116.6355	177.9018
