mouse6e	mouse6g	mouse1a
44.4491	7.866	21.3006
57.8386	8.219	11.8681
20.2756	6.6682	12.8246
45.0269	6.8303	12.924
45.2204	5.8495	13.5154
32.2481	7.903	11.9817
69.2185	6.8031	15.4099
60.2501	8.1518	11.3129
40.2906	8.1067	14.0325
33.4394	8.2349	18.9734
55.5259	6.3995	11.6901
44.3396	7.1889	11.3612
30.7031	10.6366	14.977
16.8652	5.9885	12.6051
46.2842	7.4557	8.9861
41.8846	7.8488	17.0518
82.7691	6.356	9.5058
24.8256	6.4229	11.3499
57.8418	7.1533	15.785
72.3648	10.9538	16.6112
34.5501	8.3679	13.2902
42.7378	6.7938	10.0735
42.2378	5.0361	13.3893
42.4044	8.4173	15.5617
35.5411	5.0702	21.2592
52.2995	8.4892	13.2078
56.7781	7.9318	13.9825
55.7514	7.9011	9.9867
52.2369	11.129	25.0464
39.0566	7.8527	13.7903
29.8141	8.2212	14.753
39.2526	8.8957	14.9843
19.0234	9.7838	30.2272
59.6541	7.0591	13.9129
40.0193	8.402	13.6415
41.6019	9.4754	15.3468
52.3416	9.5059	13.9877
71.73	6.7288	13.7167
55.3065	9.2029	14.0248
54.2996	6.3929	13.1754
61.8531	9.2667	18.7986
33.8043	10.6742	26.7657
60.2172	9.0195	14.8583
62.3224	8.3453	13.7009
34.3652	7.3101	17.1132
49.707	9.5536	15.4588
14.1646	7.9328	15.4535
55.6449	7.6706	16.3474
56.0717	7.0165	13.5692
71.1772	7.2704	19.1128
66.3231	7.0138	12.5485
46.5339	7.2273	16.9891
94.532	6.4439	15.0407
38.3042	10.0276	13.6555
46.9291	10.0911	14.7921
49.2485	6.0614	14.7885
41.7669	6.0343	14.1998
65.6502	8.4759	17.2374
56.0684	9.9425	22.767
47.8835	6.2022	12.9259
80.6622	5.777	17.4685
55.8193	5.976	18.4041
62.1904	7.8234	16.4406
55.3421	8.0308	14.6104
20.1024	7.2563	18.0591
53.6051	6.6375	12.875
74.2462	8.0494	27.7217
53.5921	7.7278	14.4358
31.9555	5.8161	13.2637
38.5321	7.7353	18.2264
36.8198	5.7835	13.0905
33.7705	6.8422	16.9729
46.7974	6.1029	10.7152
