mouse1e	mouse1f
21.0087	1.7063
21.758	0.6194
15.8585	5.0585
10.781	0.2862
11.8081	4.7125
20.0117	1.0536
19.2068	2.5616
9.7519	2.5174
7.9502	3.0714
6.593	2.9629
15.8747	1.3787
17.7784	2.4398
8.9023	2.2854
16.1411	3.2549
14.9394	1.7017
20.9094	2.6273
11.0284	7.8401
12.1231	7.0032
14.88	1.096
9.0577	0.3593
18.0069	1.4223
23.0703	2.2006
30.2093	3.3364
12.5189	0.3654
12.4906	2.9167
16.5089	2.5828
36.5377	1.6289
12.4253	4.0644
20.1519	1.0047
6.4645	3.4831
12.5682	4.5853
27.0778	1.4024
18.9428	1.6592
9.7877	4.6531
8.7247	5.7193
9.3751	1.1444
17.4335	4.6867
14.027	0.5161
8.5258	6.4926
8.9235	1.2638
13.9175	2.5512
22.1978	4.5486
12.4265	8.1289
11.4067	1.3003
13.1028	6.3486
26.2507	2.3817
9.5102	2.2078
15.9084	4.9007
8.1469	2.7821
19.4516	7.7111
14.9361	4.4157
27.6154	1.6933
12.0805	3.9412
8.9875	1.1465
15.2203	5.9125
19.5025	0.3146
11.8549	3.111
18.4933	1.7763
32.5541	6.4698
22.7815	1.2285
9.0822	0.2989
21.5195	2.0187
21.5868	4.773
12.0344	1.7137
19.8995	3.459
10.9713	0.9498
22.2334	7.577
20.9545	0.7146
9.0047	2.8913
12.3866	5.9586
21.691	2.2577
33.7418	0.7917
13.2704	4.6166
10.1154	0.3478
15.7249	5.2434
9.7103	1.4204
16.7662	4.4652
30.5714	0.8791
18.3692	6.8171
27.8336	1.9298
36.3326	2.1508
15.6322	5.1413
13.9565	0.7607
15.691	5.4756
30.4705	2.1042
24.3079	0.6883
15.3825	1.1671
22.7744	6.5458
17.7844	1.2489
27.0497	2.9795
8.2359	1.5387
19.7986	2.0112
21.0401	1.466
17.1127	1.1793
15.4605	0.8608
7.5441	1.8616
26.0945	2.6622
11.2621	1.4975
10.5333	1.1331
9.2361	5.4764
16.7656	4.0066
11.051	3.3391
20.7708	2.5698
10.1343	3.7656
15.2199	0.9095
11.558	2.5006
22.1838	2.7718
24.7493	2.6268
11.73	2.6549
28.187	7.0599
8.5835	5.3301
11.9045	2.0564
7.3385	3.2313
11.7182	0.9711
13.6382	2.8193
13.6517	1.156
14.8274	2.9918
9.247	1.0251
9.102	3.0431
9.9893	2.9533
8.4731	4.5951
6.8049	4.1982
14.1216	1.785
8.7918	2.0589
11.6514	1.2741
8.9353	3.7786
9.2179	2.1916
66.6787	1.8959
29.9419	1.9925
65.8191	0.8463
38.6276	0.3805
45.6171	1.8201
35.497	1.0601
36.8165	0.2757
56.6605	2.1484
43.7002	1.1045
32.8957	1.4486
52.6456	3.5634
52.91	1.9133
20.5855	1.9073
52.8817	3.9305
67.2877	3.461
49.8604	1.4952
56.6984	2.3171
37.9056	2.5925
54.99	2.6285
20.6644	0.7398
24.2746	1.0249
60.651	2.0017
36.4302	1.1898
54.7923	0.9334
55.7127	6.6325
61.5959	1.395
55.539	1.5526
45.82	3.176
59.5401	0.2782
24.5991	3.0792
31.3908	1.4144
53.3669	2.8124
19.3948	2.2794
33.7132	1.8498
25.585	0.437
50.2389	0.6848
60.8749	8.4829
21.9967	2.4053
23.2303	0.9216
25.8439	7.5744
15.5341	3.0564
40.4903	2.0055
18.0199	1.5302
26.4284	2.7562
14.4925	1.2982
14.4897	5.2446
18.4813	1.2831
17.6841	1.6169
14.1066	1.0089
8.5865	1.0607
13.4739	2.9765
54.5208	2.111
17.2668	2.858
13.4663	1.8341
28.9815	1.3955
31.5069	1.4218
28.2454	4.0381
16.9956	1.0155
25.4883	1.2436
28.6047	2.3792
26.1648	2.2986
25.3712	1.5645
14.8598	3.5554
10.9615	1.0715
15.5042	4.2206
22.1846	1.8188
21.1047	1.3539
13.7712	1.6235
15.2365	1.1608
21.7198	4.6112
20.6777	1.1792
27.4732	1.1547
16.417	1.4124
14.0073	0.8454
26.277	1.4237
24.3663	0.8223
16.6352	4.2237
12.7318	1.0429
16.5006	0.5123
12.7679	1.0897
20.8001	1.6741
15.6261	1.4045
17.976	2.2352
13.5635	2.3119
11.8007	3.1344
17.9276	2.7716
12.5719	3.1938
15.177	0.8033
12.9458	0.5257
22.08	2.4723
13.9092	1.4844
19.6447	3.4433
18.2756	2.3382
11.7287	4.8551
26.547	9.6095
40.5971	0.8526
17.914	1.2156
23.2492	1.4545
14.4679	3.6828
13.167	2.9133
9.8658	1.0922
24.017	6.5179
17.4852	2.923
50.726	3.2567
16.4096	1.2248
6.082	6.5607
12.9046	11.0496
29.6737	4.4732
32.6834	3.555
25.341	10.4204
8.0713	1.9045
30.935	4.0567
11.3459	0.7384
24.1241	2.7412
15.9904	4.358
25.0623	5.9869
47.2836	5.5969
13.9014	6.7431
24.5883	3.617
30.0851	0.8225
9.9562	5.8952
30.0013	11.8692
12.0025	11.1183
38.9352	1.1681
8.7617	5.7135
12.7573	10.5294
26.9475	3.7557
22.6585	1.0592
14.3498	9.8195
28.1945	4.5098
26.8434	0.6832
13.3455	4.5555
27.208	0.5814
32.0279	10.5659
27.9605	5.1372
8.5584	4.5811
11.1858	7.801
24.5955	7.3205
22.8815	1.0473
21.4964	4.1675
24.7324	3.421
10.7045	1.6016
11.6759	0.6192
15.0518	6.0177
19.6066	4.2925
18.5892	5.6056
19.4043	1.4075
15.2971	10.5303
25.1815	6.5539
16.7627	6.09
12.9488	7.6458
32.7253	5.1896
26.2503	1.7231
21.4233	0.7686
27.1465	8.6136
31.6053	0.5208
20.8616	9.5116
26.2853	4.7263
11.9858	5.4047
31.4119	13.8706
8.4745	2.8451
50.0594	9.1349
9.3229	17.7627
23.9261	1.6273
10.5339	10.1485
33.6248	1.7256
40.3893	13.7137
38.3278	5.8096
29.6325	9.5046
14.4848	4.1891
10.3087	9.286
27.8863	1.3379
29.212	1.4338
27.8128	10.3077
12.3832	0.6511
10.5675	10.0844
31.8303	3.7761
30.7019	1.6919
44.1533	3.5647
27.5336	13.8368
38.5566	11.7741
38.8502	8.2153
20.4486	1.8211
27.8384	3.2179
16.165	2.3369
21.5867	10.7911
16.4696	2.9226
16.3098	5.6714
18.7209	3.7191
34.5186	8.4599
15.4891	2.7746
16.6045	1.8244
18.6094	10.5156
22.7701	5.7626
17.0374	9.2661
23.9096	9.9719
32.5687	1.6926
40.6616	12.5603
11.4042	2.5344
36.1026	2.0577
19.6654	9.7835
13.9006	1.3902
66.1494	11.34
45.1561	10.1321
25.2227	6.392
36.1778	11.1806
20.0088	7.4787
16.242	8.3079
42.8892	8.6374
26.9542	8.7119
31.2455	10.7626
51.0876	8.5763
34.1395	7.5378
14.5204	6.4645
50.7794	33.4114
11.2718	12.1032
26.5758	41.4933
33.7806	15.5511
31.506	3.4391
11.7283	3.0416
29.5055	7.7778
36.2796	8.5289
37.0105	5.3171
57.6015	34.157
60.7953	3.3487
27.2203	6.3726
24.2441	14.1558
48.2735	5.7231
25.7848	16.644
30.1905	4.5703
35.036	21.5637
54.9772	6.0185
30.4367	6.9155
16.8894	6.4221
42.0643	10.25
53.6558	8.1444
18.1927	2.2886
35.9183	14.3252
56.0039	3.7687
30.5811	16.7593
47.8431	9.5235
38.5385	14.3958
60.3514	3.9325
50.0461	14.3788
16.1571	6.5311
32.7148	4.1075
29.7161	10.6751
56.7902	10.0346
46.6354	5.5322
42.9821	6.0133
41.4364	8.9992
20.4645	1.2072
70.8208	11.1628
41.6393	6.8824
11.9452	14.4697
20.5943	7.531
19.9216	13.4123
8.245	21.1888
6.8027	10.7607
14.5857	9.7178
11.6047	11.0835
5.631	15.7801
14.4972	11.1326
30.3094	3.0644
28.4933	2.8349
8.6971	2.8481
6.7015	10.064
14.126	13.1868
22.6804	10.4778
14.8413	4.7993
16.8624	13.1378
8.161	1.3926
13.0587	18.0135
14.7222	3.3052
8.8305	6.064
14.0949	4.3872
32.4024	1.8736
11.3012	5.265
12.2705	4.9918
36.0068	3.4101
53.5765	7.4742
18.6783	5.1566
28.4176	3.2856
17.732	2.86
8.4237	1.1888
36.5889	0.9832
17.5658	1.0998
13.8686	2.5388
9.5704	4.616
11.6517	1.6488
14.4522	6.0387
24.1632	2.1911
16.2143	1.9644
16.7595	4.0704
15.4628	8.8706
20.3177	4.5935
7.9581	4.0068
12.9694	10.5394
14.2851	14.4843
15.1841	2.0475
17.4282	5.0451
32.0069	4.9361
26.7543	7.1887
51.5304	8.2705
43.7619	3.3101
7.1494	13.8084
9.5577	3.7995
25.4317	9.5829
15.3214	3.8698
16.2083	4.8993
8.6735	1.8603
7.6183	5.1078
7.7716	7.3013
4.2133	4.2747
9.5761	2.5461
13.8065	1.5212
25.9964	6.6248
12.991	1.4074
18.7805	1.6345
34.455	1.612
13.3271	7.0574
12.0326	2.9354
36.0766	1.695
26.973	1.8324
30.6934	4.7949
24.949	68.9644
23.3247	1.2827
18.6187	5.1433
28.2655	52.4352
72.8344	1.7499
31.8661	4.0238
36.5777	11.9486
63.8243	5.2552
7.3812	4.6595
37.478	4.8262
48.4103	3.8763
6.1116	2.1441
31.3158	8.5625
6.3363	5.2557
12.2244	1.8586
23.5797	3.6904
39.4565	15.8222
55.3198	3.0028
27.3368	0.7479
18.5772	3.9704
15.0984	5.4546
7.3617	5.2265
17.7829	2.407
9.6424	3.5318
23.6335	6.2261
8.0124	5.072
27.0924	4.8726
50.1779	7.0808
20.4841	11.1849
38.9238	5.8936
57.2024	11.334
35.7621	6.1859
29.0327	4.9397
8.3677	7.1242
46.7978	9.9311
29.3014	7.7154
32.0852	17.453
39.7786	3.4633
33.1181	15.6374
39.9556	9.1082
32.6396	10.3405
35.3544	5.9811
21.3007	4.8502
34.114	7.2248
19.0683	3.1918
32.8821	8.0606
20.7554	4.4246
27.0603	1.1587
29.962	2.9369
34.9127	4.9729
35.2251	7.668
53.5268	12.5627
30.2987	10.6353
33.3114	4.649
26.8615	8.2727
9.9344	5.4122
10.1624	4.2911
41.5986	5.1658
48.1134	4.2318
28.0138	3.4846
47.7404	4.9866
33.7368	0.9171
8.8678	6.6525
33.6375	2.2492
9.0972	3.9692
29.206	6.7334
42.352	3.3415
67.1544	2.9703
21.6797	1.626
59.9021	2.7931
36.1347	2.3887
15.0729	3.8488
9.8501	5.4931
27.4496	4.5779
32.7174	7.6645
39.3883	4.2994
24.3648	5.0645
43.2234	3.8236
27.0731	5.3962
10.6083	2.4022
24.7884	3.1716
22.6372	4.0941
55.572	3.1605
26.1548	5.2845
26.8799	5.9903
15.3874	2.3174
59.5475	2.3209
26.4814	5.9454
12.6057	2.5801
48.0758	4.1551
10.4605	1.6385
42.9819	10.0999
18.5906	2.2764
11.919	12.3636
12.7467	2.239
25.2495	4.147
30.811	5.5402
21.5299	8.317
47.7137	21.4392
32.2105	5.1497
36.119	8.7525
12.1084	2.2786
20.913	7.7959
46.482	0.676
12.952	10.4648
20.7893	3.8106
14.4878	2.2599
21.1761	13.3937
25.5388	3.6399
14.4783	4.7562
27.8331	5.8546
14.416	5.9006
24.0424	2.0135
20.1453	14.5917
8.726	8.686
35.9188	14.2281
11.7846	3.5529
11.1561	5.0271
20.1828	5.5158
8.6478	2.208
34.5006	65.9158
7.8591	1.8106
50.4267	3.6201
11.1213	19.8865
21.9485	11.032
23.3738	2.1767
8.2615	42.9615
8.2955	1.7625
30.6035	1.4918
9.873	2.6108
27.3872	1.294
20.8591	6.2483
36.556	2.018
8.689	2.039
17.9335	2.0097
48.2407	9.3212
23.059	9.1891
34.8934	1.5146
40.083	2.3904
29.4538	1.5105
34.1093	6.9534
27.8696	4.1165
33.6036	8.3327
