mouse1c	mouse1j	mouse1i
9.2012	11.5204	4.782
10.2701	6.2488	5.9173
14.4979	11.0898	5.9626
6.3343	11.1439	5.7112
11.812	15.2312	4.9022
15.2967	6.8527	4.9063
11.2283	12.158	4.9745
13.2584	7.2692	5.1641
19.0864	6.243	4.9897
13.6729	6.7166	5.4675
10.6519	9.7211	4.7917
20.3177	6.9424	5.2737
14.6656	12.7551	5.1597
16.0032	7.6578	5.0917
12.2194	6.5	4.5828
18.1797	6.2003	5.0645
11.127	7.4851	4.4602
17.9354	11.9135	4.8628
18.5412	11.8201	4.9975
13.699	8.4011	5.3612
16.845	6.0306	5.2796
11.5533	10.1002	5.3295
15.0056	5.4684	4.4674
19.239	6.5647	5.0669
14.4829	12.4306	5.3413
15.3531	14.254	4.7224
18.11	7.3654	4.4713
17.5306	10.0793	5.9833
19.2231	13.4966	5.0812
16.6141	14.6495	4.6553
14.858	7.2519	5.1656
11.1736	11.7161	5.0159
12.4694	12.5294	4.7996
18.5401	6.9375	3.7134
8.2424	14.641	3.5127
15.2972	6.4132	4.4951
23.0513	13.2917	5.0777
13.6456	19.6549	5.4318
22.5868	7.889	4.6322
16.067	16.9844	5.0037
11	15.9724	5.0554
23.6566	25.4284	4.7131
12.3239	9.5873	4.9333
11.4847	7.623	4.6533
34.2747	10.6658	5.7189
12.1518	7.1737	4.4675
13.5321	6.0879	5.0373
19.1856	8.8993	4.9963
13.6923	14.628	5.0311
15.0004	15.1968	4.4895
9.1832	20.9267	5.3227
13.6916	12.4012	4.6631
9.8525	10.545	4.9722
9.8658	6.2392	4.8801
9.5741	26.3279	4.9696
16.8084	8.0375	4.3843
6.9221	14.9623	4.1469
8.9538	9.6001	4.8662
13.8125	18.038	5.1555
9.1953	12.7844	4.2868
6.1832	17.4992	4.1969
10.3571	11.1495	4.3935
12.2954	16.3249	4.2198
10.9468	8.6387	4.6297
12.867	8.3901	4.496
6.9545	23.4696	4.4587
13.9937	22.8147	4.1418
11.5228	13.1701	4.28
14.7317	19.8098	3.983
11.0323	8.0365	4.0833
6.5173	8.7875	4.0042
14.2995	7.9923	4.1153
11.428	9.4385	4.2656
9.4249	22.5702	4.6054
5.8035	18.5917	4.2728
6.3339	15.7255	4.5177
7.9376	9.3912	4.0606
15.1706	20.1355	4.4884
7.9404	9.0427	4.5714
7.0753	10.0763	4.3832
9.6464	12.6465	4.5077
11.3139	8.187	4.5366
9.0778	20.4784	4.435
6.0924	15.399	4.5607
5.9299	19.1418	4.3654
15.0097	17.3952	3.5841
12.8394	23.6881	4.4739
6.7432	16.7723	4.4846
4.8911	12.6012	4.4994
7.8433	7.5975	4.5164
7.0368	8.7835	4.31
7.7379	12.4561	4.4428
8.7695	17.8911	4.0165
10.1206	14.5807	4.3534
8.1327	7.8974	4.6554
14.3712	17.014	4.3736
5.6169	11.0454	4.3011
12.2006	10.7212	3.5791
10.1394	10.7672	4.1385
6.9503	8.6935	4.1135
8.9915	8.0211	4.1586
6.4905	14.8381	4.3557
12.675	9.1672	4.3893
3.7319	18.3883	4.3726
9.0158	8.8132	4.4598
10.497	19.7125	4.3766
15.2244	17.6404	4.3845
6.4067	8.5128	4.102
3.3016	12.0962	4.3089
11.892	8.5095	4.0153
7.3399	20.4457	2.4405
10.4816	8.0125	2.3928
12.3518	7.4925	2.4911
10.0614	8.0668	2.2537
12.3196	8.2645	2.2235
3.6115	13.4327	2.0831
3.9448	7.9746	2.205
10.0277	12.2083	2.2668
12.083	7.9384	2.2383
3.354	14.4717	1.8133
1.9319	18.5464	1.94
9.6981	13.7945	1.9136
7.0442	10.1664	2.0639
5.4462	8.2016	2.3697
3.5548	8.5685	2.402
8.0069	7.7999	2.0825
4.6216	7.7757	2.8541
1.9734	6.683	1.7893
3.5475	5.7402	2.0272
5.4161	6.6285	1.8476
3.8087	4.6746	1.7828
6.5019	6.6871	2.0377
3.9538	7.0312	1.852
6.666	4.8635	1.7917
6.932	7.3078	1.9585
15.6068	6.1013	1.5791
10.2888	6.6602	1.8698
9.6339	6.3248	2.0385
1.885	6.5155	1.7006
5.9162	6.9018	2.1128
8.5848	5.329	2.1535
3.6742	7.3391	1.8928
7.9213	6.1753	1.9455
8.7327	7.5264	2.3231
5.0749	6.8875	2.1448
5.9407	5.7755	1.9226
7.8986	4.3344	1.8733
14.398	6.4882	1.927
3.161	7.2686	2.0657
3.4768	5.8759	1.8446
3.5728	6.4472	1.9834
13.3244	9.6888	2.0039
3.7355	5.027	1.9481
8.2947	5.5787	2.2214
10.6081	8.9869	1.9107
5.9174	4.6966	2.0753
4.4987	7.1364	1.8815
4.243	7.2144	2.1221
12.8297	7.0942	1.7641
11.4947	6.4375	1.8986
10.8677	7.6116	1.9684
7.8838	6.9166	1.6992
4.2641	5.6962	2.156
7.4738	7.0167	1.7952
6.4463	5.3464	1.9573
10.867	4.3427	1.9512
3.0195	6.284	2.2226
12.52	6.3088	2.2843
4.9648	6.4906	2.5648
11.8725	6.6068	2.8323
3.0748	4.5835	1.6697
3.7826	6.5522	2.062
7.8297	7.9449	2.1072
3.6469	6.402	2.4268
4.3863	5.9141	2.1282
8.0081	4.6387	2.0593
9.2164	7.6154	2.1555
9.8657	5.1585	2.4373
7.3772	4.8371	2.0863
6.7145	6.208	1.9892
2.526	6.7712	1.9442
8.6366	6.2191	2.0144
9.3661	6.0966	2.005
4.5205	6.1967	2.1612
2.3729	6.4819	2.1169
1.7364	8.5	2.0593
11.1573	5.8509	1.9881
5.6192	6.5258	1.9733
9.0119	6.7429	1.9185
5.4875	4.4441	2.2057
6.0322	7.0278	1.8201
2.7204	7.4965	2.1979
2.6655	4.076	2.2912
4.6717	5.8957	2.3547
5.8617	8.0984	1.5873
7.6341	8.3731	2.6784
6.7356	5.6258	2.4841
5.4208	6.5164	2.2017
3.2569	7.99	2.4648
6.4017	7.3059	2.1661
6.2493	5.7864	4.5489
7.5123	4.8554	4.3322
7.3793	6.9012	3.9473
6.2136	6.1891	4.1888
2.0415	8.2808	4.1005
5.1143	8.5037	4.0707
8.0226	6.7639	4.2343
3.8322	8.1823	4.1713
5.0172	7.8299	4.2719
6.2225	6.02	4.2363
13.0461	5.46	3.935
3.4549	6.4546	4.1811
5.4116	5.2777	4.2933
6.2716	5.8657	3.7172
3.2609	5.1229	4.1564
6.6288	6.9918	4.2435
5.6054	7.6545	4.0404
6.4753	10.0694	4.2508
5.6705	5.9	4.0225
8.537	7.0285	3.7578
3.1375	5.2561	4.7139
4.8335	5.5034	4.0889
3.519	6.0954	4.1399
5.6646	8.2495	4.279
3.1374	6.52	4.1858
6.0762	5.8776	4.2353
6.742	6.2647	4.1648
3.0641	5.9196	4.223
2.8768	6.7679	4.1679
7.4791	6.7959	4.4303
9.3736	8.312	4.2127
9.4355	5.7695	4.2232
6.238	4.8445	4.01
3.3003	6.5399	4.228
3.6973	7.9428	4.3361
5.7734	8.3432	4.2237
13.6605	5.655	3.8622
7.535	6.0202	4.2416
7.7591	5.9714	4.2533
3.4591	7.6825	4.2669
4.3629	8.2826	3.9912
2.6024	9.8317	4.2924
3.0747	6.5234	3.985
2.1031	6.3964	4.4579
4.1685	6.2329	4.3122
7.1673	5.3703	4.0097
6.12	6.1681	4.2485
9.0405	7.2569	4.1937
8.1207	6.6436	3.8644
7.7937	5.23	4.1612
16.0911	6.6119	3.9164
18.0887	5.0655	3.8421
5.0127	8.0639	3.6708
4.8525	5.0366	3.9576
6.2355	7.5737	3.9337
11.6798	7.776	4.5145
8.8927	6.2828	5.4504
20.9349	4.8437	4.7696
9.8791	6.4536	4.8443
6.6844	6.2991	4.9213
5.156	7.1021	4.8904
10.0036	6.5457	5.1034
13.1171	6.325	5.2544
7.374	5.2077	5.1774
6.0592	6.8131	4.4121
6.5784	7.4158	4.6635
5.9266	8.3835	4.4323
7.9289	7.2173	4.6711
4.8086	6.4407	5.227
13.2993	7.5028	5.3689
10.2898	5.9232	4.6726
5.6987	8.5219	4.4557
7.9761	6.7415	4.7476
5.2317	4.6728	4.6135
6.1692	8.5256	4.4998
9.4093	4.6843	5.2726
15.84	6.9232	5.3152
5.5741	7.3483	5.2352
6.9642	5.6437	4.5334
7.5739	5.7541	4.7334
9.513	7.3847	4.0899
10.5687	5.8618	5.4058
23.6908	6.4157	5.7413
5.8109	6.8379	6.0086
7.3529	5.9736	5.4209
5.5675	8.8364	4.8256
9.0284	5.9914	4.6355
8.2662	5.8381	5.2702
4.4968	7.1631	4.9588
10.3561	9.4353	5.3504
10.1542	4.9	5.1682
8.7019	5.1399	5.0972
6.2334	10.8967	4.9227
12.5624	5.3254	5.3727
12.5558	6.0287	5.0984
6.9569	7.6135	5.5097
4.9464	7.7902	5.3634
4.8461	10.4721	5.6461
10.5275	10.5278	5.5573
7.6589	11.0593	5.8479
12.4022	10.3008	5.8818
7.8852	9.1723	5.2114
7.7818	10.822	5.6484
6.5916	9.5416	5.4142
8.4952	8.9431	5.6884
20.8167	9.1804	5.2499
5.969	7.0568	5.7751
9.7268	8.9611	5.4841
7.3403	9.1678	5.5123
19.1124	7.8949	4.9219
16.7893	7.9979	5.6415
14.5312	8.7697	4.725
13.7129	6.6401	5.3693
8.3592	8.4914	4.9518
15.9748	7.2511	4.5561
15.0535	7.1874	5.881
16.1106	7.2039	6.0429
10.9788	12.6008	5.251
18.5342	6.4776	4.7627
20.2017	8.6894	5.7965
9.4423	7.2965	4.5711
8.9088	7.8271	4.8628
17.8705	9.7357	4.7512
14.8723	9.18	5.0261
20.2136	10.5628	5.0983
19.2989	8.655	5.5797
13.6816	11.5788	5.944
15.8058	8.0872	4.5927
14.1951	8.6866	4.3726
14.3903	8.7474	3.6841
18.47	10.4417	4.4764
18.4752	11.4245	3.7636
10.2818	9.9797	4.1559
14.0819	9.3632	4.075
14.4006	10.0135	4.3639
17.6623	7.821	4.3836
18.0519	10.9611	4.4925
15.5276	9.4386	4.2097
12.0956	8.3949	4.073
13.0972	8.6249	3.8035
20.6577	10.4104	4.59
15.4574	8.1599	4.4361
17.5452	9.4115	4.4682
11.3096	10.4556	4.339
10.4383	8.3647	4.4191
12.6616	6.3108	4.5307
8.9116	12.1498	3.9575
18.8852	12.8624	4.4591
17.7742	9.1628	3.9635
22.0407	6.5014	4.1447
13.7602	8.2624	3.8098
23.0319	8.4866	3.5491
16.4439	7.1449	4.5838
13.1898	8.7265	4.4825
11.4116	7.3718	4.6725
14.0801	6.8971	4.5343
15.5643	8.8763	4.3488
15.4885	6.2872	4.5862
