eso18mouse1d	eso18mouse1e	ear18mouse1d	ear18mouse1e	ear18mouse1f	paw18mouse1d	paw18mouse1e	paw18mouse1f	backkm2421mouse1	backkm2421mouse0	backkm2421mouse7	backkm2421mouse6	is18mouse1e	is18mouse1f	sca18mouse1e	sca18mouse1f
2.5309	1.0497	3.7754	14.0658	14.6107	1.2549	4.1608	3.6097	5651.74954	2930.246305	3750.492468	5056.110799	21.0087	1.7063	36.0912	3.1339
8.1296	1.0043	1.9468	14.1241	6.6506	5.0438	0.7612	5.2253	2446.532999	2630.039526	1918.744723	4728.03081	21.758	0.6194	33.3772	1.3982
0.07828	0.2685	1.4542	17.0994	7.5157	1.0147	3.9088	1.7607	1731.569525	1350.591466	1569.928966	1435.632505	15.8585	5.0585	36.1987	2.0024
1.3072	0.2564	1.4355	10.8126	4.878	3.909	1.6745	3.2874	1529.691294	2913.120269	1284.702818	2162.964837	10.781	0.2862	31.8692	2.5
2.0268	0.5007	1.6639	9.9274	8.4327	0.8809	3.4916	6.6875	1126.945412	2788.620134	3319.5645	2908.64012	11.8081	4.7125	33.613	1.0838
0.1968	0.9532	6.3821	11.1387	26.2808	2.4801	2.1625	4.8672	2785.455505	1492.320396	1453.459866	3234.804192	20.0117	1.0536	33.8952	1.579
0.5987	0.1495	3.6874	4.7693	6.5452	0.8784	2.4205	6.5582	1790.337785	1139.90849	1089.3592	2131.411411	19.2068	2.5616	34.1152	4.5831
0.5405	1.0786	0.8787	9.41	15.5829	1.1223	7.2771	5.335	2768.580512	1075.331355	1620.992862	4378.977104	9.7519	2.5174	35.6865	2.6942
0.1554	0.4042	1.4921	11.0895	17.8778	3.0786	0.8834	2.3718	5109.296875	1572.60177	744.625624	5097.296155	7.9502	3.0714	33.4993	1.624
0.06195	0.05815	1.3924	19.4358	4.7871	1.6164	0.247	5.3017	1154.982386	2055.836078	727.8669725	1716.545517	6.593	2.9629	34.3907	1.021
1.7073	0.5902	1.7167	12.9346	7.3226	1.6946	3.7885	2.5286	1162.084456	1502.77335	3967.430124	1159.935962	15.8747	1.3787	42.8881	4.2872
1.0984	0.2178	2.8834	7.7744	23.0763	1.794	8.3807	4.0895	1626.860969	2291.339328	885.9908884	1792.889647	17.7784	2.4398	34.9717	1.0214
1.4734	0.6897	1.248	8.2747	9.0643	5.0373	0.9926	6.0321	3797.40519	2471.352389	1226.510121	2987.022901	8.9023	2.2854	38.0183	1.7786
0.2116	0.05315	3.3998	6.8924	9.9563	2.5682	0.7846	2.6511	1828.599434	1334.221219	1066.387654	1646.276923	16.1411	3.2549	32.3551	7.0585
1.0443	0.3437	1.1677	8.383	9.4012	3.7707	0.3805	5.1305	2589.876325	1625.388308	1313.435856	3155.719977	14.9394	1.7017	32.8648	3.6057
0.362	0.03491	0.8466	5.0811	11.5254	1.0679	0.9006	4.2699	885.409342	4226.362122	851.2572027	1299.8262	20.9094	2.6273	35.3512	3.3127
1.7803	0.3613	2.1058	18.9315	33.8726	4.3207	4.5018	5.1801	940.4053612	1430.078125	787.8334799	826.5789961	11.0284	7.8401	33.8287	4.4624
0.08991	0.5272	3.9249	7.8151	9.1178	0.9406	1.7494	7.267	1299.463627	1512.624113	1518.860904	1305.91994	12.1231	7.0032	46.9028	4.296
0.3278	0.573	3.2672	10.0506	8.3597	4.2908	0.3033	2.3019	3393.20354	3376.402251	1590.04914	730.1432292	14.88	1.096	34.1335	1.1029
