mouse6c	mouse6d	mouse1k
156.5363	184.4512	132.5322
173.0007	183.4502	102.973
146.5971	178.7924	133.9003
191.862	165.4393	120.6012
180.126	138.0504	102.1873
180.4255	160.3554	119.4527
173.3725	164.5065	113.7024
176.3539	168.6699	108.2631
170.8859	168.0607	110.5005
174.8404	181.2544	75.6129
158.2442	168.4578	101.9736
175.5431	163.9122	113.4003
167.4166	153.0426	98.5708
168.6396	161.6731	64.5935
176.7297	173.9198	124.7423
158.031	156.6328	103.9445
165.2086	149.7202	87.3067
175.9688	162.5131	104.8898
162.9217	145.8898	119.2481
160.7322	184.3287	115.4967
170.5162	167.7083	101.5764
173.3496	173.1949	119.7939
173.9601	161.5458	104.7275
165.1504	155.707	94.2345
171.7768	174.1561	114.7087
178.3906	169.3022	109.6988
171.8232	161.3137	95.7351
156.5344	183.5937	108.7605
171.6935	182.4415	99.9696
163.6395	177.6787	93.0646
170.8632	182.808	105.6491
181.2817	129.947	103.4763
155.9041	172.0359	121.6321
167.0221	173.4192	90.0547
172.3671	165.7065	81.8757
176.9222	178.3047	100.2599
153.8543	174.3943	112.4549
177.8579	168.6296	91.1524
165.3213	175.4028	118.3165
156.6973	176.2705	110.5978
167.5807	167.669	97.2055
169.3321	164.9973	102.3546
167.2397	152.0512	117.0195
173.1357	171.824	112.5299
152.5788	172.2883	91.133
176.4824	173.7322	106.5181
172.071	174.6259	116.4032
162.4503	171.9972	113.7401
167.5213	165.4226	115.2657
165.0844	173.4787	75.0114
166.9772	163.5519	115.2142
168.9729	179.0812	122.2026
168.842	183.7255	119.5635
173.027	165.5922	89.0987
172.428	172.324	125.9641
164.4324	172.3276	83.1472
167.6674	169.4218	45.8703
153.3789	164.7519	103.2184
156.027	166.4289	104.0776
165.1731	162.3453	76.5344
167.0765	176.1617	100.7784
169.1151	180.2073	98.2803
176.2281	173.6784	114.1794
169.9544	167.0365	104.545
164.9133	175.0305	107.8888
163.5289	170.2861	95.9014
169.3253	176.6753	57.165
158.9739	173.2006	83.1233
159.4998	170.3071	103.475
177.5692	174.3562	64.2572
179.1101	160.1858	105.2275
169.0241	169.4597	114.1427
165.7456	171.1983	85.4504
140.6765	178.3298	139.0895
172.2899	168.9315	94.5231
174.6473	166.3413	50.9803
167.0535	168.7327	135.1785
162.6984	167.8094	65.4397
167.1049	171.9161	82.4905
170.616	177.6058	118.7781
176.3912	168.4276	101.5755
156.8162	171.7919	91.1183
169.8485	171.0171	98.0239
155.9108	176.6599	101.2988
168.4122	172.3084	75.3614
172.6642	178.7704	107.1208
164.3792	160.9276	102.7274
123.2748	163.2241	109.7195
159.4577	164.2114	95.5321
179.5191	177.6354	109.114
153.4076	144.9537	123.0899
162.0874	161.7912	99.9508
141.4206	159.2387	112.1083
160.2074	174.8267	95.3797
168.9764	165.9273	92.1136
168.6649	176.3904	75.6212
175.4343	167.4648	103.6696
180.7742	154.9279	107.6355
127.4717	170.5072	107.5305
162.0496	165.9597	119.6559
167.1917	181.9773	95.8993
161.4279	176.6303	82.4407
179.0097	167.8335	99.8956
180.1318	181.1769	105.4002
153.2296	168.3093	125.5458
149.1645	161.4556	78.231
179.5008	152.3698	92.3123
161.4479	176.8523	108.0556
170.8041	145.6672	112.8078
180.4781	174.4917	80.295
158.3208	153.6864	120.5391
159.1667	148.2414	99.6751
157.5507	167.454	113.4744
154.1642	163.0141	86.7078
174.8345	154.24	100.5637
143.1769	120.6239	108.9873
162.3276	154.8815	112.2512
174.8678	138.2619	99.197
168.1363	141.8151	94.5764
165.4349	146.8015	110.216
169.741	147.2841	104.9193
164.8967	128.5783	96.3655
178.2134	132.8404	104.3397
156.3542	147.5091	84.9526
158.3041	144.9918	93.7631
162.0337	144.6489	105.9587
167.6035	144.9265	100.033
165.4553	142.725	107.1928
162.4907	143.6311	104.3164
167.2303	147.1348	97.6771
167.0615	134.9482	118.4456
153.3761	162.0989	108.9043
173.0237	134.2361	95.2858
144.6842	139.2152	109.3184
167.9754	149.4563	105.7034
163.541	142.7464	105.8493
153.6921	153.4709	93.4536
176.3074	158.835	126.1735
162.1142	129.2721	111.6146
145.8891	152.1354	130.2007
163.5862	138.0263	137.2201
160.9573	149.4175	100.2489
156.8439	145.0611	100.962
168.4774	135.57	105.8293
176.4248	142.812	108.7807
161.0514	142.4267	126.3655
171.3888	149.7907	100.1989
97.0621	144.6336	99.2229
153.4749	142.7637	107.433
164.5071	153.7814	125.2029
146.9649	151.3041	99.5208
159.3772	138.3055	100.8673
146.5863	134.173	122.5246
174.2031	146.0209	117.8314
167.5748	145.9093	98.5865
164.9524	169.9961	118.9013
160.0521	146.6824	81.9209
167.5778	165.577	108.7758
169.8836	156.0815	97.536
148.1633	144.73	97.2634
134.3313	146.3586	92.4647
149.5651	159.0264	104.8491
160.0782	76.1029	93.8651
159.8443	156.1298	91.7512
163.3857	120.9667	102.1026
173.199	138.2032	101.6223
165.1335	148.5652	112.5598
159.0645	152.5849	85.5702
194.9224	150.1863	90.1182
175.3792	124.4076	106.1404
193.4273	148.2825	125.7942
172.9882	153.3065	79.7098
182.9218	151.2839	107.296
156.941	149.4443	92.297
169.9885	134.4698	104.2644
156.4633	148.061	86.1578
165.9664	136.5589	110.2939
169.7879	135.342	86.0427
171.9972	137.7864	82.2178
167.2924	159.9534	93.0323
163.2758	146.3718	109.0891
176.0725	138.508	102.1105
186.246	131.929	92.5464
164.9022	145.1521	105.3065
165.8835	163.8346	97.0085
177.7912	163.5807	104.6577
165.5922	132.9775	124.8529
142.6415	154.5541	100.4249
153.8695	141.7561	101.8297
155.9221	152.6675	76.2486
165.4959	159.5368	104.4439
174.3499	144.2997	93.3499
