mouse6e	mouse6g	mouse1a
32.0474	4.4434	14.8709
35.1867	45.3807	15.9243
59.4225	26.8884	8.4069
54.8881	13.0398	14.8181
65.623	26.66	20.3682
29.6702	40.2673	20.7239
29.4767	25.6829	16.3038
54.7232	22.9732	19.9639
46.0383	37.101	20.5556
66.1264	39.4229	11.566
24.5924	18.4548	26.1704
58.2312	55.7637	23.6845
31.7628	22.3336	16.3857
49.633	20.9977	6.4064
25.9545	19.9806	14.2785
49.6309	60.3033	12.8128
27.0453	35.2438	22.783
29.8532	28.3921	20.4893
51.9164	37.0994	30.0986
20.7866	11.2934	30.253
44.8008	22.6332	13.7345
24.4043	59.1862	4.9937
35.1142	14.1825	6.9792
44.3455	26.5384	1.5938
26.496	29.091	23.9084
27.0912	26.5358	19.6731
40.2199	28.1805	17.2858
15.199	26.488	16.0242
61.0987	19.4715	4.9054
45.2724	31.716	10.5242
35.9079	50.3929	13.2495
67.7763	21.4143	22.7348
46.6452	34.575	11.038
21.365	20.0991	16.5092
76.3224	18.8602	15.7981
28.3823	21.928	8.3414
48.9224	13.7456	20.0013
43.0551	22.816	28.6502
21.5617	24.3998	15.2472
65.6177	30.4418	17.2162
39.1977	31.9411	14.4383
20.9054	29.5565	20.7577
25.127	32.7322	22.6888
45.4302	27.1222	23.0565
32.2599	13.8983	15.9537
43.3585	28.9231	18.4351
39.667	19.4055	31.2985
63.4387	19.9031	21.3759
18.7084	32.7673	24.0758
35.4319	40.4044	16.5139
47.7397	19.6461	28.4144
34.7163	21.9944	19.8777
53.9924	30.0768	16.619
43.3598	22.5697	17.4016
38.3281	27.7217	16.3727
2.9416	25.7401	15.0607
54.2569	21.0308	16.1468
39.3539	16.7443	23.5587
18.0687	18.6565	20.408
49.4363	45.7689	34.5836
30.9402	29.6158	25.7258
51.1542	34.6359	21.8341
52.4975	20.7995	16.8476
54.8892	14.7519	10.6632
16.5261	16.1476	36.0289
28.2748	36.4175	24.1857
38.3101	18.5611	12.4693
32.4403	20.993	22.9026
42.5748	21.3296	6.2221
34.1646	26.053	21.1581
24.2045	45.844	25.079
50.7706	25.4868	22.1388
39.9889	31.8472	7.4729
64.8356	26.5939	11.4844
15.1654	24.479	23.0497
20.6963	20.4909	27.4125
80.4537	38.2589	23.6776
12.2857	30.8982	17.1087
17.7337	10.6369	24.3184
48.2657	25.6745	26.2759
72.6637	26.7901	5.9632
23.3372	37.1794	32.2782
19.6646	38.267	29.2407
10.9437	16.8407	21.2433
18.173	25.4323	13.8242
21.383	30.5908	13.146
19.1949	18.0408	25.826
13.2781	10.6261	16.8894
12.502	20.1178	18.3035
28.6315	16.6888	13.3224
20.358	16.056	9.12
12.1808	21.9109	15.323
10.2226	24.7034	22.8983
18.3339	19.8064	23.7349
10.7579	32.6319	14.2087
22.4237	17.0479	12.1371
22.2513	16.2203	27.549
36.2221	16.6906	16.9289
23.4393	35.1841	16.0634
25.6507	22.707	38.5202
14.3665	64.8974	31.7892
15.6871	14.2735	26.4816
11.2023	25.6797	20.4936
20.4263	19.2039	17.4443
35.8697	67.6905	15.3883
21.1053	23.7219	15.4034
36.4896	45.8138	25.9272
9.1859	29.0486	20.0934
12.9333	38.3654	26.3035
25.958	38.7258	17.3687
12.1681	29.8825	26.5819
7.4882	20.5778	38.6205
16.7657	54.0149	33.0301
15.6101	28.3658	19.8037
20.6159	49.1997	19.9308
21.8296	21.8022	19.6923
10.4007	35.0326	14.1085
18.5081	23.565	12.1824
28.5229	17.0797	14.569
17.2573	47.1834	23.6787
13.9476	42.3712	8.8909
19.7582	32.5702	15.771
25.5936	23.6712	15.3804
13.4066	24.1896	23.2747
26.5844	34.787	24.068
15.3129	28.4532	17.5163
17.5998	30.7006	15.5863
15.7105	45.0469	22.2984
9.1701	55.8266	17.506
27.4639	19.9403	20.779
13.8541	24.578	8.3899
15.8328	22.7087	20.5736
17.1677	26.9044	15.1722
16.2523	46.2851	11.9803
16.6844	21.1046	20.0411
31.9791	40.597	33.5357
32.8165	40.2255	18.9464
11.8266	52.65	21.8825
17.094	16.2247	17.895
20.0427	46.4789	18.8441
16.1773	28.2633	13.0752
16.085	21.2166	16.1297
26.3358	40.9262	15.4549
33.8038	54.0712	17.95
21.9143	22.5474	18.7723
23.7	33.7613	21.7566
11.5736	36.6263	17.9329
15.6096	26.6155	23.1031
24.4092	22.2431	21.386
14.0405	48.0169	20.0098
26.1532	27.379	16.4248
16.2013	28.4824	15.8621
27.6241	30.3686	18.9179
24.5604	39.2757	12.456
31.7481	33.264	15.2898
26.0787	28.2093	17.8342
16.3725	49.7681	17.35
27.06	30.731	24.0645
54.0788	31.0364	23.3872
22.158	37.5954	13.606
15.1178	32.2864	21.6063
11.9192	35.9156	40.2884
41.4643	45.7973	14.3957
27.3196	21.7982	13.8098
43.5253	34.3029	44.7348
15.9165	31.4196	27.929
68.0327	27.7554	35.3112
46.0212	42.5279	24.624
36.9861	46.7264	21.8638
32.0046	30.3964	45.3177
34.5069	29.0356	23.4687
52.3609	38.2234	32.5821
23.9018	33.0587	18.5317
18.3689	22.7508	24.4586
33.5762	27.3485	32.9456
100.0305	31.5972	31.8885
75.858	50.6839	7.1166
32.4961	40.8471	20.3602
52.9748	37.4298	30.2528
61.8233	31.1437	24.4697
75.4242	20.2447	27.3173
33.0126	28.3595	23.1105
31.8138	33.5339	42.9546
73.2827	38.0341	24.7823
25.9562	40.2806	28.8662
70.4563	27.8998	26.497
67.7094	21.5135	34.2455
40.9777	68.3708	18.5694
62.8917	16.4961	21.9607
76.3268	68.5314	33.2185
78.2424	35.7865	17.8255
90.0509	36.1189	20.0936
29.5599	22.9016	44.9164
63.2176	26.649	24.276
53.8057	36.4839	28.8789
31.5295	37.6583	32.3446
36.2009	32.9828	19.8926
60.1678	28.0953	24.6894
73.64	51.7759	36.9925
76.4926	26.9757	17.6101
26.3346	22.1825	23.4595
51.4946	52.0104	25.0633
33.2568	52.5744	27.591
23.4302	30.6312	17.0141
32.2863	23.3356	28.1406
35.6715	38.2759	28.6385
23.4909	46.7365	29.5487
61.8142	29.3741	24.5654
44.2428	30.7953	26.4201
30.5715	18.6528	17.3728
69.4177	25.236	34.7318
43.1855	49.0881	33.815
39.6615	22.259	20.7625
42.0746	22.4004	24.738
52.5541	31.89	27.7879
43.3649	25.3392	20.8699
42.6232	38.8592	20.8677
42.1583	30.914	26.9409
43.4871	38.2021	32.0008
