mouse1d	mouse1e	mouse1f
1.2549	4.1608	3.6097
5.0438	0.7612	5.2253
1.0147	3.9088	1.7607
3.909	1.6745	3.2874
0.8809	3.4916	6.6875
2.4801	2.1625	4.8672
0.8784	2.4205	6.5582
1.1223	7.2771	5.335
3.0786	0.8834	2.3718
1.6164	0.247	5.3017
1.6946	3.7885	2.5286
1.794	8.3807	4.0895
5.0373	0.9926	6.0321
2.5682	0.7846	2.6511
3.7707	0.3805	5.1305
1.0679	0.9006	4.2699
4.3207	4.5018	5.1801
0.9406	1.7494	7.267
4.2908	0.3033	2.3019
1.4369	1.6779	5.8624
1.4126	0.1002	4.3319
2.5826	4.6411	2.5783
1.2851	7.1687	8.5154
2.4198	3.7706	2.7006
1.1283	2.4495	3.4965
1.2942	6.5764	3.2064
1.217	1.1001	7.0151
2.3017	8.0915	5.1405
1.5785	3.1781	3.0784
3.097	5.7021	6.6725
4.0982	0.4112	2.4331
0.8525	1.0096	2.2199
3.8608	4.1901	2.808
1.8058	3.4448	4.1203
0.9345	2.0108	2.0369
2.0186	6.0931	5.5901
1.6529	0.4412	5.1186
2.1727	2.2337	2.6557
4.2654	2.3837	3.4015
3.3566	3.4571	3.6039
0.6118	0.6161	6.6626
1.6308	3.3082	2.8194
3.3097	9.6173	3.9995
2.5498	0.6	3.7821
3.6843	2.4075	2.4914
3.2093	11.079	3.1191
0.6559	2.3016	1.9176
1.284	0.3786	5.9105
0.7093	1.0157	6.6399
2.7722	0.68	4.955
1.2941	2.9538	8.3367
2.1305	8.6927	3.2913
2.2905	6.5147	7.0478
0.3935	3.134	4.9706
1.4925	3.2524	3.932
0.7281	0.275	2.8325
3.9729	2.5868	4.6934
6.6051	0.9038	2.8425
1.1979	2.0919	9.1168
0.7513	7.6923	5.7335
3.0725	2.8331	6.2306
0.5574	5.7879	4.4623
4.8121	4.2005	6.1159
1.4451	1.4342	3.3692
4.7342	3.6767	2.5208
2.5846	3.3238	1.8376
2.0843	0.2114	4.0027
0.3867	5.0612	4.4222
0.902	5.3506	2.8657
3.9785	4.4311	3.7585
3.4561	0.7657	5.2136
2.0124	3.5622	1.6927
3.7648	3.9683	1.3078
0.686	3.2946	1.646
1.2739	4.0844	3.5441
3.3159	0.9726	2.7884
1.2995	6.6466	3.1427
4.0507	3.6858	4.1545
0.3512	1.6719	4.1804
3.3855	4.3048	7.5872
0.4718	1.2044	1.7017
3.2347	1.6466	3.7655
2.2707	2.807	2.4275
2.9357	1.4968	4.8601
2.7556	4.6286	3.4206
2.9847	2.2394	5.3213
0.6372	1.7543	1.3835
0.9654	5.164	3.7758
8.9186	2.5648	4.5183
0.8242	4.355	5.0018
1.7441	2.591	4.6855
0.4278	6.014	3.1572
2.9092	1.6214	5.5644
1.1192	6.4275	6.024
7.0577	1.0083	1.884
2.6359	7.1064	2.9215
2.4732	1.7872	4.7738
1.3218	2.5299	2.512
3.6228	3.8257	6.8369
1.8086	1.2729	3.9473
0.9651	5.0849	1.76
1.6757	2.2544	3.6876
2.7869	1.3058	5.5236
1.5822	2.7862	4.4526
2.7242	3.3294	4.6756
1.0704	1.6473	3.325
1.104	2.7639	2.074
2.8526	2.781	4.2546
1.3898	4.6462	2.3764
3.2611	3.0918	3.926
0.407	0.2355	2.4607
1.2649	1.6951	1.8234
2.5856	7.4666	2.4359
0.9544	3.5119	5.2049
1.1594	4.8292	7.4613
4.8906	2.6888	3.5355
4.836	4.889	2.5969
0.5376	0.8533	9.384
0.5585	1.2257	2.2542
1.1303	2.7311	2.6786
2.8593	4.7992	2.4605
1.9434	4.1616	2.3067
1.5754	2.1396	4.9698
3.4348	2.0893	4.3295
4.3669	2.9362	3.7022
0.5359	0.9167	8.0427
0.4254	4.1686	2.3514
0.6967	1.8767	1.6296
4.2197	3.2987	3.2916
3.6203	0.1417	4.3404
1.4269	2.4181	5.8855
0.4704	2.0969	2.6861
1.4367	2.1182	3.0057
1.4809	3.2635	4.1289
1.2975	2.9901	2.8272
0.4977	2.6857	4.4837
3.1193	2.9473	4.629
0.9986	0.1628	2.3474
1.8931	4.0316	2.3951
1.0799	1.9078	0.8762
1.1518	1.9542	1.2264
0.7407	2.4959	2.5101
4.4408	4.3903	2.1883
0.3297	3.9272	3.3027
3.4994	5.1648	2.0252
1.8515	2.1292	2.2669
2.2566	0.03403	0.9457
1.2072	3.7653	2.129
2.599	2.082	1.0448
1.2624	0.4659	3.4078
3.4944	2.8596	3.211
2.7711	1.9829	5.8958
0.9888	3.291	3.306
3.784	3.2291	1.5795
2.4705	3.9315	1.7158
4.0107	4.9939	1.1496
1.4093	2.6028	3.7101
4.5319	2.8504	6.5703
1.4253	2.1605	3.8992
6.1195	4.2469	3.3959
2.6424	3.9832	4.5227
0.1958	3.2727	1.4798
2.0953	2.5399	3.0668
0.3638	1.5518	1.9653
1.197	3.1767	1.6896
1.1508	4.2326	3.5592
2.3161	3.5837	2.9572
0.9518	2.4089	2.8992
5.9581	4.3128	1.7516
0.901	0.6287	1.904
1.4817	2.0803	4.5511
1.6427	2.0302	1.5898
1.7458	2.8791	4.1596
1.6168	2.1356	2.7033
1.8783	2.6263	3.4049
0.5555	2.0147	1.7063
0.3955	2.9369	3.8299
2.4855	4.1045	3.2772
1.4162	4.2813	2.0626
1.8836	3.1432	2.0426
1.2287	4.6403	3.4744
4.1149	1.753	3.1491
1.8902	2.3556	3.1836
0.1138	1.8127	1.432
5.7192	1.8101	3.2976
1.2302	2.0912	1.4246
1.3125	4.6275	4.4565
2.0343	1.8502	1.6156
1.8368	1.7112	4.979
1.093	2.5397	1.7956
0.4396	2.1169	5.2437
0.1099	1.4207	2.8753
1.3088	1.7617	2.36
1.1843	1.6221	2.9785
1.0898	3.6786	2.499
3.3234	2.3755	5.253
4.5394	1.6094	3.9581
0.5738	2.7716	4.6605
3.8049	3.6423	3.521
2.0605	2.2096	4.7623
0.4665	2.4737	4.5249
1.8522	2.3209	3.0158
0.05237	2.7845	1.0554
4.1947	2.3178	4.9441
2.0824	2.774	3.2585
2.081	0.9012	1.6049
1.6943	1.4577	3.1239
1.1728	1.8474	3.1978
1.9544	1.4226	2.062
0.07136	3.3369	2.548
1.947	3.9915	3.9864
1.1794	2.0804	1.7204
1.1044	2.7794	2.6992
0.9369	0.2793	2.538
4.7008	1.283	2.8754
1.1625	3.3052	2.4168
0.6378	2.3701	0.2099
1.5891	1.242	3.1399
1.6759	1.4268	1.187
2.2282	2.2243	2.8933
0.0477	1.2941	7.6829
2.3189	6.1274	5.382
2.9388	2.4499	1.7715
2.8911	3.6104	3.2028
0.9265	5.1295	2.3249
0.7468	2.9795	5.3439
1.9791	0.527	3.0864
5.5198	2.8376	5.0035
2.3486	3.9947	1.6638
1.534	3.9661	1.9607
1.3949	3.2346	5.0279
0.9826	0.6928	4.7331
0.05239	1.6336	0.1322
1.0269	3.6484	0.8959
0.7982	3.4976	2.9804
1.0278	1.425	0.1497
2.4067	2.9527	0.9113
0.1831	3.3834	3.5626
3.6588	1.681	1.2741
2.9275	1.8344	3.4621
1.8781	3.2726	3.4061
0.6937	2.04	3.8732
1.3069	4.5745	3.3006
3.8297	2.913	6.3331
2.3644	1.2324	0.9615
0.03178	1.4148	4.474
3.1808	2.2016	1.383
1.3306	1.4804	4.1463
3.6206	7.9541	4.3882
2.728	3.2156	2.0839
0.9113	1.6577	3.2891
1.3882	1.8472	2.5202
2.2046	3.147	2.3606
3.6092	4.2881	2.4626
2.8078	1.3325	2.668
0.6193	1.2669	3.0849
3.7331	2.7361	1.3799
0.0649	1.2024	1.8309
2.3701	1.3556	1.9932
0.05419	2.8261	4.3321
1.9989	1.5109	3.5791
1.2488	1.081	3.4503
4.5596	2.3098	4.1265
1.5337	3.5869	4.4622
2.0402	3.9968	2.8827
1.4107	2.0604	1.8373
0.6453	1.5454	4.4459
3.272	2.9578	2.8439
1.0751	6.4838	1.0608
3.0842	0.469	2.2088
1.9439	1.9007	0.9223
1.4248	1.7025	5.2836
3.9416	1.7622	2.9958
1.7337	2.4697	1.7852
3.3133	5.6826	3.4715
1.4145	2.2268	2.4745
2.8348	1.5744	2.9588
0.03496	5.5201	4.2838
1.5422	4.6124	1.2908
1.771	3.7864	3.159
3.262	3.5361	4.5901
0.982	3.3627	2.0325
1.4079	2.0569	5.4718
1.3266	9.8598	3.0694
1.3007	5.7349	1.53
2.6266	0.9233	1.9671
1.1884	5.7966	2.1133
2.7086	7.6644	0.3662
1.3034	1.1774	1.5476
1.7158	5.6014	6.6462
1.4248	2.0475	4.2818
5.0255	1.1684	3.2353
1.6172	5.3683	3.7847
2.559	2.5852	2.1307
0.08788	1.9297	4.5648
1.5322	2.4031	1.3062
1.3046	4.3591	5.3319
1.0074	1.2428	2.8248
1.1414	1.7047	9.3322
1.4197	2.4444	4.093
2.8366	1.1598	3.3159
0.8768	1.6306	4.0576
1.2518	1.5645	5.2754
1.4379	3.2492	2.1795
1.5676	2.9116	3.2009
0.49	4.811	1.2126
1.2984	2.2304	6.1951
2.5797	2.7928	2.8977
2.7529	1.7299	2.6002
0.5232	4.6613	3.1634
0.4604	2.2877	3.1487
1.4772	2.6788	1.3646
0.8593	0.6949	2.2113
4.1255	2.2389	3.3599
