mouse1c	mouse1i	mouse1j
35.1099	61.66	63.339
38.9424	50.8478	46.4576
41.9572	51.8521	51.436
46.0352	45.6501	39.0659
36.5852	57.6647	44.0788
32.5867	89.2145	74.076
34.2408	56.0479	26.3684
38.5831	41.5086	72.42
55.6142	45.6283	79.6932
44.2942	46.6178	67.3107
38.937	32.5075	51.2585
34.1004	35.9906	40.6941
32.1535	73.0937	96.5236
37.368	54.5427	51.17
36.6015	90.3126	70.8471
55.3906	52.0135	73.6114
42.3624	65.6151	124.7891
34.4039	46.983	27.9602
32.6147	45.3968	99.9038
34.9225	65.5261	50.2629
39.5912	34.9399	93.8461
14.6555	41.5934	105.9299
29.39	41.0031	40.3356
34.5439	66.1177	63.7015
69.5375	52.631	103.4482
30.8995	64.933	71.8513
37.7278	54.41	29.1928
29.9586	71.8863	112.6559
37.266	62.2872	84.9854
27.9199	66.8835	98.1858
31.1735	65.1783	63.4296
28.5403	67.6369	32.8602
37.9762	43.8772	56.4648
28.6903	79.1519	85.9946
48.8852	38.296	68.3503
24.1654	63.4465	85.5453
16.1896	52.4076	53.773
31.3076	69.6804	39.4873
23.6793	41.6534	47.6806
41.441	64.0111	59.51
44.7163	64.6311	56.1838
10.7653	49.0391	27.4575
41.2206	42.3598	86.7534
34.8731	32.7799	89.5799
16.1801	78.6343	30.2542
32.7086	58.5976	28.3274
33.219	74.0684	76.9647
25.5956	48.5631	37.4375
27.2818	53.465	39.751
11.3346	116.9662	47.0065
30.9278	55.187	80.0747
29.5785	69.9637	42.779
21.529	58.2007	34.7846
31.6315	66.3	35.1926
33.603	64.841	60.7204
14.3075	53.9189	71.9503
19.2829	78.1466	27.3043
18.1223	82.0579	53.0645
21.679	52.5793	21.6958
15.8275	62.7023	36.2751
23.191	41.1875	43.1214
32.9036	44.1892	61.6599
29.8341	67.9777	58.593
2.7144	53.2317	35.7371
21.9564	53.7497	51.1161
24.2324	48.1069	62.6125
8.0093	61.7189	46.0158
25.2674	68.5932	59.3804
16.6082	56.0853	26.3386
17.3786	53.937	28.4188
11.7731	71.775	28.6447
14.6143	62.6588	29.5558
26.51	45.4998	111.6604
11.3537	61.9832	18.0409
13.0181	26.3553	38.3061
23.9691	84.9842	87.5233
20.1805	48.3159	35.9687
16.764	46.8596	21.5863
44.1502	38.7015	23.0987
19.5645	50.0537	16.9938
30.6963	82.3069	19.4283
12.9808	32.7071	16.2035
17.4874	37.5875	18.469
39.6958	75.6101	23.2934
24.9402	91.7065	44.0169
30.4951	64.9733	55.7155
30.9657	41.5984	20.6321
37.5256	55.7953	21.3084
16.5493	68.6211	34.292
21.862	32.9681	56.9813
24.4201	58.2116	78.8889
42.9358	90.5847	22.0885
27.999	69.9057	32.7089
19.185	70.381	62.6493
20.9919	61.6712	69.5873
38.8322	47.3717	26.3531
9.5826	79.3621	70.2974
30.8187	73.0256	37.5466
28.772	53.9688	30.4145
16.7512	38.7999	51.9501
10.7782	64.1832	56.7264
22.6013	45.1795	19.6445
23.2706	47.9067	21.0283
19.9636	36.6335	37.4716
39.2119	39.2805	14.8455
21.487	39.6054	41.7587
45.679	63.6688	28.373
20.7358	39.0946	72.023
22.5008	48.5827	66.2645
30.8881	83.5905	75.5433
26.9868	58.1669	61.4212
26.1216	43.6106	51.582
24.9688	63.2509	76.8143
23.66	50.4684	41.213
22.9701	40.4139	49.5997
23.629	44.2568	28.9761
24.7958	51.955	77.6672
19.3702	40.3806	66.3153
26.4286	42.189	30.6603
14.0485	50.0466	51.17
19.096	35.0055	43.0905
22.6807	37.9768	50.191
16.2901	68.6867	57.2773
34.1555	60.6893	73.6995
30.1589	47.1025	107.8979
17.8228	67.0377	75.4524
27.5566	85.9975	45.9027
22.2105	37.4374	59.1941
26.7383	39.8069	53.5811
21.3854	68.1569	66.2997
20.1363	65.4311	16.2315
27.0406	86.9355	17.1489
17.4954	36.1025	51.8897
23.5358	72.395	43.9076
29.1031	63.5827	38.0862
11.0576	36.7548	70.9272
12.9125	75.0294	56.8503
20.9529	62.2171	32.4256
18.3864	87.3628	78.8952
22.9368	71.6429	91.5577
27.8886	69.3375	32.0317
25.6301	76.5503	47.8765
24.3091	74.324	45.4372
23.0564	63.3339	49.9432
21.0636	50.8952	49.9685
31.3054	61.9588	35.8102
22.7389	76.21	68.9134
22.3213	69.4463	48.5334
36.268	72.8786	18.4599
26.3052	43.0989	42.2978
23.4614	64.9185	70.3961
23.9309	84.6635	32.3557
25.9882	82.6863	33.1866
39.2346	83.1818	38.6081
23.4745	44.7636	87.8336
20.8695	67.5991	90.2169
18.6765	48.5893	59.4491
50.7156	46.3257	35.7914
23.3375	65.3532	100.7135
28.2882	77.6108	78.2463
14.4379	82.6454	81.192
31.4816	85.0074	95.3737
22.0608	81.4382	43.0105
32.425	69.7085	59.5634
24.5061	98.8355	79.6171
32.1584	73.165	60.3126
18.1169	101.2179	70.5102
31.0346	77.1497	45.8965
33.7045	85.779	43.9386
22.5462	76.2741	45.7414
21.6817	83.4343	59.9793
24.0166	71.1815	52.5203
25.4612	93.5766	82.5418
33.5779	77.4149	28.5055
23.0111	73.1684	50.4354
35.7616	82.1174	57.6541
33.1641	76.4512	46.4887
21.6832	69.5579	50.0164
38.0103	69.4876	54.5724
18.849	48.1918	46.7555
37.4408	83.1658	118.5677
25.7651	85.9306	63.3253
52.2374	89.4157	80.622
25.2302	55.2216	43.7605
30.3387	59.844	129.076
23.8718	99.4237	94.8177
23.2659	68.1581	110.4431
31.1377	54.5863	104.8189
32.0451	70.8493	99.4658
18.4609	83.1038	102.726
40.6682	42.8971	85.5113
24.3075	43.681	94.3888
17.1478	70.7431	39.4161
20.0117	59.0738	55.8914
30.4672	57.4236	69.8819
29.798	52.0936	64.3973
37.7848	79.4539	88.8099
29.417	46.4401	27.9562
40.9909	66.2701	61.5987
27.9032	55.8491	78.1413
30.9439	42.2979	45.5213
23.6658	41.8564	53.3305
46.4341	64.7324	28.5431
42.4625	65.5359	27.751
33.4358	47.8308	46.3294
22.9764	42.3569	30.9262
29.9248	49.2347	28.6263
26.6888	52.6764	43.8068
23.122	47.4548	51.7295
16.3586	64.2593	71.8449
21.9835	66.742	52.3263
41.527	79.2006	88.1131
24.0852	55.5718	87.3303
40.45	55.8522	53.2261
41.3471	48.6979	41.1168
33.108	66.5129	48.5334
27.1667	56.7344	39.1314
27.1872	49.4082	49.283
29.3735	35.417	72.8974
25.838	48.9306	64.866
31.2882	48.3628	47.0974
21.4001	45.3209	51.4375
21.1535	59.9735	72.6115
19.7728	53.0373	36.918
32.0745	54.7244	68.7241
32.1518	72.1088	69.5796
29.1629	62.5053	58.5503
19.0835	42.3094	59.0922
29.5772	44.1417	53.7829
29.6897	36.045	82.4015
18.5747	77.6478	40.8037
29.7027	105.2926	47.5739
31.0182	63.398	87.3491
28.3376	41.6455	28.7828
18.4567	42.8072	68.9119
28.6407	49.5185	49.9415
27.931	64.8034	49.5215
19.0608	49.0211	63.1289
32.6559	65.9446	45.6743
35.3188	27.1293	85.193
27.3792	41.632	66.411
34.9415	46.5391	32.1553
31.1442	51.7367	83.9539
37.5024	47.5597	58.8799
44.6805	43.9084	100.0511
54.4708	145.1043	93.3768
39.5014	60.9877	33.4945
68.9258	59.2165	36.5944
41.7526	57.1726	55.6766
44.2356	57.6119	81.2124
29.4053	74.6277	94.154
29.361	49.0675	28.395
26.4017	55.1041	86.7877
32.4998	54.4004	81.7107
31.1242	69.1764	90.6114
42.3497	77.6612	92.0418
24.4486	80.7123	77.822
51.0954	108.8897	58.8983
23.7209	50.7664	77.2812
31.697	53.5547	42.7921
39.2838	94.6455	51.2969
29.1436	34.1695	50.5627
28.2045	61.8265	47.1077
29.8892	58.5936	75.5632
26.5965	40.0077	72.3795
42.7113	63.6438	73.1199
30.001	62.4556	88.5526
26.7202	63.3855	77.7611
29.6713	41.3935	59.0876
28.4465	53.8013	54.3026
28.5036	49.0673	67.7061
32.2759	54.4477	48.5078
30.9739	65.805	47.1831
36.6929	88.2868	68.1074
31.6345	52.7574	32.2119
29.1241	46.6131	97.2672
34.8721	83.5501	55.3904
24.7149	51.5594	75.913
41.9077	39.3513	80.2355
27.4287	49.1361	74.0847
30.9765	69.6484	83.0246
7.7719	55.7317	68.0867
27.0244	55.9185	67.2174
16.4334	45.4617	42.3845
24.7243	64.977	53.2454
26.3198	62.3127	51.4719
23.3678	44.706	55.3976
51.8285	54.715	71.0729
28.0226	53.6139	36.6618
27.418	65.9631	102.7921
28.1644	52.2749	48.1546
26.6373	68.7196	97.9152
16.9433	53.2184	37.344
18.2068	66.532	97.605
14.87	47.2886	66.0077
21.8824	44.4568	70.2732
16.528	55.6626	48.8312
16.3314	47.27	50.2574
19.7236	16.9864	53.145
17.0836	50.9969	55.5131
29.3846	52.5754	48.6239
27.5528	23.735	54.2252
13.8318	52.2534	37.5218
21.25	52.9544	77.5195
12.1713	78.3711	21.9865
19.3848	36.5377	65.0601
16.7457	72.1349	36.5067
11.1697	82.5359	38.4424
23.1217	52.6511	60.2628
21.192	63.9246	48.4142
12.233	45.2786	48.0381
16.0895	65.5359	66.1923
19.5956	65.0417	38.2253
23.5067	59.5597	32.7548
10.435	48.5019	45.3428
7.0507	58.21	46.6941
14.9552	42.5186	66.496
27.8614	40.1055	43.8935
18.0336	45.7101	55.4842
19.2056	38.4784	43.0965
21.843	50.4691	49.7365
16.5642	60.2709	57.0742
14.6347	69.5212	73.11
19.7476	88.1769	42.8583
35.2221	49.4828	36.9307
17.6114	72.8666	44.6027
17.297	53.6873	67.398
13.172	60.4194	33.5545
17.9371	57.8185	56.2142
25.1015	68.6496	47.8175
24.8898	38.6537	42.4596
24.953	70.389	27.3114
20.5218	49.6657	46.2499
16.5889	66.6934	21.6573
14.8582	58.7434	73.2866
16.7054	38.3182	53.977
18.0395	52.0125	61.2286
14.9341	60.5706	68.4899
16.6975	43.8945	74.9868
13.3606	55.898	22.6966
