mouse6c	mouse6d	mouse1k
169.4738	58.7506	159.1357
163.2035	51.7652	153.3296
167.6108	48.6111	147.1616
149.8179	47.9378	161.0037
165.9148	56.3549	145.1871
168.3647	54.482	156.6473
166.1139	56.0935	158.416
148.6904	61.5265	155.5031
162.597	55.7333	161.6371
164.6746	57.3927	157.3224
165.6414	53.1432	155.5288
164.641	42.2818	156.0197
155.4908	50.6309	165.8972
162.3479	54.7136	155.6058
159.8768	57.9504	171.1067
163.3866	48.5163	157.7354
151.6737	55.1172	168.4807
154.2995	53.7377	157.3134
158.8352	55.0325	159.6058
156.5738	54.4813	163.3314
165.3075	49.1825	166.1647
153.6187	56.5665	161.245
167.3346	59.6133	163.8828
165.5396	58.5698	161.1098
158.4523	63.0273	149.6204
127.6929	56.8536	163.5152
162.8619	49.5956	152.6836
166.0648	54.8289	171.0482
166.3654	52.2494	170.2926
165.6985	58.2964	170.0974
156.7952	54.5849	160.875
152.8715	57.3689	156.2716
152.3985	56.8538	154.2207
165.3653	52.6026	162.0997
164.1879	52.111	158.2397
169.7232	68.2839	169.2235
165.2476	63.443	161.8631
170.3436	53.7752	159.5667
161.6847	53.8158	162.3323
166.713	61.7595	169.0809
170.2412	57.0782	152.9247
166.8326	58.0356	164.2619
155.0533	52.7496	172.1767
158.4873	56.5403	155.7154
158.0957	57.2592	159.7975
166.8839	69.4345	169.7085
167.2317	57.6887	167.5668
165.9067	60.8947	161.7579
166.1454	56.9265	164.0134
166.1508	56.0906	168.5897
166.2042	66.173	163.3202
170.3812	56.6633	162.1985
163.3779	58.973	165.5725
168.0062	62.1194	158.3542
160.8581	61.2631	163.6418
161.7826	60.2169	169.3031
162.8246	59.7244	164.0787
158.3687	51.8754	157.3054
139.7877	65.9795	155.7021
163.9457	57.9948	165.4116
169.6901	58.4299	160.2962
160.4771	53.2094	171.2361
166.4288	59.2551	161.7487
128.2564	57.6292	165.5711
164.738	56.4885	160.0412
160.2346	60.8489	168.0778
158.2285	54.8373	166.6056
162.7152	55.9414	175.1017
163.633	59.111	158.6249
154.6751	63.9734	161.2922
152.531	60.1324	172.602
164.6048	58.1921	150.71
153.177	59.4205	169.5653
161.852	58.7362	163.934
162.8628	60.2447	172.054
150.847	58.0007	163.9263
162.6016	54.6554	168.1866
155.1158	57.4445	166.6276
161.1984	56.4174	156.7359
162.9378	63.1489	172.4478
156.0405	57.2305	113.1614
163.9766	59.9929	92.4289
157.0077	56.5828	84.8675
147.9485	56.7032	79.3135
164.2998	61.3832	82.8047
137.7749	58.8121	123.2549
147.9892	56.8394	87.6968
168.2107	58.3012	116.0393
161.8363	62.4519	101.1109
149.4345	56.9978	69.5185
163.6063	54.904	99.3888
166.7025	55.2056	99.8287
159.5734	59.7042	111.024
149.6011	48.2407	74.5432
164.1491	29.8625	82.0662
157.5658	35.6453	89.9491
147.25	43.0647	104.9595
160.7045	39.6055	88.8722
161.3405	44.1337	81.4306
155.4164	32.0927	93.242
156.1417	43.8842	81.3931
164.7542	50.1247	61.9105
156.9745	47.9475	95.3613
140.7632	30.4172	78.2034
150.446	40.8953	79.4688
139.1376	30.5822	81.2682
153.6897	36.5148	100.9316
163.0991	34.5837	97.5463
148.2488	30.4076	97.3421
144.1494	39.6354	64.2683
167.5826	41.8685	93.0751
143.4615	53.3148	95.7561
150.229	57.1003	77.1726
167.419	51.2982	76.5811
164.8571	53.5511	77.3735
160.7119	53.1476	73.3303
168.0884	50.8678	79.8353
139.8185	47.4707	89.8799
162.2502	44.8968	98.9638
86.0421	53.4652	71.1676
99.33	51.5834	111.5069
53.7349	49.9964	93.1953
92.5833	53.5535	78.5755
64.2827	50.8927	95.1411
56.7941	47.5753	112.4863
63.0248	49.9283	81.1591
88.8132	53.9558	75.6144
86.0186	52.6856	113.5723
77.5275	54.9347	112.1445
106.2902	50.6554	82.0366
99.7022	57.664	83.4409
68.0628	45.468	104.8626
89.6093	53.6594	101.8961
66.1742	51.5764	78.281
79.8039	57.0335	102.7025
116.1808	44.5245	87.4245
62.0151	48.7918	115.853
96.8678	47.9086	86.2413
69.6906	44.3977	87.4308
58.2455	53.4058	103.088
67.5053	51.4793	106.4111
105.2462	56.8095	81.7534
105.0166	55.5966	48.4378
64.4366	51.8462	92.6781
91.1416	41.1759	55.5755
72.9975	47.2128	53.9273
61.5772	56.5442	122.4051
