mouse6e	mouse6g	mouse1a
42.3089	20.0182	43.071
43.9631	17.5745	44.8128
47.7839	17.2111	40.7636
44.6292	17.3105	38.8894
42.8907	19.4865	43.488
42.3801	18.7761	39.8212
35.1797	17.7841	39.2847
44.7671	18.676	40.0349
55.1596	17.6883	44.1681
46.2579	15.1554	48.2645
46.499	17.5645	35.7241
41.7477	16.8319	48.0312
39.181	17.571	42.1284
41.1177	20.067	41.8767
42.0615	18.2034	33.1548
45.2503	19.2166	38.7541
37.0647	17.5737	40.6018
54.3792	20.7081	44.3808
42.645	19.3918	42.5195
38.5748	17.2107	40.2822
41.0702	18.8377	44.6418
40.2454	19.4513	33.326
33.792	16.7733	42.7791
40.6972	15.308	41.1292
40.4796	18.6631	38.7293
40.3714	16.5947	38.6633
43.213	19.8031	42.1396
39.6362	16.2367	39.9848
39.6055	16.1469	42.4534
41.1129	16.6614	36.7069
52.5313	18.1961	36.0115
38.8182	14.0362	52.6788
52.4426	16.4864	40.8635
41.1158	17.8803	40.7624
42.8197	18.2885	48.3446
39.4398	15.0498	42.2163
36.1744	17.6709	37.3522
49.4064	16.1109	41.0821
36.7408	17.7955	39.2028
32.8269	15.949	42.6375
44.5224	18.1168	40.5686
43.5627	17.8615	44.1255
39.3063	19.0143	42.424
38.4595	18.0599	38.5968
36.1259	18.2171	35.1672
42.1243	18.1438	43.4356
44.2708	17.2951	41.933
35.9462	15.307	32.6879
43.5898	18.8236	45.0814
37.2964	18.7961	39.6656
33.1372	16.6186	38.2643
34.6787	17.5646	42.5914
39.4454	18.7806	36.1718
39.315	17.5319	44.7555
29.2922	16.6913	45.5674
42.5377	15.461	37.7193
39.2155	17.4019	47.5526
35.0676	18.2824	42.5303
34.042	18.4137	40.5272
37.1182	18.0223	35.6633
37.201	14.9339	39.0109
33.7972	16.6009	49.6018
34.6262	18.1965	45.1179
39.173	18.1737	41.1834
35.3297	18.3317	39.3165
35.3654	17.0105	46.9715
35.3484	16.8536	38.3227
39.9158	21.9445	40.1852
33.8955	17.9092	39.455
41.3422	18.0168	42.2602
34.6126	14.5349	43.5985
37.1847	19.6933	41.0851
38.4483	18.5513	40.3094
39.7359	17.5149	45.3361
37.773	19.0705	40.8292
40.0452	17.3518	40.6687
39.1129	18.8334	41.0384
40.1532	19.5617	40.0809
44.3991	15.1892	41.7497
37.0774	17.2095	42.1189
38.3064	17.7455	42.2139
38.8714	18.5177	42.0211
39.4748	15.944	43.347
34.4651	21.979	41.0927
42.3658	20.4337	43.7254
38.8628	16.9454	45.9921
35.1456	17.9741	23.2776
41.4371	20.0784	29.534
40.6627	19.5904	21.3483
37.4932	17.3175	24.5119
32.7433	16.1718	25.9466
38.1066	16.604	24.3811
34.0909	15.7533	26.3506
43.2421	14.8141	23.6183
42.0298	15.8018	26.4622
39.2696	17.2525	28.8755
27.7304	16.8956	25.8581
22.2139	16.492	27.1878
31.6662	16.0857	26.5184
31.5276	16.1491	28.7173
23.1576	15.2167	27.7927
32.2353	14.6506	28.7542
30.5	16.996	28.6195
29.8596	16.1944	25.0392
28.4603	14.3402	29.6398
43.2056	14.5756	28.9871
28.5026	16.8562	24.9774
31.5281	15.5092	27.9835
27.5809	15.7905	30.8685
27.1031	15.3416	22.3216
29.4411	18.1394	24.5374
32.8727	17.4542	27.2018
32.2762	15.4924	26.0903
22.4553	15.4332	24.6196
20.2676	15.9556	23.6532
40.0616	17.0659	27.3883
27.6439	15.6267	25.5845
31.4118	15.6717	27.048
34.6634	17.8906	29.4712
31.4752	15.3489	23.1191
30.8909	19.0814	30.0776
22.2405	17.8781	27.3331
26.7064	16.9912	27.2209
31.9611	20.4769	29.2008
26.7242	19.2388	25.6219
33.614	16.576	27.0378
31.4111	15.979	25.7196
26.0317	16.8781	25.8657
36.3801	16.0206	24.2462
25.5038	16.2918	28.1239
23.5772	16.2086	30.3037
45.7021	17.619	27.1432
29.0637	16.31	29.8793
32.3499	16.5622	30.4919
28.5705	16.7379	22.6335
20.3135	17.3468	26.4873
31.6931	17.7562	27.357
30.8856	17.6568	27.345
24.7116	16.4075	24.2954
32.0986	16.3932	25.6204
36.5895	15.9099	27.6855
31.1129	14.5792	26.3166
26.7683	17.2525	26.1618
33.2988	17.8788	26.9833
39.7699	15.777	25.7211
27.9178	14.4716	31.9348
29.7322	16.1707	26.7144
52.7124	16.397	28.9795
32.6691	15.3025	26.735
30.1961	14.3605	30.3653
27.2095	17.175	25.136
28.457	16.2211	24.6513
23.5814	15.9326	25.8187
29.0133	15.819	27.9088
25.5788	16.7304	29.7331
19.6043	15.5817	24.0371
18.7783	13.9833	24.2166
27.4368	18.2624	27.0527
23.9927	18.407	31.0315
17.3328	16.101	27.3612
30.8274	15.1785	31.2082
20.6683	15.3912	28.1943
31.8536	17.2487	28.1359
17.5729	12.7004	29.6299
27.0459	13.5031	30.2304
26.702	15.6762	36.6246
25.9532	17.4014	29.551
16.817	13.8573	26.7639
19.1005	16.9738	25.9409
17.6487	16.3046	25.6009
19.3964	17.2283	26.9451
29.1859	13.2275	26.9347
25.963	15.5522	26.9974
22.8327	13.6919	27.3364
29.4331	13.243	27.7145
21.5213	15.807	28.3726
33.8867	11.8217	28.5756
28.8799	17.2908	27.1028
18.062	14.4874	26.9068
16.0883	13.596	30.215
24.4254	19.0052	28.4243
17.5609	16.7006	28.4737
25.9052	12.5361	31.8068
24.0282	13.0114	26.5687
19.0902	15.605	26.399
18.0368	11.5743	27.5167
34.5739	16.4492	29.0233
19.2287	13.1116	25.5893
25.5213	13.8233	27.7522
18.5714	12.9298	33.5934
35.8356	14.7131	28.916
45.7337	14.7874	27.0654
26.575	14.0742	32.2209
24.7511	13.3378	31.276
25.9967	14.8763	38.5782
53.4734	14.7378	26.4922
28.2137	16.3387	32.3526
33.617	13.0111	29.3146
34.158	14.5912	35.9031
22.2723	12.7326	34.088
47.4759	13.3602	29.0909
28.6823	12.1532	33.7327
35.7819	11.124	33.0853
36.2577	12.3309	33.0327
48.7269	14.606	27.4371
27.1187	11.4269	27.1487
38.5718	12.527	35.836
28.8732	11.8033	32.444
24.8633	11.8003	33.5988
24.3898	12.5724	33.6438
26.9643	15.7163	30.0122
41.1651	9.7362	31.5536
34.7533	12.4399	32.6352
38.05	15.0094	34.5066
28.6858	14.3058	30.4942
29.0283	12.9123	29.9185
26.5709	10.8173	33.0125
32.5439	11.9723	30.5482
32.4694	15.2717	34.6141
27.3065	14.564	29.8954
33.4176	11.2832	32.299
28.8066	10.9022	33.2458
33.7239	12.9196	37.2004
35.9771	14.9647	57.1726
24.4477	11.4453	52.3825
33.8785	15.2094	58.4696
20.876	11.6472	61.8856
36.6735	13.5602	56.3166
43.3612	11.5099	68.4588
28.8981	15.3241	64.317
34.4307	14.8165	74.8294
18.7285	13.3802	71.324
34.0341	11.852	59.0461
42.145	11.9197	68.4119
38.2743	11.8212	60.4046
31.4678	13.2745	71.1542
22.204	12.0324	63.2412
33.8734	14.99	57.1502
24.1458	14.866	59.1626
43.4352	15.2759	68.3025
31.2105	13.155	61.8147
37.795	12.6153	70.9497
36.55	11.608	61.89
35.8743	14.3398	58.0709
41.4803	15.6842	68.7781
42.2719	13.9188	63.3706
45.3775	15.1664	74.8293
25.8836	11.6824	62.2502
35.5233	14.3888	67.2006
62.5558	14.6339	60.7648
36.6945	13.8465	60.6628
32.7706	16.1153	62.2359
35.5072	13.4838	57.1691
44.8664	13.851	60.2343
38.5167	13.3103	60.1253
34.3891	14.6909	59.4802
26.8418	16.0335	52.693
35.1312	14.9515	69.0793
51.3383	16.68	68.3288
37.8379	15.0259	84.7956
49.162	13.7488	52.5689
32.581	15.5281	58.5868
50.3595	11.8854	85.3701
58.301	14.3844	61.6731
58.6784	18.5137	66.2177
51.7182	14.7752	53.2613
45.9069	14.8345	59.3149
42.9925	15.0165	56.9753
29.6836	15.9845	81.0118
48.4213	15.0558	59.5034
30.7755	15.3678	61.9222
33.9321	15.6723	61.6342
55.5485	15.8598	62.5051
31.868	14.6449	56.5043
41.2825	15.4773	62.3326
36.3225	15.2451	58.4443
31.3783	14.192	69.1699
22.588	17.1557	52.7436
21.5108	15.7012	61.4788
31.6912	15.2223	60.4797
17.3431	14.2413	58.2761
20.3349	15.106	54.0337
16.9875	15.2474	66.2588
19.4308	9.7271	73.6066
24.624	10.1899	53.079
14.227	10.8143	64.0837
20.0661	9.9304	55.5808
15.5709	10.5695	64.627
22.4169	11.0425	56.0435
26.269	10.981	60.7589
22.4733	11.115	74.1921
31.0934	10.353	61.1606
18.6645	10.5145	57.4016
17.2509	12.197	62.6724
29.7769	10.4933	59.968
20.2061	10.4529	46.9506
18.6904	12.3168	59.8883
22.8909	11.9556	58.8307
23.8661	10.2505	63.7358
26.7063	12.0991	60.6555
21.2283	9.557	60.1444
22.8703	10.6516	68.1056
15.2799	11.9087	63.402
23.2505	11.9197	55.9497
21.3006	8.541	60.8777
19.5298	8.4498	58.1679
22.2228	11.233	51.489
25.6557	10.1985	60.0802
43.1384	9.6601	56.8726
25.3643	11.3528	58.5559
19.367	10.3466	56.1082
18.98	10.6934	57.6457
20.54	8.454	57.6001
25.0867	10.7449	52.1905
24.1123	10.3599	60.5871
24.9397	7.9662	70.4126
45.8573	9.406	55.0891
20.0269	10.4987	55.4454
17.6331	10.2929	57.8946
20.2543	10.1996	63.6658
24.4154	9.9415	56.8381
23.5738	10.9643	56.6479
25.5096	8.3938	66.2638
16.4388	8.0966	59.9131
27.2546	10.0184	55.5225
23.8655	10.1784	68.838
20.8931	9.322	59.2756
23.7836	10.4406	61.8113
20.6328	9.3323	60.1067
22.269	9.1033	56.288
25.9207	9.8957	56.1257
17.1314	11.1002	58.0033
19.4243	9.5791	67.7113
19.5092	10.0352	63.0142
32.51	11.0446	81.5478
16.7605	11.4709	57.4013
24.4473	10.4751	61.9691
26.9335	10.5731	66.1315
15.8292	7.2927	62.7696
19.5677	9.8388	61.2315
20.2625	9.6135	67.2667
20.1022	11.1513	60.8401
21.9123	10.5222	69.1741
31.45	9.7019	59.6085
33.2619	10.258	63.5154
26.1595	10.0804	62.9783
17.737	10.3895	64.0148
16.8358	10.8191	55.832
20.2132	7.7107	63.8671
28.6556	8.3557	58.3427
15.5131	9.3362	62.329
30.0725	10.4378	58.0367
22.9949	9.785	46.8494
17.9021	10.2878	46.2826
17.8848	10.0879	57.6874
32.6879	10.4267	73.9341
17.0948	8.4379	70.1547
24.3062	10.6925	61.1041
32.6418	10.2467	42.5143
21.7723	8.843	55.2497
32.6385	9.8271	48.2643
26.0752	11.9586	45.6635
17.1346	9.8303	43.0437
11.8786	9.8462	49.3827
27.3229	7.7955	41.7948
23.8881	10.5669	44.0026
18.4414	11.0777	46.7997
15.7801	11.4125	48.2504
40.1566	10.0358	42.0326
23.3173	11.4319	48.2541
20.138	10.034	53.7269
13.1855	10.2903	45.6716
29.8101	11.2965	44.2171
22.7264	11.4485	51.6722
20.2229	10.8664	60.7336
18.7581	11.7378	45.5873
33.8235	11.6002	39.2142
32.8609	11.6075	45.2197
30.359	12.5889	42.1833
30.5345	10.23	41.1239
30.4536	11.0044	48.0949
27.2369	10.4017	46.34
34.9506	7.8752	45.4434
31.8154	9.0118	42.8646
32.0905	9.3454	41.1623
29.3149	8.4253	44.743
27.4995	9.5632	42.6505
28.8601	14.4922	41.7559
29.2904	10.7087	45.1665
27.5208	8.3773	41.3707
31.3443	13.0568	41.8917
29.675	9.9369	46.1394
36.0842	9.6154	55.5269
39.5579	12.6551	42.4957
28.9878	8.7688	42.0726
32.1792	9.4391	53.5489
28.9765	8.6281	48.7377
30.754	8.9149	53.3652
31.802	14.5048	45.2012
27.6986	9.2393	49.1292
32.2374	9.0286	40.0404
30.4486	13.1246	34.4797
31.7968	13.6014	42.3568
31.1152	9.2991	43.9139
27.4273	8.9894	44.5505
33.6171	13.5112	47.9898
37.0192	12.0528	49.8216
27.3774	15.5789	48.2875
30.7343	13.6174	42.9526
34.8394	8.52	43.0663
32.8161	13.793	46.3793
31.2786	11.8137	52.9766
32.8863	14.1577	44.1574
28.4996	8.7406	46.4572
30.5464	9.2302	43.7027
32.2048	8.3741	45.3626
27.2395	16.6205	43.6655
26.2844	13.5264	39.0565
31.4891	10.4674	43.7069
41.2581	9.7761	51.0134
34.0788	11.9093	40.9839
31.1413	19.1658	47.566
31.889	12.271	40.2697
30.807	13.6699	47.7434
27.0049	9.8211	45.5558
31.9484	13.1876	47.771
33.3571	14.0903	36.8733
31.2466	8.4277	49.217
31.2842	9.6231	48.4814
25.9704	8.9149	44.2979
28.7955	9.3217	40.2768
33.065	15.6974	45.5195
25.6392	12.4274	47.1075
30.4181	8.9825	38.2541
33.557	9.6982	47.0152
29.2677	14.9297	45.1323
28.6235	13.8203	47.5138
41.7073	8.3724	43.6911
34.8466	6.1442	49.217
28.6912	16.9903	46.6807
25.9206	8.881	46.0556
24.137	14.1763	46.7558
30.7769	8.7143	45.4026
30.2328	8.3698	47.0269
32.1698	12.0144	45.8914
33.1883	8.0587	49.0053
31.2433	13.6321	40.7048
24.8736	13.4505	49.6266
28.909	10.3798	47.5418
21.9905	8.3771	43.6496
30.2431	12.0908	51.6783
28.6941	11.0567	24.0166
31.8473	8.4679	30.7346
20.0109	13.4368	32.222
29.5349	14.0706	30.6592
28.3677	9.9481	29.2513
33.8155	16.2854	28.8662
26.8172	9.8799	30.1179
43.7352	13.6286	29.805
31.1678	9.5702	30.5796
33.7271	14.5166	25.4096
38.41	8.5819	30.1072
49.3359	9.1341	28.74
48.2561	13.4297	24.7027
28.9903	11.3302	30.3267
37.7306	10.7585	30.1055
35.4468	11.2267	27.398
44.5049	14.1112	29.8157
40.7202	17.332	31.2493
39.8104	13.874	28.6703
35.3758	8.6924	29.2055
46.5206	17.0504	27.6473
34.0669	8.5533	31.0867
37.0415	13.1194	28.1179
36.044	9.8997	27.1386
37.4601	19.4361	27.8913
44.3403	16.6014	27.447
36.7202	12.9877	30.4143
31.2765	12.935	29.0335
35.6373	15.4803	28.3519
30.7628	9.1196	28.6817
33.9347	13.8704	28.6685
37.7092	9.8606	25.0401
32.9155	16.4105	31.4573
37.4894	16.2782	25.6836
30.9582	18.8108	32.1314
32.8174	14.374	29.9212
32.8928	13.7678	33.0507
30.3172	9.4624	27.7796
30.0384	18.6061	29.1665
35.3408	9.0312	32.0875
31.4899	16.5284	30.6885
27.6662	18.0302	31.4512
31.7625	18.3825	31.9219
41.9633	19.0168	27.1315
33.7156	20.1877	26.2754
45.7481	9.9343	21.8963
37.9912	8.7133	23.9627
34.3323	16.0401	24.1175
41.7318	19.2594	23.977
38.5577	17.3881	18.9876
45.0258	19.9618	20.8474
29.6618	14.6607	23.5186
35.6449	14.7119	31.6656
36.0597	10.0839	27.2295
35.0873	10.993	24.3999
33.5736	11.0844	32.1355
39.881	9.5802	23.9476
34.1106	10.6799	30.4816
41.7862	9.9683	30.8877
32.7309	9.3994	25.5763
33.3639	9.7247	28.041
35.1806	12.4328	29.0376
41.4688	9.0287	32.6986
32.4697	9.5411	27.6972
41.9748	10.3993	44.5076
26.9325	12.2135	44.4561
32.1356	12.1103	45.8597
47.9321	11.6626	45.6873
43.0993	11.293	43.5409
36.5349	12.0653	40.644
40.6321	11.4374	44.4944
33.4562	11.1357	42.3002
28.9583	9.5373	44.3795
47.7162	11.2122	50.0549
36.5508	13.2277	42.4212
28.0622	12.1124	40.2578
40.2534	11.7886	44.7798
34.9958	12.0566	40.91
39.5517	13.8842	42.5537
38.6562	11.2269	41.8241
41.1396	13.4712	42.3893
32.0582	12.4045	37.3125
33.4558	11.8681	41.3422
39.0137	12.9688	34.2454
43.3068	13.0306	27.1413
28.4754	14.2976	28.0857
39.6972	12.9899	27.5101
46.1912	14.3822	26.3009
33.3806	13.0228	27.8556
49.7984	14.1486	29.5126
37.9776	13.5409	34.3717
41.4127	14.2065	37.3899
24.6907	16.0605	36.5358
22.7324	14.1478	34.0977
27.7968	13.0505	37.0276
24.0356	14.6705	39.3808
26.2413	14.6401	38.7636
30.389	14.36	36.1628
38.9903	12.3099	36.4864
41.1667	14.8391	34.9493
42.7261	17.0807	38.0279
36.9708	15.9492	35.7149
33.8383	13.9968	33.5368
33.0834	14.7124	34.2121
37.1431	15.8825	33.9909
33.069	14.9022	36.1828
37.6216	15.4072	34.4054
33.4744	14.859	37.2382
39.9726	14.9582	35.269
33.1543	13.7662	35.8385
	15.1336	40.6262
	16.0391	37.081
	14.4233	32.675
	14.9121	40.179
	16.1764	35.0487
	14.7703	34.5048
	15.6882	39.8072
	14.7431	37.356
	16.2414	36.5877
	16.2718	34.5344
	13.8614	37.8365
	14.9114	33.8653
	14.1177	39.3047
	15.9251	38.1594
	16.7038	33.5813
	14.9352	33.2559
	14.3525	36.0834
	14.3181	33.4238
	14.0842	36.0413
	16.2907	36.7861
	17.1051	36.7194
	18.0414	32.3605
	18.1483	32.1817
	15.37	31.2727
	14.4576	37.1002
	16.9257	62.7148
	18.0183	62.747
	17.5336	62.8125
	17.3037	64.7376
	17.7188	65.3206
	16.8249	62.2258
	17.3474	67.2021
	16.6455	65.2454
	15.7125	61.4339
	12.4951	75.1926
	16.4629	67.104
	17.6532	47.7938
	16.6539	47.4488
	15.4799	45.7453
	14.3518	47.3653
	16.7546	49.2283
	16.6816	50.7359
	13.5138	47.0907
	15.425	53.8881
	19.3154	44.6494
	11.8431	52.6679
	14.3729	45.919
	11.139	49.8988
	12.0229	43.9163
	14.5708	45.0328
	15.7843	47.6964
	13.3466	47.0822
	14.0294	50.0486
	8.569	43.4701
	8.481	47.794
	11.7399	49.3039
	10.4114	45.2575
	10.6229	46.8041
	11.7662	47.0453
	10.0443	46.4211
	9.9678	45.5359
	10.7487	48.6425
	9.8199	45.0575
	10.7919	42.0259
	11.0682	45.5815
	12.9401	50.5839
	11.433	41.9714
	9.1034	43.9888
	8.8868	42.3175
	15.2269	46.5486
	13.6572	52.2196
	12.186	47.7577
	10.9658	47.8025
	16.1803	47.2501
	12.7171	47.6871
	16.767	48.6419
	12.4906	46.0898
	12.0295	47.1365
	16.3727	46.2551
	13.4845	51.595
	13.5247	49.9049
	13.9097	44.2468
	13.0791	39.8422
	12.3438	41.1039
	12.2148	37.1966
	12.4313	32.2459
	12.9134	31.908
	13.2142	32.2277
	13.9619	32.2112
	14.8625	27.9335
	16.9027	31.3833
		28.6455
		31.0115
		34.2825
		32.9051
		31.8393
		30.8982
		35.1382
		32.0302
		33.0384
		33.9702
		31.3466
		33.2553
		30.6563
		32.5078
		32.7218
		31.961
		22.7788
		27.6598
		22.3643
		28.8941

