mouse1e	mouse1f
36.0912	3.1339
33.3772	1.3982
36.1987	2.0024
31.8692	2.5
33.613	1.0838
33.8952	1.579
34.1152	4.5831
35.6865	2.6942
33.4993	1.624
34.3907	1.021
42.8881	4.2872
34.9717	1.0214
38.0183	1.7786
32.3551	7.0585
32.8648	3.6057
35.3512	3.3127
33.8287	4.4624
46.9028	4.296
34.1335	1.1029
31.7441	1.0628
35.702	1.781
35.2692	3.2965
32.8295	1.0971
35.002	3.6664
35.1359	1.0791
31.9648	2.2462
36.3754	1.951
22.3758	3.2619
19.299	1.8993
21.4343	2.6052
24.8746	2.5289
19.1311	1.1451
21.296	2.1955
19.1649	2.7483
23.8139	7.0732
20.3677	2.6586
17.4272	1.8737
22.6248	2.1282
18.2577	10.6937
19.5168	2.9285
19.7552	2.9462
19.8009	10.3352
19.1996	3.5136
20.9172	3.8572
19.2016	5.3782
19.0684	3.1765
18.5292	2.6457
20.8886	3.4559
22.6815	4.282
19.4546	1.9988
18.2647	5.8695
20.2131	3.824
19.5128	3.9894
18.4215	1.9931
19.9622	4.2291
17.9172	1.8495
17.7047	4.953
15.6245	1.0187
19.1365	9.4234
18.2572	3.5711
21.8154	1.0686
23.102	3.1413
19.2045	4.6325
20.1678	1.8134
21.3628	4.5275
17.1606	2.2118
19.8088	3.5578
19.9663	9.2554
23.1494	3.5155
19.6228	2.0006
20.9073	8.5671
20.1097	1.0583
20.7371	4.6251
24.9582	1.113
22.8734	1.7734
19.5825	8.5163
19.9359	3.1407
22.3169	2.4898
19.6701	3.4082
18.1342	4.6496
21.4127	1.8921
19.1283	2.2872
19.6264	1.5891
20.6728	2.6981
22.1635	2.2915
19.2031	5.5084
19.6267	4.2439
21.0463	2.7212
20.8343	1.9238
22.8137	2.0986
23.2903	2.5985
21.1882	1.8697
20.171	3.541
21.272	3.0149
20.5371	2.2967
27.0688	3.8776
21.6673	1.8048
20.1098	1.6894
25.0446	1.7664
30.1428	2.2543
33.0965	7.3942
30.1281	4.6492
29.5375	3.6617
20.9041	2.8754
29.602	2.8926
29.917	2.2009
22.7841	7.2372
26.79	2.3525
32.2493	2.2776
30.171	2.2078
25.8872	4.4029
21.1732	6.241
31.0629	2.2664
26.8151	5.0427
28.5635	2.9626
24.7637	4.8668
28.285	2.2562
28.9608	2.3038
27.7092	3.5526
28.2758	2.5454
24.3198	2.1081
27.5626	3.9842
30.7863	2.4739
31.7966	2.5338
20.9001	4.3851
25.6986	3.229
28.4149	1.8358
29.0931	1.525
26.8017	1.2618
25.6661	3.3363
27.0406	1.507
28.4588	4.6366
27.7924	2.4067
25.6036	3.3342
26.8546	3.4953
25.4822	2.0909
25.7106	4.7864
28.3617	4.516
29.2044	3.6324
28.2899	3.6733
25.4944	7.2266
31.9832	4.5017
36.1017	4.9548
27.3705	7.8163
32.947	4.0774
30.9704	2.827
29.2982	1.6843
26.0765	3.2081
31.2623	5.6384
38.8663	4.3721
31.6461	1.5802
25.8787	5.2969
37.106	1.9908
30.0551	1.9282
30.9066	4.1237
30.4126	2.7816
28.1287	4.2267
32.1887	4.0739
31.0618	2.3794
29.1387	1.4012
26.6508	4.2493
27.2348	2.8618
28.5616	3.4774
25.4719	2.4383
35.173	1.5641
28.9905	2.0631
30.1769	2.841
23.5544	1.9957
29.4992	2.0403
29.8589	2.1141
26.6383	1.4168
23.4709	2.5918
22.7247	3.8801
26.0136	1.7647
32.3601	2.0725
32.6308	1.4807
27.0892	2.1649
25.1469	2.0684
29.9013	3.5582
25.7044	1.5046
31.4894	1.3847
25.2127	2.1747
25.5209	2.1175
31.0863	2.6725
25.3254	1.2995
31.6007	1.9848
27.0694	1.8973
36.1543	1.6962
25.8425	1.9246
27.3777	1.7941
31.591	2.828
28.6011	4.2463
30.7563	3.8411
30.3587	3.7901
35.629	2.1983
29.2399	2.585
30.5342	5.3655
25.0311	2.1219
32.2595	3.0317
29.7667	2.2098
24.9733	4.4324
28.6657	5.0049
29.3867	2.5841
29.5352	3.8262
25.1719	4.3407
32.4307	4.1639
41.419	3.4858
30.8846	2.4539
26.5945	3.6401
24.674	5.7207
35.3465	3.7875
32.0504	3.8212
24.5046	3.2223
31.6743	4.9516
30.099	4.9406
25.8424	4.3087
24.9665	2.096
28.6746	5.2914
30.0474	3.0449
25.7481	3.0629
27.8458	1.8472
27.8456	2.8164
29.4609	2.713
32.8812	2.52
29.3613	4.1783
26.1873	3.6434
24.7983	3.9042
22.1533	6.6033
12.176	3.4489
13.4222	5.1715
13.4527	2.1032
13.7493	4.3835
13.3012	2.8996
13.1363	3.5925
13.6247	2.8932
15.7623	2.9261
13.0881	3.7982
13.5257	3.5284
12.2056	8.8803
13.1359	4.8161
14.4979	3.8021
13.5267	5.1385
13.9744	4.6803
13.4555	7.8244
11.1642	3.3454
14.24	10.7592
13.4884	3.6019
14.2691	4.8345
13.9328	3.1407
12.8467	7.0863
13.3618	3.822
13.516	2.7852
14.2696	12.1412
13.7362	6.4133
15.0971	4.5805
14.4757	3.6198
12.8676	3.3382
15.1068	4.4048
13.1212	4.9799
15.3655	3.9934
12.3192	2.9646
13.4486	3.4108
13.8213	6.2021
14.9981	10.5883
14.901	3.404
14.9997	3.7775
13.5151	3.393
13.8786	4.721
16.6223	3.156
14.5083	3.4151
15.1151	3.5586
16.0023	3.8938
13.7598	5.1089
14.6313	3.5008
15.2926	3.3648
13.4874	4.0204
14.3358	2.7319
14.91	4.3821
14.7304	3.9448
13.8495	5.1611
15.3462	5.0275
14.7218	3.4381
14.6501	3.2584
14.8827	4.6475
13.3172	5.8832
14.0355	3.1815
14.1732	6.5434
14.5691	4.4144
13.9514	7.3967
13.9121	3.9233
14.9279	3.1279
14.7679	3.8066
13.5618	7.6464
14.548	2.8669
13.3277	4.7344
15.0986	3.536
14.1065	3.7443
14.7743	3.4694
13.4262	5.2723
14.3014	11.0815
14.4772	4.7321
13.9021	4.106
14.5003	4.1985
16.7361	4.0601
14.363	6.9345
15.8736	4.2215
14.0182	2.4989
13.2134	3.8857
12.7993	2.4878
15.6048	6.5391
14.1135	4.5325
13.9564	7.0793
13.3908	4.0633
14.1875	5.9084
14.7081	3.4715
13.2278	6.3265
14.6861	3.6725
14.5321	3.3006
13.4966	4.3399
14.9425	4.1488
13.2882	3.9061
13.2986	2.3768
15.5629	3.8907
23.0019	5.2611
23.74	2.0629
20.0782	1.533
22.4036	1.3295
23.6089	1.6587
20.3152	2.2259
20.3834	0.7483
22.07	1.9073
22.6219	1.2634
21.8105	1.4305
21.8616	5.5208
22.5689	1.9853
23.8377	2.2002
21.507	2.0995
19.0775	1.4347
24.0595	2.2899
32.7532	2.2335
19.5657	1.6524
23.2049	1.2653
21.3411	2.4185
24.7683	1.9642
23.8547	2.6005
23.5029	2.3638
25.847	1.8025
21.2382	1.6905
21.9768	1.9642
21.8058	1.3226
22.1818	1.2836
26.0191	4.128
24.572	1.7866
23.3722	1.177
23.7694	3.274
22.7313	1.8289
26.6364	1.4912
22.1187	1.5115
20.8563	2.2745
20.8376	2.0625
24.5919	1.6714
26.3102	3.0053
23.6951	1.0129
28.1612	4.8086
22.5501	2.0609
25.6782	1.4472
21.7675	2.5257
21.4487	2.0495
21.0396	2.1635
23.182	1.6632
23.2607	3.7777
27.5564	2.5066
21.8748	2.7028
20.2372	2.5468
20.0707	1.7572
24.7534	3.7439
19.2229	2.616
21.1762	2.6388
21.7909	1.6421
21.9148	1.8218
24.9226	2.2773
21.4943	2.6179
20.9777	2.9266
25.2341	2.6946
21.4244	2.6799
24.4405	2.2443
23.5928	3.2099
23.1265	2.8088
21.8072	2.5058
18.6482	2.5141
19.6888	2.5254
24.0348	3.741
24.4986	3.5885
25.4491	2.7436
22.5789	2.7598
23.4148	2.7096
21.8194	1.5695
25.6077	2.1355
22.5661	2.0788
25.0621	1.8549
20.7143	3.6862
23.5524	5.0156
26.7479	2.2965
23.8456	3.1738
