mouse1c	mouse1i	mouse1j
20.9562	10.2466	12.3991
21.9989	9.816	12.4478
20.7211	8.6892	13.8448
20.5069	8.9582	10.4864
22.3226	10.0649	11.5342
20.4025	9.4764	11.4761
24.5891	9.4562	11.6813
20.7797	9.1728	12.802
19.3083	8.2917	14.5141
20.9542	8.9275	12.0554
22.5706	10.2116	11.9398
21.6867	7.9283	11.8675
26.7419	8.9937	12.532
22.3788	8.9105	10.3722
21.9963	9.8738	11.9543
19.5008	9.3877	11.8788
22.5377	9.1853	13.1973
23.4241	9.3703	10.6347
24.1497	8.5861	12.3626
22.1748	10.0563	11.5728
22.0165	8.7681	12.6438
26.6814	10.0521	13.9601
20.4732	10.1591	9.9982
22.1679	8.5609	12.1065
23.6963	9.0893	10.6001
23.3258	8.2765	12.4149
23.6495	8.9516	12.8202
25.6951	8.5491	11.07
23.9484	8.4338	10.8641
23.497	8.5673	10.471
25.058	10.2887	12.8954
22.2349	8.5792	12.8735
15.5764	8.9314	14.2168
21.975	8.7376	10.3989
23.798	8.1645	12.3886
23.1741	8.7676	10.8059
23.3504	9.0202	11.1699
21.9068	8.8477	13.1608
21.4805	8.5638	11.0126
23.3578	9.5862	10.5195
24.1925	8.2133	11.8735
23.7509	8.5624	14.8781
24.1265	8.7271	10.5403
22.4	8.7357	11.2647
22.5991	8.4421	15.0427
20.5465	8.2511	11.5176
22.1566	8.1189	12.4935
24.023	9.3098	11.5
26.5911	8.5692	11.9458
25.2139	9.9698	14.1421
24.7896	10.1019	10.6828
24.667	8.2319	11.8216
25.3653	9.1412	14.4133
24.8058	8.5661	10.7651
23.5476	9.6796	11.8515
22.604	8.9049	11.7095
24.9223	8.122	12.8056
21.4937	8.8814	11.7616
23.039	9.2156	11.0362
23.5477	10.3034	12.3127
23.9098	10.7569	11.2023
24.5413	9.3479	11.7613
25.9703	8.5869	14.6694
25.0593	9.7485	10.7825
23.3366	9.4266	11.5332
19.8176	8.1483	12.1256
23.5711	9.6444	12.4459
24.4593	9.8164	12.3719
24.8488	11.0995	11.7632
23.9385	8.8794	10.4073
24.5183	8.8052	12.564
26.3143	8.762	11.4128
20.7963	9.3942	10.1127
24.5949	8.8929	11.0767
25.1625	8.9378	9.9169
24.7148	11.1974	11.0772
23.8323	10.3693	10.4818
23.7487	8.9684	11.9633
27.3011	8.8055	11.6499
21.4903	8.8764	16.0283
20.9252	8.5587	10.7273
25.8734	9.9043	11.7771
23.1464	9.4506	11.5026
25.482	9.9619	11.2858
27	8.2009	10.9391
26.4365	9.027	11.3032
24.3965	7.6535	9.7518
30.3246	10.1303	12.5738
24.8495	8.8681	10.4153
23.8929	9.0499	10.4331
23.0834	8.1551	9.0693
24.4397	8.2826	11.5548
26.0569	9.6741	10.2867
22.4187	8.3127	10.9203
25.7075	8.9277	9.4396
21.0307	7.8253	11.7218
25.0056	11.478	11.2599
42.5112	9.3357	13.3294
45.8823	8.4982	10.444
48.2527	8.9904	12.0283
43.8991	8.8796	12.1577
44.5154	7.6755	11.6398
45.2761	5.6312	11.9402
41.6784	6.2348	11.6896
44.3196	11.5942	10.3728
42.0769	9.4888	9.0349
47.7684	6.3804	10.7284
39.6663	6.5835	10.9378
42.7016	6.1286	10.291
42.785	12.553	11.0469
41.8089	7.5526	11.8192
44.3394	5.5013	8.7383
42.4385	8.0371	10.7103
44.4204	7.4166	8.9839
42.4557	10.5886	10.8053
43.798	7.3266	13.6385
38.8931	9.2151	10.1172
43.2394	11.6505	16.5966
37.6855	8.5806	12.2907
38.7233	7.729	11.4846
42.4874	7.3565	12.965
43.0904	6.5201	12.3386
43.5955	8.4379	10.0984
41.6529	8.037	8.2318
42.2012	7.7785	7.425
43.6959	7.8336	17.9766
40.7051	7.8829	10.8057
39.8813	6.46	13.3833
41.2028	9.1854	12.7529
33.0875	6.0326	10.3931
40.4779	7.0654	10.6845
43.7772	6.9626	7.9706
47.636	7.6766	10.2733
36.2362	6.34	10.1539
46.1875	7.9572	11.5097
42.3976	7.8611	9.3795
38.8373	7.012	9.2613
44.5445	6.979	12.7792
38.2202	8.8393	7.9691
42.9134	6.2552	10.0213
36.3809	8.7071	10.6846
42.9346	6.5545	9.108
42.331	6.0916	8.7949
42.3886	6.6689	6.7172
41.9975	9.1082	11.6962
44.7021	6.728	10.2284
43.3557	8.0983	11.903
44.0021	5.4543	9.5761
41.3045	5.2784	9.8262
44.5511	6.7257	11.6654
43.2779	5.388	9.6748
40.2172	6.6566	13.1098
45.8165	5.5722	9.4702
39.3533	6.5707	8.4427
44.8585	6.2875	13.4693
46.8678	5.4318	12.0275
43.1481	7.9589	10.7403
44.1561	7.4248	15.7638
37.1981	5.5444	11.5393
43.0138	7.984	10.8242
42.0106	7.1458	11.7115
41.7968	5.9011	12.7077
41.8659	5.5262	8.84
40.4254	7.6189	11.6153
43.6595	6.8348	11.9799
42.187	7.769	10.7169
44.801	5.8982	12.6692
40.7579	6.3138	10.7914
40.8717	8.745	12.0727
39.4574	7.6001	11.0254
45.1078	6.1643	11.2922
36.6321	6.9433	10.9854
42.952	5.0743	13.911
39.1179	5.9397	10.9212
38.1121	8.5834	11.7629
42.5436	8.366	12.6637
42.1724	7.2117	14.971
42.6357	5.8689	11.6992
45.2697	4.8738	11.3956
43.0602	7.1879	12.0443
43.9481	7.53	13.4526
45.1987	7.3179	11.9238
37.1876	6.0868	12.1553
43.8646	7.4566	11.6518
43.0777	4.6627	11.0905
42.0078	5.035	14.7259
42.3033	7.5749	12.6228
42.2325	7.5091	15.515
39.1753	6.8761	11.6216
44.0382	6.7008	11.3827
42.9973	7.3456	10.5974
38.8456	6.3726	12.3354
43.1463	7.1426	11.2819
39.0844	6.1175	11.8476
40.9511	7.9186	12.5196
39.2731	5.9078	10.926
44.1351	6.444	11.7136
40.7691	6.2945	11.1456
40.9089	6.3842	14.4041
41.4347	6.9779	11.3709
43.7091	6.5969	11.7882
42.2633	5.8822	9.7865
